"Id","Label"
"孙宝毅(1942)","孙宝毅(1942)"
"王世宪(1942)","王世宪(1942)"
"白云(1942)","白云(1942)"
"Mecermjck，A.O.(1942)","Mecermjck，A.O.(1942)"
"云白(1942)","云白(1942)"
"张君劢(1942)","张君劢(1942)"
"李普曼(1942)","李普曼(1942)"
"杜才奇(1942)","杜才奇(1942)"
"费隐(1942)","费隐(1942)"
"齐庄(1942)","齐庄(1942)"
"孙宝毅(1943)","孙宝毅(1943)"
"周久安(1943)","周久安(1943)"
"张君劢(1943)","张君劢(1943)"
"郭豫才(1943)","郭豫才(1943)"
"Stevens，B.(1943)","Stevens，B.(1943)"
"Thomson，D.(1943)","Thomson，D.(1943)"
"Wedgwood，J.(1943)","Wedgwood，J.(1943)"
"孙觉生(1943)","孙觉生(1943)"
"曾少非(1943)","曾少非(1943)"
"杨永乾(1943)","杨永乾(1943)"
"王幼侨(1943)","王幼侨(1943)"
"袁道冲(1943)","袁道冲(1943)"
"罗隆基(1944)","罗隆基(1944)"
"曾昭抡(1944)","曾昭抡(1944)"
"潘光旦(1944)","潘光旦(1944)"
"Fast，H.(1944)","Fast，H.(1944)"
"孙宝毅(1944)","孙宝毅(1944)"
"张君劢(1944)","张君劢(1944)"
"祁广(1944)","祁广(1944)"
"WOOLLCOTT.A(1944)","WOOLLCOTT.A(1944)"
"严天元(1944)","严天元(1944)"
"劬民(1944)","劬民(1944)"
"华莱士(1944)","华莱士(1944)"
"吴富__(1944)","吴富__(1944)"
"吴晗(1944)","吴晗(1944)"
"孙亚夫(1944)","孙亚夫(1944)"
"尚铖(1944)","尚铖(1944)"
"拉斯基(1944)","拉斯基(1944)"
"正菲(1944)","正菲(1944)"
"流金(1944)","流金(1944)"
"胡毅(1944)","胡毅(1944)"
"蒋匀田(1944)","蒋匀田(1944)"
"费仲南(1944)","费仲南(1944)"
"费孝通(1944)","费孝通(1944)"
"邓初民(1944)","邓初民(1944)"
"闻家驷(1944)","闻家驷(1944)"
"陆钦墀(1944)","陆钦墀(1944)"
"左拉(1945)","左拉"
"罗隆基(1945)","罗隆基"
"黄炎培(1945)","黄炎培"
"新命(1945)","新命"
"曾昭抡(1945)","曾昭抡"
"郑振铎(1945)","郑振铎"
"阿尔古斯(1945)","阿尔古斯"
