"title","author","journal","year","vol","page","place"
"短评:响应“撤离中国周”","遒","光明报","1946","新1","3","香港"
"温州人民维护航权的斗争:温州通讯","汪明海","光明报","1946","新1","20-21","香港"
"世界将往那里去:战争呢?还是和平?","黄__眠","光明报","1946","新1","6-7，9","香港"
"关于光明报的回忆","萨空了","光明报","1946","新1","12-13","香港"
"民主运动在华南","李伯球","光明报","1946","新1","14-15","香港"
"陶先生一生的工作","洪遒","光明报","1946","新1","18-20","香港"
"短评:何不来一个新的“二十一条”","一之","光明报","1946","新1","2","香港"
"释民盟对当前时局的主张","沈志远","光明报","1946","新1","4-5","香港"
"哭四弟一多","闻展民","光明报","1946","新1","16-17","香港"
"短评:广州生意难","达史","光明报","1946","新1","2-3","香港"
"民盟南方总支部对目前时局主张","光明报","1946","新1","23-24",NA,"香港"
"短评:特务到了香港","吉","光明报","1946","新1","3","香港"
"为菲律宾华侨团体被非法搜捕事件:民盟南总发表声明","光明报","1946","新1","24",NA,"香港"
"短评:读华莱士先生演说以后","药眠","光明报","1946","新1","2","香港"
"民主同盟在沪发表当前时局意见全文","光明报","1946","新1","22",NA,"香港"
"复刊词:一转眼就是五年了……","光明报","1946","新1","封1",NA,"香港"
"青年党的坠落","思慕","光明报","1946","新1","10-11，13","香港"
"一篇血账","光明报","1946","新1","17",NA,"香港"
"内战扩大与经济大势","千家驹","光明报","1946","新1","8-9","香港"
"短评:欢迎司徒美堂先生","洪","光明报","1946","新1","3","香港"
"短评:美国人的逻辑","斯","光明报","1946","新6","2","香港"
"港九各界反内战大同盟宣言","光明报","1946","新6","3",NA,"香港"
"国内工商业者的烦恼","赵元浩","光明报","1946","新6","6-7，5","香港"
"短评:反对征兵","吉","光明报","1946","新7","2","香港"
"我们为什么不参加国大","光明报","1946","新7","封1",NA,"香港"
"“我们要他活，活得永远”:陶行知先生追悼会散记","李俞","光明报","1946","新7","10-11","香港"
"短评:连地图也向美国呈献","维","光明报","1946","新7","2-3","香港"
"短评:读了中美商约以后","卢","光明报","1946","新7","2","香港"
"短评:是科学进步害了中国!","风","光明报","1946","新7","3","香港"
"论领导","黄药眠","光明报","1946","新7","8-9","香港"
"李闻惨案前后的昆明(续)","赵渢","光明报","1946","新7","13-16","香港"
"不平等条约的新版:评中美新商约","千家驹","光明报","1946","新7","6-7","香港"
"评蒋主席的停战令和时局声明","沈志远","光明报","1946","新7","4-5","香港"
"大会报详述川汉铁路欵潮:张瀾先生与川汉路欵无关","光明报","1946","新7","10-11，9",NA,"香港"
"短评:独裁派的“民主”就是如此","达","光明报","1946","新7","3","香港"
"伤心话海南","蔡磊","光明报","1946","新7","12-13","香港"
"短评:钞票印刷业繁荣了","群","光明报","1946","新7","3","香港"
"李闻惨案前后的昆明(续)","赵渢","光明报","1946","新8","14-16","香港"
"论有条件参加国大","光明报","1946","新8","封1",NA,"香港"
"短评:论三种危机","狄","光明报","1946","新8","3","香港"
"广东在冬天里","里西花","光明报","1946","新8","10-12","香港"
"短评:夫子自道的国民党军风纪","达","光明报","1946","新8","3","香港"
"短评:清正自守!","勃","光明报","1946","新8","3","香港"
"记郭沬若在东京的被殴","力衡","光明报","1946","新8","13","香港"
"由召开国大想到邓演达先生论“国民会议”:为纪念邓先生殉难十五周年而作","丘哲","光明报","1946","新8","4-5，16","香港"
"征兵惨闻","凌元","光明报","1946","新8","10-12","香港"
"民盟重申严正立场坚决拥护政协决议反对参加国大","光明报","1946","新8","2",NA,"香港"
"共和党胜利后的美国外交","张铁生","光明报","1946","新8","6-7","香港"
"论干部","黄药眠","光明报","1946","新8","8-9","香港"
"民盟粤方负责人张文对南京傀儡国大发表谈话","光明报","1946","新8","9",NA,"香港"
"中美商约的研究提要","赵元浩","光明报","1946","新9","6-7，11","香港"
"演不完的滑稽喜剧","达史","光明报","1946","新9","4-5","香港"
"内战伤兵访问记","申由","光明报","1946","新9","14-15，16","香港"
"短评:广东实业公司职员索薪了","羣","光明报","1946","新9","3","香港"
"民运工作者的生活态度","黄药眠","光明报","1946","新9","8-11","香港"
"旧金山中国与远东大会记实","坚夫","光明报","1946","新9","16","香港"
"短评:反抗的信号","斯","光明报","1946","新9","2","香港"
"短评:以民主来保证世界平和","梓","光明报","1946","新9","2-3","香港"
"台湾来鸿","其善","光明报","1946","新9","12-13","香港"
"暗无天日的陆丰","弋戈","光明报","1946","新9","13-15","香港"
"短评:在强化中的民主力量","达","光明报","1946","新9","2","香港"
"短评:院长的住宅也被搜查了","云","光明报","1946","新9","3","香港"
"短评:从南北行的生意说起","辛","光明报","1946","新9","3","香港"
"反对内战，反对征兵!","光明报","1946","新9","封1",NA,"香港"
"向广东国民党当局抗议","光明报","1946","新10","封1",NA,"香港"
"“第二大党”的丑像","何满","光明报","1946","新10","16","香港"
"短评:欢迎中国劳协领导机构迁港","史","光明报","1946","新10","3","香港"
"中国民主革命的前奏:中国民主运动史讲话之一","晨曦","光明报","1946","新10","10-11，13","香港"
"介绍民主运动中几位青年化的老战士","诸葛子明","光明报","1946","新10","12-13","香港"
"南京的苦闷与挣扎","东方晦之","光明报","1946","新10","4-5","香港"
"短评:中美商约见效了","吉","光明报","1946","新10","3","香港"
"短评:斥民社党的子敬先生","达","光明报","1946","新10","2","香港"
"评所谓“中华民国宪草法案”","黄药眠","光明报","1946","新10","8-9","香港"
"短评:国际时局的转机","高","光明报","1946","新10","2-3","香港"
"上海摊贩骚动详记","黎洪","光明报","1946","新10","14-15","香港"
"英国外交殖民政策展望","艾秋飆","光明报","1946","新10","6-7","香港"
"短评:经济崩溃可以救济吗?","高","光明报","1946","新10","3","香港"
"中国在一九四七年的门槛上","黄药眠","光明报","1946","新11","6-8，17","香港"
"我对宪草的批评:三十五年十二月六日演讲于金陵大学","罗隆基 辛斤","光明报","1946","新11","18-20","香港"
"内战一年的回顾与展望","思慕","光明报","1946","新11","14-17","香港"
"张澜先生在上海各人民团体欢迎茶会讲演词","光明报","1946","新11","4-5",NA,"香港"
"评杜鲁门总统十二月十八日的声明","光明报","1946","新11","2-3",NA,"香港"
"反对一党独裁的宪法!","光明报","1946","新11","3",NA,"香港"
"三十五年中国经济的总结","千家驹","光明报","1946","新11","11","香港"
"一年来国际形势的鸟瞰","张铁生","光明报","1946","新11","9-15","香港"
"民主运动在广西","郑丹","光明报","1946","新2","13-14","香港"
"短评:法币贬值与一党专政","益智","光明报","1946","新2","2","香港"
"梁漱溟谈话，秘长职辞意打消","光明报","1946","新2","7",NA,"香港"
"我们相信着人民的力量","光明报","1946","新2","封1",NA,"香港"
"陈嘉庚致杜鲁门电民盟南总表示支持","光明报","1946","新2","16",NA,"香港"
"短评:谁才是爱国者","瑗","光明报","1946","新2","2-3","香港"
"短评:军统宣布撤销","艾","光明报","1946","新2","3","香港"
"响应“撤离中国周”运动","光明报","1946","新2","16",NA,"香港"
"华莱士的“原子弹”演说与其后果","思慕","光明报","1946","新2","8-10","香港"
"短评:“五人”与“三人”之争","觉","光明报","1946","新2","2","香港"
"祝民盟二中全会","光明报","1946","新12","2",NA,"香港"
"短评:勗越南的人民","光明报","1946","新12","3",NA,"香港"
"响应反对美军暴行运动!","黄药眠","光明报","1946","新12","6-7","香港"
"反对美军暴行!","黎洪","光明报","1946","新12","14-16","香港"
"学生抗议美军暴行联合会致杜鲁门总统书","光明报","1946","新12","16",NA,"香港"
"清末民主运动的两条路线:民主运动史话之二","晨曦","光明报","1946","新12","12-13","香港"
"民主运动在南洋:居鑾民盟区分部定期正式成立","光明报","1946","新12","8",NA,"香港"
