"title","author","journal","year","vol","page","place"
"短评:法兰西觉醒了","华","国讯","1945","第393期","2-3","上海"
"中国与中国人","张申府","国讯","1945","第387期","14-15","上海"
"短评:逃难与抗争","楠","国讯","1945","第393期","2","上海"
"内战阻滞了经济复员","秦柳方","国讯","1945","第403期","7-8","上海"
"旧金山会议前夕的所感所闻","俞颂华","国讯","1945","第387期","6-9","上海"
"亚洲战局与苏联","俞颂华","国讯","1945","第386期","9-12","上海"
"西班牙的真正问题","欧罗 潘焕昆","国讯","1945","第385期","16-19","上海"
"史迪威将军:[画图]","国讯","1945","第386期","15",NA,"上海"
"战后教育最要的一点","黄炎培","国讯","1945","第394期","7-8","上海"
"读者来函:急待解决的几个问题","王善淳 黄炎培","国讯","1945","第402期","14-15","上海"
"大众呼声:立法与守法","冷风","国讯","1945","第404期","5","上海"
"马歇尔将军来华与美国对华政策","引流","国讯","1945","第404期","8-9","上海"
"短评:民主与团结","华","国讯","1945","第387期","3","上海"
"今年的战局","张礼千","国讯","1945","第384期","7","上海"
"谈片:吸收外资","国讯","1945","第388期","23",NA,"上海"
"出席联合国会议的美国代表","国讯","1945","第387期","8-9",NA,"上海"
"我们需要和平","国讯","1945","第403期","封1",NA,"上海"
"对敌寇新攻势的警惕","国讯","1945","第385期","3",NA,"上海"
"胜利声中的经济恐慌","秦柳方","国讯","1945","第400期","15-17","上海"
"世界新态度","黄炎培","国讯","1945","第394期","封1","上海"
"六千万个工作","国讯","1945","第400期","13",NA,"上海"
"大众呼声:从速改善小学教师的待遇","木林","国讯","1945","第393期","13","上海"
"一线希望在那里(为反对内战作):[诗歌]","黄炎培","国讯","1945","第403期","5","上海"
"短评:国民代表资格之商榷","潮声","国讯","1945","第396期","2","上海"
"泛论当前金融经济问题","杨蔚","国讯","1945","第400期","18-19","上海"
"短评:华侨的“胜利灾”","澹","国讯","1945","第404期","4","上海"
"美弗兰克林罗斯福统计悼词","黄炎培","国讯","1945","第390期","11","上海"
"大家呼声:我们需要的县长:不怕丢官，不怕丢命","罗守信","国讯","1945","第387期","27","上海"
"新年征文(一):我们当前应有的努力:我们应该如何补救时弊","吴斐丹","国讯","1945","第383期","17","上海"
"时事述评:向和平世界迂回前进(九月一日至二十八日)","引流","国讯","1945","第400期","20-22","上海"
"本刊四百期特刊纪念文之一:论中间性刊物","孙起孟","国讯","1945","第400期","24-26","上海"
"各地通讯:雷·雷·雷·到处是地雷:草木皆雷:敌后迎雷战缩影","穆欣","国讯","1945","第388期","19-21","上海"
"仗已打完，快去读书","国讯","1945","第400期","10",NA,"上海"
"日寇在中国的军事情势","伊利奥特","国讯","1945","第388期","15","上海"
"“八一三”第八周年:“八一三”我感","夏孟辉","国讯","1945","第396期","9","上海"
"短评:大势光明仍须努力","澹","国讯","1945","第394期","2","上海"
"反法西斯战争进入新阶段了:不要让他们赢得“和平”!(四月一日起至十五日止)","梁公任","国讯","1945","第390期","12-14","上海"
"促进我们经济发展的机会","俞颂华","国讯","1945","第385期","4-7","上海"
"澹庐摘报:自由与自由主义","国讯","1945","第384期","20-21",NA,"上海"
"张东荪先生访问记:胜利后的北平情形:并论政治协商会议前途","尚丁","国讯","1945","第404期","9-11","上海"
"新世界的大宪章:克里米亚会议的伟绩","陶大镛","国讯","1945","第386期","7-8","上海"
"亚洲的决策","拉铁摩尔","国讯","1945","第389期","7","上海"
"美国青年的团结活动","国讯","1945","第393期","8",NA,"上海"
"短评:一位英国友人的忠言","澹","国讯","1945","第394期","3","上海"
"谈片:乡间民瘼","国讯","1945","第388期","22",NA,"上海"
"日寇诱和阴谋的透","引流","国讯","1945","第392期","6","上海"
"要青年忘掉国家民族:不是别有用心?","高克夫","国讯","1945","第385期","20","上海"
"贵阳恢复繁荣了(贵阳通讯)","谈兵","国讯","1945","第388期","16-17","上海"
"瞻望民国卅四年","俞颂华","国讯","1945","第383期","6-8","上海"
"关于旧金山会议美国代表","小鱼","国讯","1945","第388期","10-11","上海"
"释亮话","马马昭","国讯","1947","第416期","3","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:彭泽民谈总动员令","M.H.","国讯","1947","第423期","12","上海"
"一周间时事研究提纲:历史性的法令","石啸冲","国讯","1947","第416期","7","上海"
"怀念颂华先生(附照片)","方秋苇","国讯","1947","第444期","4","上海"
"世界一周:美国的紧急援欧","司马天籁","国讯","1947","第441期","10","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:港民主人士论“总动员令”","M.H.","国讯","1947","第423期","12","上海"
"十万大钞出笼与年关危机","石仲子","国讯","1947","第444期","16","上海"
"中国战场现势分析(附图)","Lee，F. 王民","国讯","1947","第437期","3-5","上海"
"说亮话:向英国访华团致词:怎样挽救未来世界严重危机?","黄炎培","国讯","1947","第435期","封1，2-3","上海"
"一周间时事研究提纲:中国的局势","石啸冲","国讯","1947","第421期","10","上海"
"西贡素描","Zuns，P.J. M.H.","国讯","1947","第441期","6-7","上海"
"三位朋友从外国寄来的信","抱一","国讯","1947","第441期","10-11","上海"
"恐怖笼罩的昆明","Shaw，S. 王民","国讯","1947","第441期","5","上海"
"新闻界之释迦牟尼:俞颂华先生:俞颂华先生遗像:[照片]","国讯","1947","第436期","11",NA,"上海"
"人民的世纪:罗人民庆祝希解放阵线六周年","M.H.","国讯","1947","第435期","11","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美报评论蒋主席演辞","M.H.","国讯","1947","第431期","11","上海"
"麦克阿瑟手上的一颗石子","王芸生","国讯","1947","第434期","3","上海"
"一周间时事研究提纲:独立的阻碍、争执的焦点","石啸冲","国讯","1947","第417期","9","上海"
"一周间时事研究提纲:防共阵线、印尼局势","石啸冲","国讯","1947","第418期","9","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:泰晤士报评中国局势","M.H.","国讯","1947","第421期","12","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:邓初民讲内战性质","M.H.","国讯","1947","第418期","11","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:世界工联援助民主职工","M.H.","国讯","1947","第419期","11","上海"
"人民的世纪:张澜对杜案发表谈话","M.H.","国讯","1947","第435期","11","上海"
"工商界应如何自救?","邓初民","国讯","1947","第432期","2","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:纽约大学生致函中国学生","M.H.","国讯","1947","第424期","12","上海"
"丁亥(春日白下):[诗词]","苏渊雷","国讯","1947","第417期","4","上海"
"魏德迈临别声明的背景","Tsao，H.L. 蒸","国讯","1947","第431期","3","上海"
"中国的外交政策","王民","国讯","1947","第431期","6","上海"
"究竟是造就人才呢?还是__贼人才呢?","陈阳","国讯","1947","第432期","10","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:美职工要求承认印尼","M.H.","国讯","1947","第444期","19","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:冯玉祥在美谈话","M.H.","国讯","1947","第431期","11","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:国际学联重要决议","M.H.","国讯","1947","第429期","11","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士提出新建议","M.H.","国讯","1947","第419期","11","上海"
"我的社会安全观","卫玉","国讯","1947","第417期","2","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:民盟否认答覆质询","M.H.","国讯","1947","第418期","11","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:罗斯福夫人发表演说","M.H.","国讯","1947","第417期","11","上海"
"说亮话:仗打不下去了","黄炎培","国讯","1947","第414期","封1","上海"
"检讨当前社会经济危机:上海一部分工商界及经济专家意见的总结","流水","国讯","1947","第416期","5-6","上海"
"说亮话:六月二日过去了","卫玉","国讯","1947","第416期","封1","上海"
"人民的世纪:南洋学生关怀祖国学运","M.H.","国讯","1947","第443期","11","上海"
"正视马来亚的实现","晓笛","国讯","1947","第443期","7","上海"
"明天:晴朗的日子:[诗歌]","林维仁","国讯","1947","第429期","6","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:陈嘉庚发表谈话","M.H.","国讯","1947","第430期","11","上海"
"一周间时事研究提纲:“中国政治的潮汐表”","石啸冲","国讯","1947","第415期","7","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:华莱士号召拯救和平","M.H.","国讯","1947","第415期","8","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:各民主党团指斥谣传","M.H.","国讯","1947","第413期","8","上海"
"人民的世纪:报道国内外民主消息，记载全世界解放运动:沪学联上书蒋主席","M.H.","国讯","1947","第418期","11","上海"
"“喂，喂，第三次世界大战究竟什么时候爆发呀?”:[画图]","米谷","国讯","1947","第415期","3","上海"
"论外销物资收购政策","沈光沛","国讯","1947","第419期","5","上海"
"南中国即将出现的新省:今日的海南岛(附图)","扬义旗","国讯","1947","第419期","7-8","上海"
"人民的世纪:昆明学潮解决","M.H.","国讯","1947","第443期","11","上海"
"论政治斗争","张东荪","国讯","1947","第434期","2","上海"
