"title","author","journal","year","vol","page","place"
"在法庭上：較場口血案聽審記","解放","1946","第1期","20-21",NA,"北平"
"中國法西斯派向孫中山先生的民主主義挑戰","解放","1946","第1期","2",NA,"北平"
"歡迎葉挺將軍出獄：[詩歌]","卞梁","解放","1946","第1期","21","北平"
"華北聯合大學介紹","解放","1946","第1期","22",NA,"北平"
"誰把國民黨辦壞了？","解放","1946","第1期","3-4",NA,"北平"
"威海衛参議會梁議長加入中共","解放","1946","第1期","4",NA,"北平"
"中國法西斯派的綱領","解放","1946","第1期","5-6",NA,"北平"
"恐怖的“自由”！","解放","1946","第1期","6-7",NA,"北平"
"典型的撤謊者","解放","1946","第1期","8",NA,"北平"
"把法西斯份子從政府機構中清洗出去","解放","1946","第1期","9，15",NA,"北平"
"重慶事件與東北問題","解放","1946","第1期","10-12",NA,"北平"
"實事實話","啟先","解放","1946","第2期","0-1","北平"
"中共改造了中國的經濟","史坦因 李楠","解放","1946","第2期","12-13","北平"
"蕭克將軍答記者問：中央社顛倒是非捏造新聞","解放","1946","第2期","12-13",NA,"北平"
"東北人民團結起來制止内戰！","解放","1946","第2期","13-14",NA,"北平"
"東北通化暴動詳情：主犯之一日人田友供認","解放","1946","第2期","14-15",NA,"北平"
"國民黨通化縣黨部書記長：孫耕曉的供詞","解放","1946","第2期","15",NA,"北平"
"悼李兆麟同志","解放","1946","第2期","16-17",NA,"北平"
"蘇北成立雪楓大學張垣創建醫科大學","解放","1946","第2期","17",NA,"北平"
"東北抗日游擊戰的領導者李兆麟將軍","解放","1946","第2期","18-19",NA,"北平"
"白旗堡“搬兵”：東北民主聯軍和老百姓的故事","室功","解放","1946","第2期","20","北平"
"解放區是怎樣救濟難胞？","趙陵","解放","1946","第2期","21","北平"
"出爾反爾：評國民黨二中全會","解放","1946","第2期","1-2",NA,"北平"
"解放區的婦女生活","解放","1946","第2期","22",NA,"北平"
"破產的政治理論","解放","1946","第2期","3-4",NA,"北平"
"先生此言差矣！","解放","1946","第2期","5",NA,"北平"
