"title","author","journal","year","vol","page","place"
"新華社社論：戰局的轉捩點：評蔣軍一三五旅被殲經過","群众","1947","第13期","2-3",NA,"香港"
"苦難中的蔣朝公務員（南京通訊）","葉馨","群众","1947","第38期","22","香港"
"讀者與編者：聲援聖約翰學生","藍田","群众","1947","第34期","21-22","香港"
"實現耕者有其田是實行中山先生的主要遺敎","許滌新","群众","1947","第37期","3-4","香港"
"讀者與編者：俘虜的話","群众","1947","第37期","22-23",NA,"香港"
"學生的災難（上海通讯）","柳揚","群众","1947","第31期","13","香港"
"世間果有人吃人！（浙江永嘉通訊）","天","群众","1947","第26期","10-13","香港"
"英德東鄕的大殺掠（北江通訊）","廖方明","群众","1947","第7期","22-23","香港"
"讀者與編者：旅法華僑和平促進會，對國民大會立法委員選舉宣言","群众","1947","第44期","22",NA,"香港"
"中共發言人評論暹羅政變","群众","1947","第46期","1",NA,"香港"
"茶亭雜話：無花菓葉子","汪老吉","群众","1947","第48期","17","香港"
"短評：盛宴招待日戰犯","群众","1947","第26期","4",NA,"香港"
"印度尼西亞的獨立戰爭（八月二日新華社社論）","群众","1947","第29期","6-7",NA,"香港"
"短評：注視又一賣國陰謀","群众","1947","第17期","16-17",NA,"香港"
"晋察總冀膠東晋綏渤海人民解放軍一年來戰績","群众","1947","第25期","19",NA,"香港"
"两廣縱隊在魯成立：前東縱司令曾生榮任司令員，宣言一直打囘兩廣解放華南","群众","1947","第29期","3",NA,"香港"
"“改組”？“該煮”？：[畫圖]","李蒙","群众","1947","第3期","18","香港"
"思想漫步：夾縫中的人","依羣","群众","1947","第48期","14","香港"
"讀者與編者：這是我的責任、唯懦怯者最殘忍","竹","群众","1947","第39期","21","香港"
"攻勢接着攻勢","朝新","群众","1947","第22期","8-9","香港"
"頹勢能夠挽救嗎？（附圖）","朝新","群众","1947","第20期","13-14","香港"
"讀書雜記：勇敢和謙遜","封風","群众","1947","第32期","20-21","香港"
"短評：誰處置誰？","群众","1947","第35期","8",NA,"香港"
"攻守易勢的開端","朝新","群众","1947","第14期","8-9","香港"
"短評：團結起來抵制日貨","群众","1947","第33期","8",NA,"香港"
"兇手和帮兕：[畫圖]","葉菲","群众","1947","第18期","12","香港"
"短評：抗議封閉三報舘","群众","1947","第18期","1",NA,"香港"
"解放區民兵：（上）配合主力作戰，冀中民兵收割敵人的電綫：[照片]","群众","1947","第13期","11",NA,"香港"
"“天皇”麥克阿瑟在日本","(美)David Arnold 端納","群众","1947","第33期","3-5","香港"
"短評：壓廹的鉗子伸到海外","群众","1947","第26期","5",NA,"香港"
"解放區縱橫行（二）","雲尼·李東白 安娜·史特朗","群众","1947","第28期","20-21","香港"
"短評：爲于子三復仇","群众","1947","第42期","2",NA,"香港"
"算一筆美金賬：兩年多來美國給了蔣介石多少援助？","許滌新","群众","1947","第44期","6-8","香港"
"把反蔣統一戰線的革命戰爭進行到底","方方","群众","1947","第47期","4-5","香港"
"扶不起來的奴才：[漫畫多幅]","特偉","群众","1947","第45期","4-6","香港"
"天南地北：過關以後呢？","群众","1947","创刊号","14",NA,"香港"
"茶亭雜話：怎樣辦？","汪老吉","群众","1947","第40期","16","香港"
"婦女們的活動（未完）（解放區報導）","史特朗","群众","1947","第45期","21-22","香港"
"東北民主聯軍秋季攻勢戰績（新華社東北二十七日電）","群众","1947","第45期","10",NA,"香港"
"大獨裁者的故事：[漫畫多幅]","特偉","群众","1947","第37期","19-20","香港"
"掀起了土地改革的高潮：解放的鐘聲响了：[照片]","群众","1947","第37期","10",NA,"香港"
"美國自絕於世界（下）","喬木","群众","1947","第29期","12-14","香港"
"十一月以來的戰局（一九四七年二月廿三日解放日報社論）","群众","1947","第6期","9",NA,"香港"
"助學運動在燕京（北平通訊）","謝華","群众","1947","第31期","14","香港"
"短評：救濟品那裏去了","群众","1947","第30期","6",NA,"香港"
"社論：繼續鬥爭，不進圈套！","路","群众","1947","第17期","1","香港"
"“國際婦女民主聯盟”","群众","1947","第6期","14-15",NA,"香港"
"中共中央發言人揭露蔣介石出賣海關","夏","群众","1947","第46期","1","香港"
"暹羅政變及其發展（曼谷通訊）","秋虹","群众","1947","第46期","14-15","香港"
"紀念“七一”，學習毛澤東思想（附照片）","方方","群众","1947","第23期","3-6","香港"
"茶亭雜話：“漸呈不耐之感”","汪老吉","群众","1947","第41期","5","香港"
"毛澤東論人民的文化與人民的文藝：（摘錄自毛澤東：“新民主主義論”“在文藝座談會的講話”兩文（附照片）","群众","1947","第15期","8-10",NA,"香港"
"再次開展立功運動（解放日報四日社論）","群众","1947","第3期","9-10",NA,"香港"
"“戲狗圖”：[漫畫]","蘆衣","群众","1947","第22期","2","香港"
"讀者與信箱：武装起來了","田禾","群众","1947","第32期","23","香港"
"“十年樹人”：[漫畫]","群众","1947","第22期","10",NA,"香港"
"短評：兒皇帝的苦悶","群众","1947","创刊号","12",NA,"香港"
"羣衆中來：廣西大學兩種力量的鬥爭","殿軍","群众","1947","第9期","7-8","香港"
"親如家人的解放區軍民：給保衛人民的英勇將士戴花：[照片]","群众","1947","第17期","11",NA,"香港"
"從南面進廹瀋陽","朝新","群众","1947","第21期","11-12","香港"
"人民觧放軍大舉反攻（新華社社論）：劉伯承將軍：[照片]","群众","1947","第34期","2",NA,"香港"
"短評：往那裡走？","群众","1947","第39期","6",NA,"香港"
"醜婦撒嬌：[漫畫]","安尼","群众","1947","第35期","8","香港"
"茶亭雜話：叶與不叶","汪老吉","群众","1947","第37期","19","香港"
"經濟總崩潰更接近了！","許滌新","群众","1947","第14期","2-4","香港"
"讀者與編者：援助華商報","盧永明 黃木蘭","群众","1947","第39期","21","香港"
"人民觧放軍大舉反攻（新華社社論）：賀龍將軍：[照片]","群众","1947","第34期","2",NA,"香港"
