"title","author","journal","year","vol","page","place"
"反对内战与争取和平:呼吁停止内战:致国民参政会的公开信","江恒源","现代文摘(上海)","1947","第1卷 第1期","3-4","上海"
"我们对于最近学生运动的意见(附照片)","叶圣陶 杨卫玉 孙起孟","现代文摘(上海)","1947","第1卷 第1期","9","上海"
"动荡中的国际形势:眼前“两个世界”的明朗化","胡适","现代文摘(上海)","1947","第1卷 第1期","14-15","上海"
"反对内战与争取和平:最近时局","张东荪","现代文摘(上海)","1947","第1卷 第1期","2-3","上海"
"经济崩溃的新阶段","姜庆湘","现代文摘(上海)","1947","第1卷 第1期","10-11","上海"
"大局浮动·学潮如火","储安平","现代文摘(上海)","1947","第1卷 第1期","6-7","上海"
"动荡中的国际形势:今日的世界","陶孟和","现代文摘(上海)","1947","第1卷 第1期","15-16","上海"
"念骆宾基","徐中玉","现代文摘(上海)","1947","第1卷 第1期","22-24","上海"
"有朋自远方来:[画图]","洪荒","现代文摘(上海)","1947","第1卷 第1期","18","上海"
"经济的改造","吴景超","现代文摘(上海)","1947","第1卷 第1期","12-13","上海"
"知识份子的使命","周建人","现代文摘(上海)","1947","第1卷 第5/6期","102","上海"
"电灯皮鞋将有应市","现代文摘(上海)","1947","第1卷 第5/6期","109",NA,"上海"
"美苏两方的误解(附图)","Salisbvry，H.E. 雪松","现代文摘(上海)","1947","第1卷 第5/6期","111-113","上海"
"酝酿中的第三次世界大战","胡焕庸","现代文摘(上海)","1947","第1卷 第5/6期","110-111","上海"
"窃贼也复古","现代文摘(上海)","1947","第1卷 第5/6期","109",NA,"上海"
"为中国问题忠告美国","张东荪","现代文摘(上海)","1947","第1卷 第5/6期","95-96","上海"
"囚犯不堪狱中苦","现代文摘(上海)","1947","第1卷 第5/6期","115",NA,"上海"
"日本又来走私","现代文摘(上海)","1947","第1卷 第5/6期","99",NA,"上海"
"一年来吾国经济政策的检讨","赵兰坪","现代文摘(上海)","1947","第1卷 第5/6期","104-106","上海"
"官僚教育与市侩教育","蔡尚思","现代文摘(上海)","1947","第1卷 第5/6期","103","上海"
"投效无门:[漫画四幅]","阿礼","现代文摘(上海)","1947","第1卷 第5/6期","106","上海"
"青年人的苦闷","胡适","现代文摘(上海)","1947","第1卷 第5/6期","100-101","上海"
"悲惨的小公务员","现代文摘(上海)","1947","第1卷 第5/6期","99",NA,"上海"
"中国外交往何处去","林焕平","现代文摘(上海)","1947","第1卷 第5/6期","98-99","上海"
"战时财政何时了","崔敬伯","现代文摘(上海)","1947","第1卷 第5/6期","106-107","上海"
"物价为什么会涨?","马寅初","现代文摘(上海)","1947","第1卷 第5/6期","108-109","上海"
"华盛顿·布达佩斯·罗马","张铁生","现代文摘(上海)","1947","第1卷 第5/6期","114-115","上海"
"通货膨胀与公债发行","王璧岑","现代文摘(上海)","1947","第1卷 第5/6期","107-108","上海"
"漫谈知识份子的时代使命","蒋廷黻","现代文摘(上海)","1947","第1卷 第5/6期","101-102","上海"
"童养媳集体投河","现代文摘(上海)","1947","第1卷 第5/6期","115",NA,"上海"
"报馆倒霉","现代文摘(上海)","1947","第1卷 第5/6期","99",NA,"上海"
"谁上了杜鲁门的当","乔木","现代文摘(上海)","1947","第1卷 第5/6期","113-114","上海"
"广州亦倡禁舞","现代文摘(上海)","1947","第1卷 第5/6期","109",NA,"上海"
"美国援华问题的烦恼(附图)","宦乡","现代文摘(上海)","1947","第1卷 第5/6期","96-98","上海"
"国币不如冥币","现代文摘(上海)","1947","第1卷 第5/6期","99",NA,"上海"
"抢米群众判罪","现代文摘(上海)","1947","第1卷 第5/6期","115",NA,"上海"
"法律问题:[漫画]","方成","现代文摘(上海)","1947","第1卷 第5/6期","封1","上海"
"“马歇尔计划”的真相(附表)","陶大镛","现代文摘(上海)","1947","第1卷 第7期","135-137","上海"
"最后一幅墙:[漫画]","方成","现代文摘(上海)","1947","第1卷 第7期","封1","上海"
"从杜鲁门主义到马歇尔主义","费孝通","现代文摘(上海)","1947","第1卷 第7期","133-135","上海"
"中国的政治病","萧公权","现代文摘(上海)","1947","第1卷 第7期","117-118","上海"
"新流亡图:[画图]","建庵","现代文摘(上海)","1947","第1卷 第7期","123","上海"
"民主政治的前提","马义","现代文摘(上海)","1947","第1卷 第7期","122-123","上海"
"论改良主义的经济方案:评刘大中李崇淮方显廷诸氏的主张","杨深","现代文摘(上海)","1947","第1卷 第7期","124-126","上海"
"自动涨价机:[画图]","黄墅","现代文摘(上海)","1947","第1卷 第7期","127","上海"
"从杜鲁门主义到马歇尔方案","杨刚","现代文摘(上海)","1947","第1卷 第7期","130-133","上海"
"行宪需要反对党","崔书琴","现代文摘(上海)","1947","第1卷 第7期","121-122","上海"
"恢复中日私人贸易的真相:原题为八月十五日我国经济上的重大关头(附表)","娄立斋","现代文摘(上海)","1947","第1卷 第7期","126-128","上海"
"美国经济危机与中国:原题为美国为什么对中国有野心?","马寅初","现代文摘(上海)","1947","第1卷 第7期","128-129","上海"
"论民主精神","刘乃诚","现代文摘(上海)","1947","第1卷 第7期","120-121","上海"
"前进的行列:[画图]","方成","现代文摘(上海)","1947","第1卷 第7期","119","上海"
"两种根本不同的政党","胡适","现代文摘(上海)","1947","第1卷 第7期","118-120","上海"
"小民狂想曲:[画图]","阿礼","现代文摘(上海)","1947","第1卷 第8期","146","上海"
"欢迎魏特曼特使来华","翁之镛","现代文摘(上海)","1947","第1卷 第8期","141-142","上海"
"闲话革命","俞平伯","现代文摘(上海)","1947","第1卷 第8期","159","上海"
"新闻集锦:自己切断手指","现代文摘(上海)","1947","第1卷 第8期","154",NA,"上海"
"有何面目见先贤:[画图]","伊里斯","现代文摘(上海)","1947","第1卷 第8期","142","上海"
"欢迎魏德迈","沈从文","现代文摘(上海)","1947","第1卷 第8期","139-140","上海"
"试论美国的“中韩调查团”及我国的反应","吴世昌","现代文摘(上海)","1947","第1卷 第8期","140-141","上海"
"悲剧的国度:[诗歌]","任钧","现代文摘(上海)","1947","第1卷 第8期","158","上海"
"新闻集锦:汽车杀人最高纪录","现代文摘(上海)","1947","第1卷 第8期","154",NA,"上海"
"李虾扒","沙汀","现代文摘(上海)","1947","第1卷 第8期","155-158","上海"
"对日本问题的再认识","王芸生","现代文摘(上海)","1947","第1卷 第8期","150-151","上海"
"如何解救中国经济危机","粟寄沧","现代文摘(上海)","1947","第1卷 第8期","148-149","上海"
"评“经济改革方案”","方显廷","现代文摘(上海)","1947","第1卷 第8期","143-145","上海"
"当前经济应如何改革?","杨西孟","现代文摘(上海)","1947","第1卷 第8期","145-146","上海"
"对日和约问题","宦乡","现代文摘(上海)","1947","第1卷 第8期","151-153","上海"
"新闻集锦:木刻家陈烟桥被捕以后","现代文摘(上海)","1947","第1卷 第8期","154",NA,"上海"
"开放对日贸易与民族工业","娄立斋","现代文摘(上海)","1947","第1卷 第8期","153-154","上海"
"太阳旗又挂起来了:[漫画]","佚名","现代文摘(上海)","1947","第1卷 第8期","封1","上海"
"改革币制是当前的需要","王新命","现代文摘(上海)","1947","第1卷 第8期","147-148","上海"
"对日和会应由中国领导论","林焕平","现代文摘(上海)","1947","第1卷 第9期","164-165","上海"
"荣报","臧克家","现代文摘(上海)","1947","第1卷 第9期","176-180","上海"
"党派斗争·官僚作风·贪污陋习:今日大学中的三个问题","钱实甫","现代文摘(上海)","1947","第1卷 第9期","171-173","上海"
"从经济观点论对日问题","孟宪章","现代文摘(上海)","1947","第1卷 第9期","168-170","上海"
"新闻集锦:人间惨剧","现代文摘(上海)","1947","第1卷 第9期","175",NA,"上海"
"新闻集锦:苏州监犯闹狱","现代文摘(上海)","1947","第1卷 第9期","165",NA,"上海"
"分析教育当局对于男女分校的用意","雷洁琼","现代文摘(上海)","1947","第1卷 第9期","174-175","上海"
"如何挽救当前之高等教育危机","胡先骕","现代文摘(上海)","1947","第1卷 第9期","173-174","上海"
"瘾君子毒贩和魔鬼","雪峰","现代文摘(上海)","1947","第1卷 第9期","181","上海"
"新官上任:[画图]","穆企","现代文摘(上海)","1947","第1卷 第9期","172","上海"
"沉痛中的挽救:写在开放对日贸易之时","汪竹一","现代文摘(上海)","1947","第1卷 第9期","166-167","上海"
"日本旗重新飘摇在富士山上:[画图]","佚名","现代文摘(上海)","1947","第1卷 第9期","169","上海"
"他仍没有死:[画图]","佚名","现代文摘(上海)","1947","第1卷 第9期","封1","上海"
"新闻集锦:上海将禁舞","现代文摘(上海)","1947","第1卷 第9期","175",NA,"上海"
"写给足以自豪的美国","何永佶","现代文摘(上海)","1947","第1卷 第9期","163-164","上海"
"新闻集锦:儿童国成立","现代文摘(上海)","1947","第1卷 第9期","175",NA,"上海"
"开放对日贸易主动在我","黄元彬","现代文摘(上海)","1947","第1卷 第9期","167-168","上海"
"不应固执地去看美国外交","费孝通","现代文摘(上海)","1947","第1卷 第9期","161-163","上海"
"美军虐待华工","现代文摘(上海)","1947","第1卷 第9期","170",NA,"上海"
"权门政治与豪门经济","钱实甫","现代文摘(上海)","1947","第1卷 第10期","186-187","上海"
"国病","邓之诚","现代文摘(上海)","1947","第1卷 第10期","184-185","上海"
"评外汇管理新办法","杨荫溥","现代文摘(上海)","1947","第1卷 第10期","189-190","上海"
"竞选者的垫脚石:[画图]","黄墅","现代文摘(上海)","1947","第1卷 第10期","封1","上海"
"论当前世界形势中的主要矛盾","乔木","现代文摘(上海)","1947","第1卷 第10期","195-198","上海"
"蜡梅花开","田涛","现代文摘(上海)","1947","第1卷 第10期","199-203","上海"
"论美苏矛盾:原题为从莫斯科看美苏关系(附图)","梁纯夫","现代文摘(上海)","1947","第1卷 第10期","193-194","上海"
"魏德迈的苦闷","张明养","现代文摘(上海)","1947","第1卷 第10期","183-184","上海"
"新民谣:[画图多幅]","何其","现代文摘(上海)","1947","第1卷 第10期","185","上海"
"非常情形下的物价及经济问题","杨西孟","现代文摘(上海)","1947","第1卷 第10期","190-192","上海"
"动荡中的国际形势:从门罗主义到杜鲁门主义","张铁生","现代文摘(上海)","1947","第1卷 第1期","16-17","上海"
"当前经济政策","周伯棣","现代文摘(上海)","1947","第1卷 第1期","11-13","上海"
"它的名字就叫做“生活”:[照片]","臧克家","现代文摘(上海)","1947","第1卷 第1期","25","上海"
"学潮平议:上海警察阻止学生游行:[照片]","现代文摘(上海)","1947","第1卷 第1期","8",NA,"上海"
"学潮平议:学生与骑巡队在西藏路上交涉:[照片]","现代文摘(上海)","1947","第1卷 第1期","8",NA,"上海"
"我们对于最近学生运动的意见:上海学生游行在外滩公园散队:[照片]","现代文摘(上海)","1947","第1卷 第1期","9",NA,"上海"
"政学系·民社党·青年党的家谱","现代文摘(上海)","1947","第1卷 第1期","19-21",NA,"上海"
"反对开放对日贸易","马寅初","现代文摘(上海)","1947","第1卷 第10期","188-189","上海"
"催马加鞭:[画图]","失名","现代文摘(上海)","1947","第1卷 第11期","214","上海"
