"title","author","journal","year","vol","page","place"
"我从后方来","许杰","周报(上海1945)","1945","第3期","16","上海"
"道思想自由之路","胡曲园","周报(上海1945)","1945","第2期","10-11","上海"
"每周文摘:“柳诗”“尹画”读后献词","茅盾","周报(上海1945)","1945","第10期","17","上海"
"每周文摘:论武侠小说","张恨水","周报(上海1945)","1945","第11期","19","上海"
"太过与不及","朱洗","周报(上海1945)","1945","第11期","20-21","上海"
"寄自胜利的陪都","蔡楚生","周报(上海1945)","1945","第2期","15","上海"
"长春情调","吕德润","周报(上海1945)","1945","第9期","22","上海"
"评坛:改名中正路之后","特","周报(上海1945)","1945","第10期","3","上海"
"狼鼠之外","徐系","周报(上海1945)","1945","第9期","17-18","上海"
"丑剧:[画图]","丰子恺","周报(上海1945)","1945","第2期","16","上海"
"苏北印象记","罗尔鲍 林松","周报(上海1945)","1945","第17期","22-23","上海"
"评坛:“民亦劳止”","潜","周报(上海1945)","1945","第6期","2","上海"
"战后萧条与安定民生","平心","周报(上海1945)","1945","第3期","6-9","上海"
"民主，民主，谈何容易?:[漫画]","马丁","周报(上海1945)","1945","第14期","12","上海"
"评坛:转机","堂","周报(上海1945)","1945","第16期","2-3","上海"
"每周文摘:为江浙人民呼吁!(大公报)","周报(上海1945)","1945","第10期","14-15",NA,"上海"
"兰品","索非","周报(上海1945)","1945","第10期","20","上海"
"每周文摘:和平建国的原则","黄炎培","周报(上海1945)","1945","第14期","19","上海"
"傀儡戏:[画图]","丰子恺","周报(上海1945)","1945","第3期","13","上海"
"读者通讯:不要让汉奸混进教育界","张珏 李自强 虞德林","周报(上海1945)","1945","第7期","20","上海"
"战后柏林素描:清除电车轨道:[照片]","周报(上海1945)","1945","创刊号","32",NA,"上海"
"中华全国文艺界抗敌协会来件:为庆祝胜利告国人书","周报(上海1945)","1945","第4期","14-15",NA,"上海"
"战后人民最低限度的要求","平心","周报(上海1945)","1945","创刊号","4-6","上海"
"评坛:煳涂","特","周报(上海1945)","1945","第9期","2","上海"
"评坛:越南问题、且看事实","浮 芜","周报(上海1945)","1945","第10期","2-3","上海"
"昆明血案寔录:死难战士的哀祭","周报(上海1945)","1945","第15期","9",NA,"上海"
"记重庆鲁迅逝世九周年纪念会","力扬","周报(上海1945)","1945","第9期","13-15","上海"
"胜利带来了一切","陶行知","周报(上海1945)","1945","第9期","20-21","上海"
"特辑:如何清理中储券?:整理伪储券应有之注意点","瞿荆洲","周报(上海1945)","1945","创刊号","17-19","上海"
"摧残文化:[漫画]","丰子恺","周报(上海1945)","1945","第8期","封1","上海"
"评坛:两件急政","羽","周报(上海1945)","1945","第5期","2","上海"
"读者通讯:悲愤的共鸣","尊立","周报(上海1945)","1945","第17期","31","上海"
"特辑:关于“夜店”:孩子的话","调孚","周报(上海1945)","1945","第11期","12-13","上海"
"每周文摘:征求民意:向政治协商会议提案(民主同盟)","周报(上海1945)","1945","第17期","17",NA,"上海"
"追记昆明万人大游行","不耳","周报(上海1945)","1945","第14期","14-15","上海"
"福斯失业与社会贫困(续上期)","平心","周报(上海1945)","1945","第9期","10-12","上海"
"中国的地位与责任","宦乡","周报(上海1945)","1945","第3期","4-5","上海"
"“天地玄黄”","郭沫若","周报(上海1945)","1945","第8期","5","上海"
"都市之音:[漫画]","丰子恺","周报(上海1945)","1945","第9期","封1","上海"
"津浦路徒步南行记(下期续完)","柳宗元","周报(上海1945)","1945","第15期","16-18","上海"
"评坛:怪火乎","堂","周报(上海1945)","1945","第13期","3","上海"
"每周文摘:越南问题(大公报)","周报(上海1945)","1945","第8期","16-17",NA,"上海"
"蛰居散记:暮影笼罩了一切","郑振铎","周报(上海1945)","1945","第2期","14-15","上海"
"读者通讯:上海学生那里去了","劳莹","周报(上海1945)","1945","第17期","30-31","上海"
"蛰居散记(十):记平祖仁与英茵(附照片)","郑振铎","周报(上海1945)","1945","第10期","10","上海"
"灶间婢子见人羞:[漫画]","丰子恺","周报(上海1945)","1945","第13期","封1","上海"
"记重庆武训先生纪念会","黎舫","周报(上海1945)","1945","第17期","15-16","上海"
"日本法西斯主义消灭了吗?","周建人","周报(上海1945)","1945","第12期","9-11","上海"
"无题:[漫画]","左拉","周报(上海1945)","1945","第5期","8-9","上海"
"评坛:宽大与严厉","韬","周报(上海1945)","1945","第2期","3","上海"
"秘密公开了!:[漫画]","沈同衡","周报(上海1945)","1946","第46期","18","上海"
"全国军人，放下武器来","丕强","周报(上海1945)","1946","第36期","3","上海"
"第一号政治犯:[漫画]","叶浅予","周报(上海1945)","1946","第24期","4","上海"
"揩干血痕，继续努力!","陈震中","周报(上海1945)","1946","第44期","14-15","上海"
"评坛:人民的末日到了","芜","周报(上海1945)","1946","第46期","2-3","上海"
"结束一党专政完成民主统一","邵翰齐","周报(上海1945)","1946","第20期","5-6","上海"
