"title","author","journal","year","vol","page","place"
"驳张发奎:中共广东区党委发言人谈话","正报","1946","新 第5期","4-5",NA,"香港"
"全面内战踏着疯狂的步伐","李超","正报","1946","新 第6期","8-9","香港"
"我逃离了苏北内战战场:一八七师一个连长的自述","刘健飞","正报","1946","新 第5期","15","香港"
"庆祝人民军队的诞生与壮大:纪念“八·一”向人民军队的创造者毛泽东朱德致敬","方方","正报","1946","新 第2期","5-7","香港"
"打不得也拖不得","正报","1946","新 第1期","5-6",NA,"香港"
"社论:从邦加侨工问题说起","正报","1946","第14期","2",NA,"香港"
"援救越南侨胞","张眭","正报","1946","第19期","14","香港"
"广东万花筒:强迫“思想革新”","正报","1946","新 第1期","21",NA,"香港"
"美军不应占领中国","曾彦修","正报","1946","新 第3期","5-6","香港"
"请勿“羡慕”我","得生","正报","1946","第15期","18","香港"
"奉令读伪报","柏","正报","1946","新 第4期","16","香港"
"十日时事纵横谈:苏北与中原","饶燄","正报","1946","新 第2期","8-9","香港"
"祝贺朱德将军六十寿辰","胡仲持 陈闲 胡明树","正报","1946","第17期","13","香港"
"“你好呀!小同志!你是广东解放区的豫征，来!来!让我来抱你到解放区母亲的怀抱中来，你将锻练成钢铁般的斗士”:[照片]","正报","1946","第18期","1页",NA,"香港"
"珠江三角洲人民子弟兵抗战史:二.保卫大良之战","公曼","正报","1946","新 第2期","20","香港"
"侨胞怎放心得下?","方敏","正报","1946","第16期","10-11","香港"
"人在阵地在:人民自卫战前线通讯","正报","1946","新 第7期","10-12",NA,"香港"
"四大家族:生吞吴谷五","唐河","正报","1946","第20期","20-21","香港"
"通讯:我随东江纵队到了烟台","路平","正报","1946","新 第2期","17","香港"
"时评:广州举行实兵大演习","正报","1946","新 第4期","11",NA,"香港"
"脱轨的列车(十一月十三日至十八日)","崔嵬","正报","1946","第15期","6-7","香港"
"论国民党区的经济崩溃","许滌新","正报","1946","第20期","7-9","香港"
"社论:恶毒谣言不能等间视之","正报","1946","第16期","2-3",NA,"香港"
"社论:反动派钻进死路","正报","1946","第15期","2-3",NA,"香港"
"反动派在菲陷害侨胞","张睦","正报","1946","新 第7期","6","香港"
