"title","author","journal","year","vol","page","place"
"论费边社","张文","主流","1947","第2期","6-11","南京"
"假使英国今天是保守党执政的话","白坚石","主流","1947","第9期","5-8","南京"
"世界之路·革命之途:论一个不流血革命的惯例","司马懷冰","主流","1947","第10期","1-4","南京"
"我们狂飙社的意见","王秋逸","主流","1947","第4期","21-23","南京"
"来一次生活观念上的革命","马元青","主流","1947","第11期","5-9","南京"
"以第三世界之长成消除资共世界的对立","羅夢册","主流","1947","第5期","1-10","南京"
"河大来件","主流","1947","第9期","19",NA,"南京"
"中国必能走上社会主义的坦途","黄镜明","主流","1947","第5期","22-23","南京"
"以民主自由社会主义的革命救中国","羅夢册","主流","1947","第7期","1-4","南京"
"从中国抗战以来之学术思想看新革命运动","楊震羽","主流","1947","第2期","12-15","南京"
"外件:不流血的革命","黎秀石","主流","1947","第8期","20-23","南京"
"社会主义与自由","LASKI.H.J 李韻斯","主流","1947","第7期","13-17","南京"
"立促一代主流的形成","羅夢册","主流","1947","第6期","1-3","南京"
"来件:我们要在新革命运动旗帜之下集结起来","主流","1947","第5期","19-20",NA,"南京"
"来件:取消左右倾论调","王迅雷","主流","1947","第10期","20-22","南京"
"不流血的民族革命","楊震羽","主流","1947","第10期","5-8","南京"
"主流一年:“星星之火，可以燎原;涓涓不塞，将成江河!”","羅夢册","主流","1947","第12期","1-4","南京"
"未来之世界与未来之中国","刘不同","主流","1947","第7期","18-20","南京"
"来件:中国需要新革命运动","张愚山","主流","1947","第9期","18","南京"
"美国应该怎样援助中国:寄语魏德迈将军及美国人民","濮阳星","主流","1947","第9期","9-10","南京"
"两极政治与内乱","丁洪範","主流","1947","第9期","1-4","南京"
"初论劳文","楊戎","主流","1947","第1期","11-13","南京"
"来件:就新革命运动敬告国人","刘超武","主流","1947","第6期","20-21","南京"
"来件:读主流第四号以后","王迅雷","主流","1947","第7期","21-23","南京"
"时代需要一个民主自由社会主义的文化运动","楊羽震","主流","1947","第12期","14-18","南京"
"来件:论民主政治与反对自由","胡私","主流","1947","第11期","18-19","南京"
"现代文明的危机:附插图","Laski，H.J.","主流","1948","第14/15期","4-8","南京"
