"title","author","journal","year","vol","page","place","author_raw","title_raw"
"如何走上民主建设之路","莊智焕","《观察》",1946,"第1卷 第6期","2-5","上海","莊智煥 芝","如何走上民主建設之路"
"尾页：复旦的秋天","多鲁","《观察》",1946,"第1卷 第6期","22","上海","多魯","尾頁：復旦的秋天"
"尾页：洋顾问","一行","《观察》",1946,"第1卷 第6期","22","上海","一行","尾頁：洋顧問"
"我从泰兴来","朱东润","《观察》",1946,"第1卷 第6期","6-8","上海","朱東潤","我從泰興來"
"文学·艺术·戯剧·音乐：戏剧与观衆","陈瘦竹","《观察》",1946,"第1卷 第10期","20-21","上海","陳瘦竹","文學·藝術·戯劇·音樂：戲劇與觀衆"
"尾页：愤世之作","靑云","《观察》",1946,"第1卷 第10期","22","上海","靑雲","尾頁：憤世之作"
"尾页：黩武的心理","旁听","《观察》",1946,"第1卷 第10期","22","上海","旁聽","尾頁：黷武的心理"
"书评出版：英国司法制度（英国贾克逊(Jackson)着）","李浩培","《观察》",1946,"第1卷 第5期","21","上海","李浩培","書評出版：英國司法制度（英國賈克遜(Jackson)著）"
"给英国老约翰","萧乾","《观察》",1946,"第1卷 第9期","11-12","上海","蕭乾","給英國老約翰"
"台湾鳞爪：（本刊台湾通信）双十节前夕……","章英","《观察》",1946,"第1卷 第9期","17-18","上海","章英","台灣鱗爪：（本刊台灣通信）雙十節前夕……"
"文学·艺术·戏剧·音乐：孟德逊：最幸运的作曲家（附歌谱）","戴文赛","《观察》",1946,"第1卷 第9期","19-21","上海","戴文賽","文學·藝術·戲劇·音樂：孟德遜：最幸運的作曲家（附歌譜）"
"中国经济往何处去？","戴世光","《观察》",1946,"第1卷 第10期","2-3","上海","戴世光 芝","中國經濟往何處去？"
"再论知行","冯友兰","《观察》",1946,"第1卷 第6期","9","上海","馮友蘭","再論知行"
"中国之过去与将来（续完）：五、中国之将来","张东荪","《观察》",1946,"第1卷 第6期","10-13","上海","張東蓀","中國之過去與將來（續完）：五、中國之將來"
"牛郎织女","戴文赛","《观察》",1946,"第1卷 第6期","14-15","上海","戴文賽","牛郎織女"
"政治民主与经济民主","吴世昌","《观察》",1946,"第1卷 第5期","4-6","上海","吳世昌","政治民主與經濟民主"
"中美英苏之关係与世界和平","胡先驌","《观察》",1946,"第1卷 第5期","6-8","上海","胡先驌","中美英蘇之關係與世界和平"
"中国之过去与将来：四、衝突中的消长（下）","张东荪","《观察》",1946,"第1卷 第5期","8-11","上海","張東蓀","中國之過去與將來：四、衝突中的消長（下）"
"家庭关係·政治关係·民主政治","吴恩裕","《观察》",1946,"第1卷 第4期","7-9","上海","吳恩裕","家庭關係·政治關係·民主政治"
"中国之过去与将来（本节未完）","张东荪","《观察》",1946,"第1卷 第4期","9-11","上海","張東蓀","中國之過去與將來（本節未完）"
