"title","author","journal","year","vol","page","place","title_raw","author_raw"
"如何走上民主建设之路","莊智焕","《观察》",1946,"第1卷 第6期","2-5","上海","如何走上民主建設之路","莊智煥 芝"
"如何走上民主建设之路","芝","《观察》",1946,"第1卷 第6期","2-5","上海","如何走上民主建設之路","莊智煥 芝"
"尾页：复旦的秋天","多鲁","《观察》",1946,"第1卷 第6期","22","上海","尾頁：復旦的秋天","多魯"
"尾页：洋顾问","一行","《观察》",1946,"第1卷 第6期","22","上海","尾頁：洋顧問","一行"
"我从泰兴来","朱东润","《观察》",1946,"第1卷 第6期","6-8","上海","我從泰興來","朱東潤"
"文学·艺术·戯剧·音乐：戏剧与观衆","陈瘦竹","《观察》",1946,"第1卷 第10期","20-21","上海","文學·藝術·戯劇·音樂：戲劇與觀衆","陳瘦竹"
"尾页：愤世之作","靑云","《观察》",1946,"第1卷 第10期","22","上海","尾頁：憤世之作","靑雲"
"尾页：黩武的心理","旁听","《观察》",1946,"第1卷 第10期","22","上海","尾頁：黷武的心理","旁聽"
"书评出版：英国司法制度（英国贾克逊(Jackson)着）","李浩培","《观察》",1946,"第1卷 第5期","21","上海","書評出版：英國司法制度（英國賈克遜(Jackson)著）","李浩培"
"尾页：青城遊","炎","《观察》",1946,"第1卷 第5期","22","上海","尾頁：青城遊","炎"
"给英国老约翰","萧乾","《观察》",1946,"第1卷 第9期","11-12","上海","給英國老約翰","蕭乾"
"台湾鳞爪：（本刊台湾通信）双十节前夕……","章英","《观察》",1946,"第1卷 第9期","17-18","上海","台灣鱗爪：（本刊台灣通信）雙十節前夕……","章英"
"文学·艺术·戏剧·音乐：孟德逊：最幸运的作曲家（附歌谱）","戴文赛","《观察》",1946,"第1卷 第9期","19-21","上海","文學·藝術·戲劇·音樂：孟德遜：最幸運的作曲家（附歌譜）","戴文賽"
"中国经济往何处去？","戴世光","《观察》",1946,"第1卷 第10期","2-3","上海","中國經濟往何處去？","戴世光 芝"
"中国经济往何处去？","芝","《观察》",1946,"第1卷 第10期","2-3","上海","中國經濟往何處去？","戴世光 芝"
