"source","target","year","place","weight"
"孙宝毅","《再生》",1942,"重庆",2
"王世宪","《再生》",1942,"重庆",2
"白云","《再生》",1942,"重庆",2
"Mecermjck，A.O.","《再生》",1942,"重庆",1
"云白","《再生》",1942,"重庆",1
"张君劢","《再生》",1942,"重庆",1
"李普曼","《再生》",1942,"重庆",1
"杜才奇","《再生》",1942,"重庆",1
"费隐","《再生》",1942,"重庆",1
"齐庄","《再生》",1942,"重庆",1
"孙宝毅","《再生》",1943,"重庆",3
"周久安","《再生》",1943,"重庆",2
"张君劢","《再生》",1943,"重庆",2
"郭豫才","《再生》",1943,"重庆",2
"Stevens，B.","《再生》",1943,"重庆",1
"Thomson，D.","《再生》",1943,"重庆",1
"Wedgwood，J.","《再生》",1943,"重庆",1
"孙觉生","《再生》",1943,"重庆",1
"曾少非","《再生》",1943,"重庆",1
"杨永乾","《再生》",1943,"重庆",1
"王幼侨","《再生》",1943,"重庆",1
"袁道冲","《再生》",1943,"重庆",1
"罗隆基","《民主周刊(昆明)》",1944,"昆明",7
"曾昭抡","《民主周刊(昆明)》",1944,"昆明",5
"潘光旦","《民主周刊(昆明)》",1944,"昆明",3
"Fast，H.","《民主周刊(昆明)》",1944,"昆明",2
"孙宝毅","《再生》",1944,"重庆",2
"张君劢","《再生》",1944,"重庆",2
"祁广","《民主周刊(昆明)》",1944,"昆明",2
"WOOLLCOTT.A","《民主周刊(昆明)》",1944,"昆明",1
"严天元","《再生》",1944,"重庆",1
"劬民","《民主周刊(昆明)》",1944,"昆明",1
"华莱士","《再生》",1944,"重庆",1
"吴富__","《民主周刊(昆明)》",1944,"昆明",1
"吴晗","《民主周刊(昆明)》",1944,"昆明",1
"孙亚夫","《再生》",1944,"重庆",1
"尚铖","《民主周刊(昆明)》",1944,"昆明",1
"拉斯基","《民主周刊(昆明)》",1944,"昆明",1
"正菲","《民主周刊(昆明)》",1944,"昆明",1
"流金","《民主周刊(昆明)》",1944,"昆明",1
"胡毅","《民主周刊(昆明)》",1944,"昆明",1
"蒋匀田","《再生》",1944,"重庆",1
"费仲南","《再生》",1944,"重庆",1
"费孝通","《民主周刊(昆明)》",1944,"昆明",1
"邓初民","《民主周刊(昆明)》",1944,"昆明",1
"闻家驷","《民主周刊(昆明)》",1944,"昆明",1
"陆钦墀","《民主周刊(昆明)》",1944,"昆明",1
"左拉","《周报(上海1945)》",1945,"上海",30
"罗隆基","《民主周刊(昆明)》",1945,"昆明",27
"黄炎培","《国讯》",1945,"上海",25
"曾昭抡","《民主周刊(昆明)》",1945,"昆明",22
"郑振铎","《周报(上海1945)》",1945,"上海",21
"俞颂华","《国讯》",1945,"上海",17
"丰子恺","《周报(上海1945)》",1945,"上海",16
"陶行知","《民主(重庆)》",1945,"重庆",14
