"source","target","year","place","weight"
"孙宝毅(1942)","《再生》",1942,"重庆",2
"王世宪(1942)","《再生》",1942,"重庆",2
"白云(1942)","《再生》",1942,"重庆",2
"Mecermjck，A.O.(1942)","《再生》",1942,"重庆",1
"云白(1942)","《再生》",1942,"重庆",1
"张君劢(1942)","《再生》",1942,"重庆",1
"李普曼(1942)","《再生》",1942,"重庆",1
"杜才奇(1942)","《再生》",1942,"重庆",1
"费隐(1942)","《再生》",1942,"重庆",1
"齐庄(1942)","《再生》",1942,"重庆",1
"孙宝毅(1943)","《再生》",1943,"重庆",3
"周久安(1943)","《再生》",1943,"重庆",2
"张君劢(1943)","《再生》",1943,"重庆",2
"郭豫才(1943)","《再生》",1943,"重庆",2
"Stevens，B.(1943)","《再生》",1943,"重庆",1
"Thomson，D.(1943)","《再生》",1943,"重庆",1
"Wedgwood，J.(1943)","《再生》",1943,"重庆",1
"孙觉生(1943)","《再生》",1943,"重庆",1
"曾少非(1943)","《再生》",1943,"重庆",1
"杨永乾(1943)","《再生》",1943,"重庆",1
"王幼侨(1943)","《再生》",1943,"重庆",1
"袁道冲(1943)","《再生》",1943,"重庆",1
"罗隆基(1944)","《民主周刊(昆明)》",1944,"昆明",7
"曾昭抡(1944)","《民主周刊(昆明)》",1944,"昆明",5
"潘光旦(1944)","《民主周刊(昆明)》",1944,"昆明",3
"Fast，H.(1944)","《民主周刊(昆明)》",1944,"昆明",2
"孙宝毅(1944)","《再生》",1944,"重庆",2
"张君劢(1944)","《再生》",1944,"重庆",2
"祁广(1944)","《民主周刊(昆明)》",1944,"昆明",2
"WOOLLCOTT.A(1944)","《民主周刊(昆明)》",1944,"昆明",1
"严天元(1944)","《再生》",1944,"重庆",1
"劬民(1944)","《民主周刊(昆明)》",1944,"昆明",1
"华莱士(1944)","《再生》",1944,"重庆",1
"吴富__(1944)","《民主周刊(昆明)》",1944,"昆明",1
"吴晗(1944)","《民主周刊(昆明)》",1944,"昆明",1
"孙亚夫(1944)","《再生》",1944,"重庆",1
"尚铖(1944)","《民主周刊(昆明)》",1944,"昆明",1
"拉斯基(1944)","《民主周刊(昆明)》",1944,"昆明",1
"正菲(1944)","《民主周刊(昆明)》",1944,"昆明",1
"流金(1944)","《民主周刊(昆明)》",1944,"昆明",1
"胡毅(1944)","《民主周刊(昆明)》",1944,"昆明",1
"蒋匀田(1944)","《再生》",1944,"重庆",1
"费仲南(1944)","《再生》",1944,"重庆",1
"费孝通(1944)","《民主周刊(昆明)》",1944,"昆明",1
"邓初民(1944)","《民主周刊(昆明)》",1944,"昆明",1
"闻家驷(1944)","《民主周刊(昆明)》",1944,"昆明",1
"陆钦墀(1944)","《民主周刊(昆明)》",1944,"昆明",1
"左拉(1945)","《周报(上海1945)》",1945,"上海",30
"罗隆基(1945)","《民主周刊(昆明)》",1945,"昆明",27
"黄炎培(1945)","《国讯》",1945,"上海",25
"新命(1945)","《中央周刊》",1945,"重庆",23
"曾昭抡(1945)","《民主周刊(昆明)》",1945,"昆明",22
"郑振铎(1945)","《周报(上海1945)》",1945,"上海",21
"阿尔古斯(1945)","《时代杂志》",1945,"上海",20
"俞颂华(1945)","《国讯》",1945,"上海",17
"丰子恺(1945)","《周报(上海1945)》",1945,"上海",16
"张文伯(1945)","《中央周刊》",1945,"重庆",16
"陶行知(1945)","《民主(重庆)》",1945,"重庆",14
"梁公任(1945)","《国讯》",1945,"上海",13
"许广平(1945)","《民主(上海)》",1945,"上海",13
"蒲岗(1945)","《民主(上海)》",1945,"上海",11
"守巧夫(1945)","《时代杂志》",1945,"上海",9
"尊闻(1945)","《民主(上海)》",1945,"上海",9
"秦柳方(1945)","《国讯》",1945,"上海",9
"米谷(1945)","《时代杂志》",1945,"上海",9
"郑振铎(1945)","《民主(上海)》",1945,"上海",9
"郭沫若(1945)","《时代杂志》",1945,"上海",9
"钱穆(1945)","《中央周刊》",1945,"重庆",9
"史大林(1945)","《时代杂志》",1945,"上海",8
"周建人(1945)","《民主(上海)》",1945,"上海",8
"平心(1945)","《周报(上海1945)》",1945,"上海",8
"施维卓夫(1945)","《时代杂志》",1945,"上海",8
"王新命(1945)","《中央周刊》",1945,"重庆",8
"董秋斯(1945)","《民主(上海)》",1945,"上海",8
"右民(1945)","《中央周刊》",1945,"重庆",7
"建人(1945)","《中央周刊》",1945,"重庆",7
"引流(1945)","《国讯》",1945,"上海",7
"石啸冲(1945)","《再生》",1945,"重庆",7
"伊戈斯(1945)","《时代杂志》",1945,"上海",6
"孟南(1945)","《民主周刊(昆明)》",1945,"昆明",6
"杨明(1945)","《民主(上海)》",1945,"上海",6
"胡春冰(1945)","《中央周刊》",1945,"重庆",6
"蒋炳贤(1945)","《中央周刊》",1945,"重庆",6
"费孝通(1945)","《民主周刊(昆明)》",1945,"昆明",6
"邓初民(1945)","《文萃》",1945,"上海",6
"钱纳水(1945)","《中央周刊》",1945,"重庆",6
"马叙伦(1945)","《周报(上海1945)》",1945,"上海",6
"马叙伦(1945)","《民主(上海)》",1945,"上海",6
"Pen(1945)","《时代杂志》",1945,"上海",5
"加里宁(1945)","《时代杂志》",1945,"上海",5
"叶青(1945)","《中央周刊》",1945,"重庆",5
"吴晗(1945)","《民主周刊(昆明)》",1945,"昆明",5
"周建人(1945)","《周报(上海1945)》",1945,"上海",5
"小鱼(1945)","《国讯》",1945,"上海",5
"思慕(1945)","《民主周刊(昆明)》",1945,"昆明",5
"曹聚仁(1945)","《周报(上海1945)》",1945,"上海",5
"杨卫玉(1945)","《国讯》",1945,"上海",5
"柳宗元(1945)","《周报(上海1945)》",1945,"上海",5
"珂田(1945)","《周报(上海1945)》",1945,"上海",5
"翦伯赞(1945)","《中华论坛》",1945,"重庆",5
"胡曲园(1945)","《周报(上海1945)》",1945,"上海",5
"蒋君章(1945)","《中央周刊》",1945,"重庆",5
"许师愼(1945)","《中央周刊》",1945,"重庆",5
"许广平(1945)","《周报(上海1945)》",1945,"上海",5
"郑学稼(1945)","《中央周刊》",1945,"重庆",5
"郭寿生(1945)","《中央周刊》",1945,"重庆",5
"陶伯(1945)","《文萃》",1945,"上海",5
"黄义本(1945)","《中央周刊》",1945,"重庆",5
"齐纬(1945)","《国讯》",1945,"上海",5
"龚德柏(1945)","《中央周刊》",1945,"重庆",5
"严延(1945)","《中华论坛》",1945,"重庆",4
"伯侨(1945)","《中央周刊》",1945,"重庆",4
"光未然(1945)","《民主周刊(昆明)》",1945,"昆明",4
"克士(1945)","《民主(上海)》",1945,"上海",4
"君山(1945)","《民主周刊(昆明)》",1945,"昆明",4
"张一凡(1945)","《民主(上海)》",1945,"上海",4
"张礼千(1945)","《国讯》",1945,"上海",4
"戈尔巴朵夫(1945)","《时代杂志》",1945,"上海",4
"曾资生(1945)","《中央周刊》",1945,"重庆",4
"李翼民(1945)","《中央周刊》",1945,"重庆",4
"澹庐(1945)","《国讯》",1945,"上海",4
"王立果(1945)","《民主周刊(昆明)》",1945,"昆明",4
"百辞(1945)","《民主(重庆)》",1945,"重庆",4
"章伯钧(1945)","《中华论坛》",1945,"重庆",4
"端木蕻良(1945)","《文萃》",1945,"上海",4
"米哈伊洛夫(1945)","《时代杂志》",1945,"上海",4
"索非(1945)","《周报(上海1945)》",1945,"上海",4
"罗稷南(1945)","《民主(上海)》",1945,"上海",4
"罗西(1945)","《民主周刊(昆明)》",1945,"昆明",4
"翁逸之(1945)","《周报(上海1945)》",1945,"上海",4
"胡钊(1945)","《民主周刊(昆明)》",1945,"昆明",4
"茅盾(1945)","《文萃》",1945,"上海",4
"茅盾(1945)","《民主(重庆)》",1945,"重庆",4
"萧萧(1945)","《文萃》",1945,"上海",4
"许若明(1945)","《周报(上海1945)》",1945,"上海",4
"邵翰齐(1945)","《周报(上海1945)》",1945,"上海",4
"陈正飞(1945)","《中华论坛》",1945,"重庆",4
"陶大镛(1945)","《国讯》",1945,"上海",4
"高尔基(1945)","《时代杂志》",1945,"上海",4
"丁聪(1945)","《周报(上海1945)》",1945,"上海",3
"丘斌存(1945)","《中央周刊》",1945,"重庆",3
"严景耀(1945)","《民主(上海)》",1945,"上海",3
"乔木(1945)","《文萃》",1945,"上海",3
"于友(1945)","《文萃》",1945,"上海",3
"勃拉尼克(1945)","《时代杂志》",1945,"上海",3
"叶靑(1945)","《中央周刊》",1945,"重庆",3
"周新民(1945)","《民主周刊(昆明)》",1945,"昆明",3
"唐言(1945)","《中华论坛》",1945,"重庆",3
"子冈(1945)","《民主周刊(昆明)》",1945,"昆明",3
"守仁(1945)","《中央周刊》",1945,"重庆",3
"巴斯金(1945)","《时代杂志》",1945,"上海",3
"师陀(1945)","《周报(上海1945)》",1945,"上海",3
"库尔干诺夫(1945)","《时代杂志》",1945,"上海",3
