"source","target","year","place","journal","weight"
"梁公任","时事 (n)",1945,"上海","《国讯》",7
"梁公任","解剖 (n)",1945,"上海","《国讯》",7
"杨明","流亡 (n)",1945,"上海","《民主(上海)》",6
"杨明","生活 (n)",1945,"上海","《民主(上海)》",6
"杨明","韬奋 (n)",1945,"上海","《民主(上海)》",6
"严景曜","民主 (n)",1945,"上海","《民主(上海)》",5
"昭抡","时事 (n)",1945,"昆明","《民主周刊(昆明)》",5
"柳宗元","南行 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元","徒步 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元","津浦路 (n)",1945,"上海","《周报(上海1945)》",5
"秦柳方","经济 (n)",1945,"上海","《国讯》",5
"齐纬","经济 (n)",1945,"上海","《国讯》",5
"光军","安定 (n)",1945,"上海","《国讯》",4
"光年","自己 (n)",1945,"昆明","《民主周刊(昆明)》",4
"昭抡","世界 (n)",1945,"昆明","《民主周刊(昆明)》",4
"昭抡","以后 (n)",1945,"昆明","《民主周刊(昆明)》",4
"曹刚","印度 (n)",1945,"昆明","《民主周刊(昆明)》",4
"秦柳方","之页 (n)",1945,"上海","《国讯》",4
"罗西","重庆 (n)",1945,"昆明","《民主周刊(昆明)》",4
"罗隆基","中国 (n)",1945,"昆明","《民主周刊(昆明)》",4
"陶行知","先生 (n)",1945,"重庆","《民主(重庆)》",4
"齐纬","之页 (n)",1945,"上海","《国讯》",4
"俞颂华","胜利 (n)",1945,"上海","《国讯》",3
"冬予里","美国 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生","大会 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生","纪念 (n)",1945,"昆明","《民主周刊(昆明)》",3
"孙宝毅","会议 (n)",1945,"重庆","《再生》",3
"平心","战后 (n)",1945,"上海","《周报(上海1945)》",3
"愚公","国难 (n)",1945,"重庆","《民主(重庆)》",3
"愚公","野记 (n)",1945,"重庆","《民主(重庆)》",3
"昭抡","会议 (n)",1945,"昆明","《民主周刊(昆明)》",3
"昭抡","柏林 (n)",1945,"昆明","《民主周刊(昆明)》",3
"景宋","前后 (n)",1945,"上海","《民主(上海)》",3
"景宋","遭难 (n)",1945,"上海","《民主(上海)》",3
"曹聚仁","冯友兰 (n)",1945,"上海","《周报(上海1945)》",3
"曹聚仁","理学 (n)",1945,"上海","《周报(上海1945)》",3
"柳亚子","诗词 (n)",1945,"重庆","《民主(重庆)》",3
"石啸冲","世界 (n)",1945,"重庆","《再生》",3
"石啸冲","中国 (n)",1945,"重庆","《再生》",3
"石啸冲","半月 (n)",1945,"重庆","《再生》",3
"石啸冲","国际 (n)",1945,"重庆","《再生》",3
"石啸冲","瞭望 (n)",1945,"重庆","《再生》",3
"祝世康","经济 (n)",1945,"重庆","《中华论坛》",3
"程澄之","一二 (n)",1945,"昆明","《民主周刊(昆明)》",3
"罗西","航讯 (n)",1945,"昆明","《民主周刊(昆明)》",3
"肥遯","谈屑 (n)",1945,"重庆","《民主(重庆)》",3
"胡毅","民主 (n)",1945,"昆明","《民主周刊(昆明)》",3
"胡毅","生活 (n)",1945,"昆明","《民主周刊(昆明)》",3
"董秋斯","大事记 (n)",1945,"上海","《民主(上海)》",3
"董秋斯","太平洋战争 (n)",1945,"上海","《民主(上海)》",3
"问梁","之页 (n)",1945,"上海","《国讯》",3
"问梁","经济 (n)",1945,"上海","《国讯》",3
"陈曦","重庆 (n)",1945,"上海","《国讯》",3
"马寅初","问题 (n)",1945,"重庆","《民主(重庆)》",3
"黄巨兴","英国 (n)",1945,"昆明","《民主周刊(昆明)》",3
"黄炎培","先生 (n)",1945,"上海","《国讯》",3
"黄炎培","延安 (n)",1945,"上海","《国讯》",3
"黄炎培","日记 (n)",1945,"上海","《国讯》",3
"万影","云南 (n)",1945,"上海","《国讯》",2
"严景曜","讲话 (n)",1945,"上海","《民主(上海)》",2
"严景耀","民主 (n)",1945,"上海","《民主(上海)》",2
"严问天","政治 (n)",1945,"上海","《国讯》",2
"丰子恺","人间 (n)",1945,"上海","《周报(上海1945)》",2
"但维斯","工作 (n)",1945,"上海","《国讯》",2
"俞颂华","中国 (n)",1945,"上海","《国讯》",2
"俞颂华","八一 (n)",1945,"上海","《国讯》",2
"俞颂华","内战 (n)",1945,"上海","《国讯》",2
"俞颂华","和平 (n)",1945,"上海","《国讯》",2
"俞颂华","物价 (n)",1945,"上海","《国讯》",2
"俞颂华","第八 (n)",1945,"上海","《国讯》",2
"光年","人民 (n)",1945,"昆明","《民主周刊(昆明)》",2
