"source","target","year","place","journal","weight"
"新命(1945)","之战 (n)",1945,"重庆","《中央周刊》",19
"新命(1945)","亚洲 (n)",1945,"重庆","《中央周刊》",12
"施维卓夫(1945)","高尔基 (n)",1945,"上海","《时代杂志》",12
"阿尔古斯(1945)","国际 (n)",1945,"上海","《时代杂志》",12
"郭沫若(1945)","苏联 (n)",1945,"上海","《时代杂志》",10
"新命(1945)","本月 (n)",1945,"重庆","《中央周刊》",8
"施维卓夫(1945)","研究 (n)",1945,"上海","《时代杂志》",8
"史大林(1945)","苏联 (n)",1945,"上海","《时代杂志》",7
"梁公任(1945)","时事 (n)",1945,"上海","《国讯》",7
"梁公任(1945)","解剖 (n)",1945,"上海","《国讯》",7
"郭沫若(1945)","纪行 (n)",1945,"上海","《时代杂志》",7
"史大林(1945)","命令 (n)",1945,"上海","《时代杂志》",6
"史米尔诺夫(1945)","文化 (n)",1945,"上海","《时代杂志》",6
"建人(1945)","海外 (n)",1945,"重庆","《中央周刊》",6
"戚礼朴(1945)","宪法 (n)",1945,"上海","《时代杂志》",6
"杨明(1945)","流亡 (n)",1945,"上海","《民主(上海)》",6
"杨明(1945)","生活 (n)",1945,"上海","《民主(上海)》",6
"杨明(1945)","韬奋 (n)",1945,"上海","《民主(上海)》",6
"严景曜(1945)","民主 (n)",1945,"上海","《民主(上海)》",5
"史大林(1945)","总司令 (n)",1945,"上海","《时代杂志》",5
"史大林(1945)","最高 (n)",1945,"上海","《时代杂志》",5
"张文伯(1945)","社论 (n)",1945,"重庆","《中央周刊》",5
"新命(1945)","战事 (n)",1945,"重庆","《中央周刊》",5
"新命(1945)","欧洲 (n)",1945,"重庆","《中央周刊》",5
"昭抡(1945)","时事 (n)",1945,"昆明","《民主周刊(昆明)》",5
"柳宗元(1945)","南行 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元(1945)","徒步 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元(1945)","津浦路 (n)",1945,"上海","《周报(上海1945)》",5
"秦柳方(1945)","经济 (n)",1945,"上海","《国讯》",5
"米谷(1945)","一角 (n)",1945,"上海","《时代杂志》",5
"米谷(1945)","国际 (n)",1945,"上海","《时代杂志》",5
"胡春冰(1945)","国际 (n)",1945,"重庆","《中央周刊》",5
"许师愼(1945)","革命 (n)",1945,"重庆","《中央周刊》",5
"阿尔古斯(1945)","日本 (n)",1945,"上海","《时代杂志》",5
"陶伯(1945)","笔尖 (n)",1945,"上海","《文萃》",5
"齐纬(1945)","经济 (n)",1945,"上海","《国讯》",5
"伊戈斯(1945)","一角 (n)",1945,"上海","《时代杂志》",4
"伊戈斯(1945)","国际 (n)",1945,"上海","《时代杂志》",4
"光军(1945)","安定 (n)",1945,"上海","《国讯》",4
"光年(1945)","自己 (n)",1945,"昆明","《民主周刊(昆明)》",4
"史米尔诺夫(1945)","革命 (n)",1945,"上海","《时代杂志》",4
"右民(1945)","建设 (n)",1945,"重庆","《中央周刊》",4
"右民(1945)","经济 (n)",1945,"重庆","《中央周刊》",4
"叶青(1945)","政治 (n)",1945,"重庆","《中央周刊》",4
"守巧夫(1945)","问题 (n)",1945,"上海","《时代杂志》",4
"张德粹(1945)","农业 (n)",1945,"重庆","《中央周刊》",4
"新命(1945)","东线 (n)",1945,"重庆","《中央周刊》",4
"新命(1945)","会议 (n)",1945,"重庆","《中央周刊》",4
"昭抡(1945)","世界 (n)",1945,"昆明","《民主周刊(昆明)》",4
"昭抡(1945)","以后 (n)",1945,"昆明","《民主周刊(昆明)》",4
"曹刚(1945)","印度 (n)",1945,"昆明","《民主周刊(昆明)》",4
"曾资生(1945)","政制 (n)",1945,"重庆","《中央周刊》",4
"秦柳方(1945)","之页 (n)",1945,"上海","《国讯》",4
"米哈伊洛夫(1945)","全貌 (n)",1945,"上海","《时代杂志》",4
"米哈伊洛夫(1945)","苏联 (n)",1945,"上海","《时代杂志》",4
"米谷(1945)","世界之窗 (n)",1945,"上海","《时代杂志》",4
"罗西(1945)","重庆 (n)",1945,"昆明","《民主周刊(昆明)》",4
"罗隆基(1945)","中国 (n)",1945,"昆明","《民主周刊(昆明)》",4
"萧萧(1945)","笔尖 (n)",1945,"上海","《文萃》",4
"许师愼(1945)","故事 (n)",1945,"重庆","《中央周刊》",4
"陆复初(1945)","批判 (n)",1945,"重庆","《中央周刊》",4
"陶行知(1945)","先生 (n)",1945,"重庆","《民主(重庆)》",4
"高尔基(1945)","研究 (n)",1945,"上海","《时代杂志》",4
"高尔基(1945)","高尔基 (n)",1945,"上海","《时代杂志》",4
"齐纬(1945)","之页 (n)",1945,"上海","《国讯》",4
"于友(1945)","特稿 (n)",1945,"上海","《文萃》",3
"伯侨(1945)","故事 (n)",1945,"重庆","《中央周刊》",3
"伯侨(1945)","革命 (n)",1945,"重庆","《中央周刊》",3
"俞颂华(1945)","胜利 (n)",1945,"上海","《国讯》",3
"元璧(1945)","青年 (n)",1945,"重庆","《中央周刊》",3
"冬予里(1945)","美国 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生(1945)","大会 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生(1945)","纪念 (n)",1945,"昆明","《民主周刊(昆明)》",3
