"source","target","author","year","place","weight"
"时事","《国讯》","梁公任",1945,"上海",7
"解剖","《国讯》","梁公任",1945,"上海",7
"会议","《国讯》","华",1945,"上海",6
"流亡","《民主(上海)》","杨明",1945,"上海",6
"生活","《民主(上海)》","杨明",1945,"上海",6
"韬奋","《民主(上海)》","杨明",1945,"上海",6
"南行","《周报(上海1945)》","柳宗元",1945,"上海",5
"徒步","《周报(上海1945)》","柳宗元",1945,"上海",5
"时事","《民主周刊(昆明)》","昭抡",1945,"昆明",5
"民主","《民主(上海)》","严景曜",1945,"上海",5
"津浦路","《周报(上海1945)》","柳宗元",1945,"上海",5
"经济","《国讯》","秦柳方",1945,"上海",5
"经济","《国讯》","齐纬",1945,"上海",5
"世界","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"中国","《民主周刊(昆明)》","罗隆基",1945,"昆明",4
"之页","《国讯》","秦柳方",1945,"上海",4
"之页","《国讯》","齐纬",1945,"上海",4
"以后","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"先生","《民主(重庆)》","陶行知",1945,"重庆",4
"印度","《民主周刊(昆明)》","曹刚",1945,"昆明",4
"安定","《国讯》","光军",1945,"上海",4
"旧金山","《国讯》","华",1945,"上海",4
"自己","《民主周刊(昆明)》","光年",1945,"昆明",4
"重庆","《民主周刊(昆明)》","罗西",1945,"昆明",4
"一二","《民主周刊(昆明)》","程澄之",1945,"昆明",3
"世界","《再生》","石啸冲",1945,"重庆",3
"中国","《再生》","石啸冲",1945,"重庆",3
"之页","《国讯》","问梁",1945,"上海",3
"会议","《再生》","孙宝毅",1945,"重庆",3
"会议","《民主周刊(昆明)》","昭抡",1945,"昆明",3
"冯友兰","《周报(上海1945)》","曹聚仁",1945,"上海",3
"前后","《民主(上海)》","景宋",1945,"上海",3
"半月","《再生》","石啸冲",1945,"重庆",3
"团结","《国讯》","华",1945,"上海",3
"国际","《再生》","石啸冲",1945,"重庆",3
"国难","《民主(重庆)》","愚公",1945,"重庆",3
"大事记","《民主(上海)》","董秋斯",1945,"上海",3
"大会","《民主周刊(昆明)》","努生",1945,"昆明",3
"太平洋战争","《民主(上海)》","董秋斯",1945,"上海",3
"延安","《国讯》","黄炎培",1945,"上海",3
"战后","《周报(上海1945)》","平心",1945,"上海",3
"日记","《国讯》","黄炎培",1945,"上海",3
"柏林","《民主周刊(昆明)》","昭抡",1945,"昆明",3
"民主","《民主周刊(昆明)》","胡毅",1945,"昆明",3
"理学","《周报(上海1945)》","曹聚仁",1945,"上海",3
"生活","《民主周刊(昆明)》","胡毅",1945,"昆明",3
"瞭望","《再生》","石啸冲",1945,"重庆",3
"社会","《国讯》","澹",1945,"上海",3
"纪念","《民主周刊(昆明)》","努生",1945,"昆明",3
"经济","《中华论坛》","祝世康",1945,"重庆",3
"经济","《国讯》","问梁",1945,"上海",3
"美国","《民主周刊(昆明)》","冬予里",1945,"昆明",3
"胜利","《国讯》","俞颂华",1945,"上海",3
"航讯","《民主周刊(昆明)》","罗西",1945,"昆明",3
"英国","《民主周刊(昆明)》","黄巨兴",1945,"昆明",3
"诗词","《民主(重庆)》","柳亚子",1945,"重庆",3
"谈屑","《民主(重庆)》","肥遯",1945,"重庆",3
"遭难","《民主(上海)》","景宋",1945,"上海",3
"重庆","《国讯》","陈曦",1945,"上海",3
"野记","《民主(重庆)》","愚公",1945,"重庆",3
"问题","《民主(重庆)》","马寅初",1945,"重庆",3
"一些","《民主周刊(昆明)》","卢蕻",1945,"昆明",2
"一次","《国讯》","梁公任",1945,"上海",2
"三十一日","《国讯》","梁公任",1945,"上海",2
"不怕","《国讯》","罗守信",1945,"上海",2
"不要","《国讯》","梁公任",1945,"上海",2
"世界","《国讯》","引流",1945,"上海",2
"世界","《国讯》","梁公任",1945,"上海",2
"世界","《国讯》","澹",1945,"上海",2
"世界","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"中国","《中华论坛》","曾守约",1945,"重庆",2
"中国","《国讯》","俞颂华",1945,"上海",2
"中国","《国讯》","马星野 黄炎培",1945,"上海",2
"中国","《民主(上海)》","周建人",1945,"上海",2
"中国","《民主(重庆)》","马寅初",1945,"重庆",2
"中国","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"云南","《国讯》","万影",1945,"上海",2
"五千万","《民主(重庆)》","陶行知",1945,"重庆",2
"人为","《民主(上海)》","郑振铎",1945,"上海",2
"人民","《民主(上海)》","周建人",1945,"上海",2
"人民","《民主周刊(昆明)》","光年",1945,"昆明",2
"人民","《民主周刊(昆明)》","努生",1945,"昆明",2
"人民","《民主周刊(昆明)》","吴晗",1945,"昆明",2
"人民","《民主周刊(昆明)》","徐植",1945,"昆明",2
"人民","《民主周刊(昆明)》","艾秋飙",1945,"昆明",2
"人间","《周报(上海1945)》","丰子恺",1945,"上海",2
"人间","《民主周刊(昆明)》","高扬",1945,"昆明",2
"介绍","《国讯》","黄炎培",1945,"上海",2
"会议","《中华论坛》","陈正飞",1945,"重庆",2
"会议","《国讯》","小鱼",1945,"上海",2
"会议","《国讯》","澹",1945,"上海",2
"会议","《民主(上海)》","宾符",1945,"上海",2
"会议","《民主周刊(昆明)》","费孝通",1945,"昆明",2
"会议","《民主周刊(昆明)》","高扬",1945,"昆明",2
"伦敦","《国讯》","黄大能",1945,"上海",2
"保障","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"信条","《国讯》","马星野 黄炎培",1945,"上海",2
"先生","《国讯》","黄炎培",1945,"上海",2
"先生","《民主(重庆)》","曾琦",1945,"重庆",2
"先生","《民主(重庆)》","邓初民",1945,"重庆",2
"八一","《国讯》","俞颂华",1945,"上海",2
"八一","《国讯》","夏孟辉",1945,"上海",2
"八年","《周报(上海1945)》","左拉",1945,"上海",2
"内战","《国讯》","俞颂华",1945,"上海",2
"内战","《民主(重庆)》","陶行知",1945,"重庆",2
"农村","《民主周刊(昆明)》","田禾",1945,"昆明",2
"农村","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"准备","《民主周刊(昆明)》","胡毅",1945,"昆明",2
"几个","《周报(上海1945)》","景宋",1945,"上海",2
"动态","《国讯》","陈曦",1945,"上海",2
"努力","《民主周刊(昆明)》","努生",1945,"昆明",2
"十月革命","《民主(重庆)》","箫明",1945,"重庆",2
"华沙","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"协调","《国讯》","梁公任",1945,"上海",2
"危机","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"历史","《周报(上海1945)》","王伯祥",1945,"上海",2
"历史","《民主周刊(昆明)》","吴晗",1945,"昆明",2
"原子弹","《民主(重庆)》","施艾",1945,"重庆",2
"原子能","《周报(上海1945)》","顾均正",1945,"上海",2
"参政会","《国讯》","澹庐",1945,"上海",2
"参政会","《民主周刊(昆明)》","努生",1945,"昆明",2
"各界","《民主(重庆)》","罗涵先",1945,"重庆",2
"名辩","《中华论坛》","郭沫若",1945,"重庆",2
"和平","《国讯》","俞颂华",1945,"上海",2
"和平","《国讯》","梁公任",1945,"上海",2
"和平","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"四万","《民主(重庆)》","陶行知",1945,"重庆",2
"国内","《国讯》","梁公任",1945,"上海",2
"国大","《国讯》","澹",1945,"上海",2
"国民大会","《民主周刊(昆明)》","努生",1945,"昆明",2
"地理","《周报(上海1945)》","王伯祥",1945,"上海",2
"外长","《民主(上海)》","宾符",1945,"上海",2
"外长","《民主周刊(昆明)》","高扬",1945,"昆明",2
"大会","《民主(重庆)》","罗涵先",1945,"重庆",2
"失业","《周报(上海1945)》","平心",1945,"上海",2
"安定","《周报(上海1945)》","平心",1945,"上海",2
"对华政策","《民主周刊(昆明)》","冬予里",1945,"昆明",2
"对策","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"展望","《周报(上海1945)》","顾均正",1945,"上海",2
"工作","《国讯》","但维斯",1945,"上海",2
"平底","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"应否","《民主周刊(昆明)》","努生",1945,"昆明",2
"开发","《周报(上海1945)》","顾均正",1945,"上海",2
"待续","《周报(上海1945)》","柳宗元",1945,"上海",2
