"source","target","author","year","place","weight"
"时事(1945)","《国讯》","梁公任",1945,"上海",7
"解剖(1945)","《国讯》","梁公任",1945,"上海",7
"会议(1945)","《国讯》","华",1945,"上海",6
"流亡(1945)","《民主(上海)》","杨明",1945,"上海",6
"生活(1945)","《民主(上海)》","杨明",1945,"上海",6
"韬奋(1945)","《民主(上海)》","杨明",1945,"上海",6
"南行(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"徒步(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"时事(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",5
"民主(1945)","《民主(上海)》","严景曜",1945,"上海",5
"津浦路(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"经济(1945)","《国讯》","秦柳方",1945,"上海",5
"经济(1945)","《国讯》","齐纬",1945,"上海",5
"世界(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"中国(1945)","《民主周刊(昆明)》","罗隆基",1945,"昆明",4
"之页(1945)","《国讯》","秦柳方",1945,"上海",4
"之页(1945)","《国讯》","齐纬",1945,"上海",4
"以后(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"先生(1945)","《民主(重庆)》","陶行知",1945,"重庆",4
"印度(1945)","《民主周刊(昆明)》","曹刚",1945,"昆明",4
"安定(1945)","《国讯》","光军",1945,"上海",4
"旧金山(1945)","《国讯》","华",1945,"上海",4
"自己(1945)","《民主周刊(昆明)》","光年",1945,"昆明",4
"重庆(1945)","《民主周刊(昆明)》","罗西",1945,"昆明",4
"一二(1945)","《民主周刊(昆明)》","程澄之",1945,"昆明",3
"世界(1945)","《再生》","石啸冲",1945,"重庆",3
"中国(1945)","《再生》","石啸冲",1945,"重庆",3
"之页(1945)","《国讯》","问梁",1945,"上海",3
"会议(1945)","《再生》","孙宝毅",1945,"重庆",3
"会议(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",3
"冯友兰(1945)","《周报(上海1945)》","曹聚仁",1945,"上海",3
"前后(1945)","《民主(上海)》","景宋",1945,"上海",3
"半月(1945)","《再生》","石啸冲",1945,"重庆",3
"团结(1945)","《国讯》","华",1945,"上海",3
"国际(1945)","《再生》","石啸冲",1945,"重庆",3
"国难(1945)","《民主(重庆)》","愚公",1945,"重庆",3
"大事记(1945)","《民主(上海)》","董秋斯",1945,"上海",3
"大会(1945)","《民主周刊(昆明)》","努生",1945,"昆明",3
"太平洋战争(1945)","《民主(上海)》","董秋斯",1945,"上海",3
"延安(1945)","《国讯》","黄炎培",1945,"上海",3
"战后(1945)","《周报(上海1945)》","平心",1945,"上海",3
"日记(1945)","《国讯》","黄炎培",1945,"上海",3
"柏林(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",3
"民主(1945)","《民主周刊(昆明)》","胡毅",1945,"昆明",3
"理学(1945)","《周报(上海1945)》","曹聚仁",1945,"上海",3
"生活(1945)","《民主周刊(昆明)》","胡毅",1945,"昆明",3
"瞭望(1945)","《再生》","石啸冲",1945,"重庆",3
"社会(1945)","《国讯》","澹",1945,"上海",3
"纪念(1945)","《民主周刊(昆明)》","努生",1945,"昆明",3
"经济(1945)","《中华论坛》","祝世康",1945,"重庆",3
"经济(1945)","《国讯》","问梁",1945,"上海",3
"美国(1945)","《民主周刊(昆明)》","冬予里",1945,"昆明",3
"胜利(1945)","《国讯》","俞颂华",1945,"上海",3
"航讯(1945)","《民主周刊(昆明)》","罗西",1945,"昆明",3
"英国(1945)","《民主周刊(昆明)》","黄巨兴",1945,"昆明",3
"诗词(1945)","《民主(重庆)》","柳亚子",1945,"重庆",3
"谈屑(1945)","《民主(重庆)》","肥遯",1945,"重庆",3
"遭难(1945)","《民主(上海)》","景宋",1945,"上海",3
"重庆(1945)","《国讯》","陈曦",1945,"上海",3
"野记(1945)","《民主(重庆)》","愚公",1945,"重庆",3
"问题(1945)","《民主(重庆)》","马寅初",1945,"重庆",3
"一些(1945)","《民主周刊(昆明)》","卢蕻",1945,"昆明",2
"一次(1945)","《国讯》","梁公任",1945,"上海",2
"三十一日(1945)","《国讯》","梁公任",1945,"上海",2
"不怕(1945)","《国讯》","罗守信",1945,"上海",2
"不要(1945)","《国讯》","梁公任",1945,"上海",2
"世界(1945)","《国讯》","引流",1945,"上海",2
"世界(1945)","《国讯》","梁公任",1945,"上海",2
"世界(1945)","《国讯》","澹",1945,"上海",2
"世界(1945)","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"中国(1945)","《中华论坛》","曾守约",1945,"重庆",2
"中国(1945)","《国讯》","俞颂华",1945,"上海",2
"中国(1945)","《国讯》","马星野 黄炎培",1945,"上海",2
"中国(1945)","《民主(上海)》","周建人",1945,"上海",2
"中国(1945)","《民主(重庆)》","马寅初",1945,"重庆",2
"中国(1945)","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"云南(1945)","《国讯》","万影",1945,"上海",2
"五千万(1945)","《民主(重庆)》","陶行知",1945,"重庆",2
"人为(1945)","《民主(上海)》","郑振铎",1945,"上海",2
"人民(1945)","《民主(上海)》","周建人",1945,"上海",2
"人民(1945)","《民主周刊(昆明)》","光年",1945,"昆明",2
"人民(1945)","《民主周刊(昆明)》","努生",1945,"昆明",2
"人民(1945)","《民主周刊(昆明)》","吴晗",1945,"昆明",2
"人民(1945)","《民主周刊(昆明)》","徐植",1945,"昆明",2
"人民(1945)","《民主周刊(昆明)》","艾秋飙",1945,"昆明",2
"人间(1945)","《周报(上海1945)》","丰子恺",1945,"上海",2
"人间(1945)","《民主周刊(昆明)》","高扬",1945,"昆明",2
"介绍(1945)","《国讯》","黄炎培",1945,"上海",2
"会议(1945)","《中华论坛》","陈正飞",1945,"重庆",2
"会议(1945)","《国讯》","小鱼",1945,"上海",2
"会议(1945)","《国讯》","澹",1945,"上海",2
"会议(1945)","《民主(上海)》","宾符",1945,"上海",2
"会议(1945)","《民主周刊(昆明)》","费孝通",1945,"昆明",2
"会议(1945)","《民主周刊(昆明)》","高扬",1945,"昆明",2
"伦敦(1945)","《国讯》","黄大能",1945,"上海",2
"保障(1945)","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"信条(1945)","《国讯》","马星野 黄炎培",1945,"上海",2
"先生(1945)","《国讯》","黄炎培",1945,"上海",2
"先生(1945)","《民主(重庆)》","曾琦",1945,"重庆",2
"先生(1945)","《民主(重庆)》","邓初民",1945,"重庆",2
"八一(1945)","《国讯》","俞颂华",1945,"上海",2
"八一(1945)","《国讯》","夏孟辉",1945,"上海",2
"八年(1945)","《周报(上海1945)》","左拉",1945,"上海",2
"内战(1945)","《国讯》","俞颂华",1945,"上海",2
"内战(1945)","《民主(重庆)》","陶行知",1945,"重庆",2
"农村(1945)","《民主周刊(昆明)》","田禾",1945,"昆明",2
"农村(1945)","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"准备(1945)","《民主周刊(昆明)》","胡毅",1945,"昆明",2
"几个(1945)","《周报(上海1945)》","景宋",1945,"上海",2
"动态(1945)","《国讯》","陈曦",1945,"上海",2
"努力(1945)","《民主周刊(昆明)》","努生",1945,"昆明",2
"十月革命(1945)","《民主(重庆)》","箫明",1945,"重庆",2
"华沙(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"协调(1945)","《国讯》","梁公任",1945,"上海",2
"危机(1945)","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"历史(1945)","《周报(上海1945)》","王伯祥",1945,"上海",2
"历史(1945)","《民主周刊(昆明)》","吴晗",1945,"昆明",2
"原子弹(1945)","《民主(重庆)》","施艾",1945,"重庆",2
"原子能(1945)","《周报(上海1945)》","顾均正",1945,"上海",2
"参政会(1945)","《国讯》","澹庐",1945,"上海",2
"参政会(1945)","《民主周刊(昆明)》","努生",1945,"昆明",2
"各界(1945)","《民主(重庆)》","罗涵先",1945,"重庆",2
"名辩(1945)","《中华论坛》","郭沫若",1945,"重庆",2
"和平(1945)","《国讯》","俞颂华",1945,"上海",2
"和平(1945)","《国讯》","梁公任",1945,"上海",2
"和平(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"四万(1945)","《民主(重庆)》","陶行知",1945,"重庆",2
"国内(1945)","《国讯》","梁公任",1945,"上海",2
"国大(1945)","《国讯》","澹",1945,"上海",2
"国民大会(1945)","《民主周刊(昆明)》","努生",1945,"昆明",2
"地理(1945)","《周报(上海1945)》","王伯祥",1945,"上海",2
"外长(1945)","《民主(上海)》","宾符",1945,"上海",2
"外长(1945)","《民主周刊(昆明)》","高扬",1945,"昆明",2
"大会(1945)","《民主(重庆)》","罗涵先",1945,"重庆",2
"失业(1945)","《周报(上海1945)》","平心",1945,"上海",2
"安定(1945)","《周报(上海1945)》","平心",1945,"上海",2
"对华政策(1945)","《民主周刊(昆明)》","冬予里",1945,"昆明",2
"对策(1945)","《民主周刊(昆明)》","陈康成",1945,"昆明",2
"展望(1945)","《周报(上海1945)》","顾均正",1945,"上海",2
"工作(1945)","《国讯》","但维斯",1945,"上海",2
"平底(1945)","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"应否(1945)","《民主周刊(昆明)》","努生",1945,"昆明",2
"开发(1945)","《周报(上海1945)》","顾均正",1945,"上海",2
"待续(1945)","《周报(上海1945)》","柳宗元",1945,"上海",2
"思想(1945)","《周报(上海1945)》","胡曲园",1945,"上海",2
"思潮(1945)","《中华论坛》","郭沫若",1945,"重庆",2
"恢复(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"成功(1945)","《国讯》","华",1945,"上海",2
"成都(1945)","《民主(重庆)》","屠西",1945,"重庆",2
"战局(1945)","《国讯》","张礼千",1945,"上海",2
"战局(1945)","《国讯》","梁公任",1945,"上海",2
"批判(1945)","《中华论坛》","郭沫若",1945,"重庆",2
"推进(1945)","《民主周刊(昆明)》","孟南",1945,"昆明",2
"提议(1945)","《民主(上海)》","徐相任",1945,"上海",2
"提高(1945)","《民主周刊(昆明)》","光年",1945,"昆明",2
"改造(1945)","《民主周刊(昆明)》","光年",1945,"昆明",2
"政治(1945)","《中华论坛》","周谷城",1945,"重庆",2
"政治(1945)","《再生》","张君劢",1945,"重庆",2
"政治(1945)","《国讯》","严问天",1945,"上海",2
"政治(1945)","《民主(重庆)》","张申府",1945,"重庆",2
"政治协商会议(1945)","《民主(上海)》","叔梁",1945,"上海",2
"教育(1945)","《中华论坛》","施贻",1945,"重庆",2
"教育(1945)","《国讯》","黄炎培",1945,"上海",2
"教育(1945)","《民主周刊(昆明)》","胡毅",1945,"昆明",2
"文学(1945)","《民主周刊(昆明)》","卢蕻",1945,"昆明",2
"文学遗产(1945)","《周报(上海1945)》","景宋",1945,"上海",2
"新闻记者(1945)","《国讯》","马星野 黄炎培",1945,"上海",2
"方式(1945)","《民主周刊(昆明)》","黄巨兴",1945,"昆明",2
"旅途(1945)","《周报(上海1945)》","拾风",1945,"上海",2
"无表情(1945)","《周报(上海1945)》","左拉",1945,"上海",2
"日寇(1945)","《国讯》","澹",1945,"上海",2
"日本(1945)","《民主(上海)》","郑森禹",1945,"上海",2
"时事(1945)","《国讯》","引流",1945,"上海",2
"昆明(1945)","《国讯》","黎平",1945,"上海",2
"昆明(1945)","《民主(上海)》","胡剑",1945,"上海",2
"最后(1945)","《周报(上海1945)》","郑振铎",1945,"上海",2
"有感(1945)","《民主(重庆)》","燕士",1945,"重庆",2
"未来(1945)","《周报(上海1945)》","顾均正",1945,"上海",2
"杂志(1945)","《民主(上海)》","尊闻",1945,"上海",2
"杂感(1945)","《民主(重庆)》","茅盾",1945,"重庆",2
"杂记(1945)","《周报(上海1945)》","拾风",1945,"上海",2
"架沙(1945)","《民主周刊(昆明)》","卢蕻",1945,"昆明",2
"检讨(1945)","《周报(上海1945)》","王伯祥",1945,"上海",2
"欧战(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"欧洲(1945)","《民主周刊(昆明)》","思慕",1945,"昆明",2
"欧洲(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"武训(1945)","《民主(重庆)》","陶行知",1945,"重庆",2
"殖民地(1945)","《民主周刊(昆明)》","农慕之",1945,"昆明",2
"民主(1945)","《中华论坛》","周谷城",1945,"重庆",2
"民主(1945)","《再生》","李战林",1945,"重庆",2
"民主(1945)","《再生》","柳诒",1945,"重庆",2
"民主(1945)","《再生》","陈鼎龢",1945,"重庆",2
"民主(1945)","《周报(上海1945)》","马丁",1945,"上海",2
"民主(1945)","《民主(上海)》","严景耀",1945,"上海",2
"民主(1945)","《民主(重庆)》","冯玉祥",1945,"重庆",2
"民主(1945)","《民主(重庆)》","灕流",1945,"重庆",2
"民主(1945)","《民主(重庆)》","范华农",1945,"重庆",2
"民主(1945)","《民主周刊(昆明)》","光未然",1945,"昆明",2
"民主(1945)","《民主周刊(昆明)》","慕英",1945,"昆明",2
"民主(1945)","《民主周刊(昆明)》","罗隆基",1945,"昆明",2
"民主(1945)","《民主周刊(昆明)》","邓初民",1945,"昆明",2
"民主(1945)","《民主周刊(昆明)》","郑初民",1945,"昆明",2
"民主(1945)","《民主周刊(昆明)》","黄巨兴",1945,"昆明",2
"民生(1945)","《周报(上海1945)》","平心",1945,"上海",2
"清末(1945)","《民主(重庆)》","肥遯",1945,"重庆",2
"清理(1945)","《周报(上海1945)》","张一凡",1945,"上海",2
"湘西(1945)","《国讯》","申迟",1945,"上海",2
"物价(1945)","《国讯》","俞颂华",1945,"上海",2
"物价(1945)","《国讯》","问梁",1945,"上海",2
"物价(1945)","《国讯》","齐纬",1945,"上海",2
"特务(1945)","《民主周刊(昆明)》","卢蕻",1945,"昆明",2
"独立运动(1945)","《民主周刊(昆明)》","徐植",1945,"昆明",2
"生产(1945)","《国讯》","华",1945,"上海",2
"生活(1945)","《民主周刊(昆明)》","黄巨兴",1945,"昆明",2
"研究(1945)","《周报(上海1945)》","景宋",1945,"上海",2
"社会(1945)","《周报(上海1945)》","平心",1945,"上海",2
"福斯(1945)","《周报(上海1945)》","平心",1945,"上海",2
"第八(1945)","《国讯》","俞颂华",1945,"上海",2
"管见(1945)","《民主(上海)》","王以中",1945,"上海",2
"经济(1945)","《民主周刊(昆明)》","沈志远",1945,"昆明",2
"美国(1945)","《国讯》","华",1945,"上海",2
"美国(1945)","《国讯》","小鱼",1945,"上海",2
"美国(1945)","《民主周刊(昆明)》","潘大逵",1945,"昆明",2
"美国(1945)","《民主周刊(昆明)》","王立果",1945,"昆明",2
"职业(1945)","《国讯》","黄炎培",1945,"上海",2
"胜利(1945)","《国讯》","梁公任",1945,"上海",2
"胜利(1945)","《国讯》","陶大镛",1945,"上海",2
"胜利(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",2
"苏联(1945)","《再生》","苏尔齐伯格 费稳",1945,"重庆",2
"苏联(1945)","《民主(上海)》","柳亚子",1945,"上海",2
"英国(1945)","《国讯》","澹",1945,"上海",2
