"source","target","author","year","place","weight"
"之战(1945)","《中央周刊》","新命",1945,"重庆",19
"亚洲(1945)","《中央周刊》","新命",1945,"重庆",12
"国际(1945)","《时代杂志》","阿尔古斯",1945,"上海",12
"苏联(1945)","《时代杂志》","郭沫若",1945,"上海",10
"本月(1945)","《中央周刊》","新命",1945,"重庆",8
"时事(1945)","《国讯》","梁公任",1945,"上海",7
"纪行(1945)","《时代杂志》","郭沫若",1945,"上海",7
"苏联(1945)","《时代杂志》","史大林",1945,"上海",7
"解剖(1945)","《国讯》","梁公任",1945,"上海",7
"会议(1945)","《国讯》","华",1945,"上海",6
"命令(1945)","《时代杂志》","史大林",1945,"上海",6
"宪法(1945)","《时代杂志》","戚礼朴",1945,"上海",6
"文化(1945)","《时代杂志》","史米尔诺夫",1945,"上海",6
"流亡(1945)","《民主(上海)》","杨明",1945,"上海",6
"海外(1945)","《中央周刊》","建人",1945,"重庆",6
"生活(1945)","《民主(上海)》","杨明",1945,"上海",6
"韬奋(1945)","《民主(上海)》","杨明",1945,"上海",6
"一角(1945)","《时代杂志》","米谷",1945,"上海",5
"南行(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"国际(1945)","《时代杂志》","米谷",1945,"上海",5
"徒步(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"总司令(1945)","《时代杂志》","史大林",1945,"上海",5
"战事(1945)","《中央周刊》","新命",1945,"重庆",5
"日本(1945)","《时代杂志》","阿尔古斯",1945,"上海",5
"时事(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",5
"最高(1945)","《时代杂志》","史大林",1945,"上海",5
"欧洲(1945)","《中央周刊》","新命",1945,"重庆",5
"民主(1945)","《民主(上海)》","严景曜",1945,"上海",5
"津浦路(1945)","《周报(上海1945)》","柳宗元",1945,"上海",5
"笔尖(1945)","《文萃》","陶伯",1945,"上海",5
"经济(1945)","《国讯》","秦柳方",1945,"上海",5
"经济(1945)","《国讯》","齐纬",1945,"上海",5
"革命(1945)","《中央周刊》","许师愼",1945,"重庆",5
"一角(1945)","《时代杂志》","伊戈斯",1945,"上海",4
"世界(1945)","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"世界之窗(1945)","《时代杂志》","米谷",1945,"上海",4
