"title","author","journal","year","vol","page","place"
"“新天方夜谭”(伊朗亚塞拜然省要求自治，魔瓶中阴谋层出不穷，德黑兰政府摇摇欲倒):[画图]","莫斯","时代杂志","1945","第5卷 第24期","封3","上海"
"关于希特勒与墨索里尼的死","时代杂志","1945","第5卷 第2期","13-14",NA,"上海"
"全世界爱好自由民族向苏联电贺胜利:英皇乔治六世致史大林，加里宁贺电","乔治六世","时代杂志","1945","第5卷 第4期","10","上海"
"苏联对旧金山会议表明态度:莫洛托夫在旧金山对记者团发表谈话","莫洛托夫","时代杂志","1945","第5卷 第4期","11-12","上海"
"庆祝伟大光明的胜利","守巧夫","时代杂志","1945","第5卷 第3期","11-12","上海"
"世界之窗:在这样的狂澜中还捕得到鱼吗?:[画图]","时代杂志","1945","第5卷 第19期","封3",NA,"上海"
"郭沫若续继的苏联考察","时代杂志","1945","第5卷 第14期","23",NA,"上海"
"红场胜利阅兵观礼记:柯聂夫元帅:[照片]","时代杂志","1945","第5卷 第10期","5",NA,"上海"
"西班牙:希特勒掠夺者的助手(未完)","伊巴鲁里","时代杂志","1945","第5卷 第17期","15-17","上海"
"苏联十月社会主义革命纪念祝词:郭沫若先生演词:奉行国父遗教:向苏联看齐!","郭沫若","时代杂志","1945","第5卷 第19期","8-10","上海"
"西行漫记(2):红军进入德国之后沿途所见(未完)","戈尔巴朵夫 库尔干诺夫","时代杂志","1945","第5卷 第2期","23-26","上海"
"抗议的尸体","Pen","时代杂志","1945","第5卷 第11期","10","上海"
"苏联勋章奖章:战功奖章:[照片]","时代杂志","1945","第5卷 第6期","封2",NA,"上海"
"在旧金山联合国会议上","时代杂志","1945","第5卷 第4期","20",NA,"上海"
"国际一角:“朋友，请进去吧!”(认识真正的伟大友爱):[画图]","米谷","时代杂志","1945","第5卷 第21期","封3","上海"
"国际一周间:意国的政潮","阿尔古斯","时代杂志","1945","第5卷 第22期","7-8","上海"
"苏维埃的大炮在消灭着敌人:[照片]","时代杂志","1945","第5卷 第2期","封3",NA,"上海"
"在华日军投降签字仪式:3.在华日军派遣军总司令冈村将军代表日本签署降书与之并坐者为小林大将，今井少将等:[照片]","时代杂志","1945","第5卷 第17期","封2",NA,"上海"
"海军人民委员长致红海军命令:命令第一一○号(一九四五年七月二十二日莫斯科):同志们，红海军人员……","库士聂卓夫","时代杂志","1945","第5卷 第14期","1页","上海"
"国际一角:纳粹在欧洲的两种不同遭遇:[画图]","米谷","时代杂志","1945","第5卷 第21期","封3","上海"
"苏德战争开始的那一天:络绎不绝的兵车从苏联各处各地开到前线去:[照片]","时代杂志","1945","第5卷 第9期","封2",NA,"上海"
"苏联的母亲英雄:“母亲英雄”勋章:[照片]","时代杂志","1945","第5卷 第7期","封2",NA,"上海"
"庆祝苏联建国二十八周年纪念","邵力子","时代杂志","1945","第5卷 第19期","6-7","上海"
"联合国为什么胜利","时代杂志","1945","第5卷 第3期","9-10",NA,"上海"
"全世界爱好自由民族向苏联电贺胜利:蒂托元帅贺电","蒂托","时代杂志","1945","第5卷 第4期","10","上海"
"为什么要尊敬战争罪犯","阿尔古斯","时代杂志","1945","第5卷 第5期","18-20","上海"
"苏联二十八年来的对外政策(未完)","达伊金","时代杂志","1945","第5卷 第19期","19-22","上海"
"苏联勋章奖章:列宁格勒保卫战奖章:[照片]","时代杂志","1945","第5卷 第6期","封3",NA,"上海"
"介绍:战时苏联新闻片:四辑“战时苏联新闻集”","时代杂志","1945","第5卷 第7期","21",NA,"上海"
"史大林画传(下):内战与干涉战争时代的史大林:[画图]","时代杂志","1945","第5卷 第25期","封3",NA,"上海"
"夏令运动在苏联:织工联合会“鱼雷”足球队夺获“莫斯科杯”:[照片]","时代杂志","1945","第5卷 第8期","封2",NA,"上海"
"苏联国歌:[歌曲]","时代杂志","1945","第5卷 第6期","4",NA,"上海"
"胜利日在上海:虹口区日本人的街头食堂:[照片]","时代杂志","1945","第5卷 第18期","封3",NA,"上海"
"国际一周:希腊前外长说明引退理由","时代杂志","1945","第5卷 第15期","16",NA,"上海"
"红军进入德土:红军炮队在黑夜中对德军阵地作猛烈的轰击:[照片]","时代杂志","1945","第5卷 第1期","封2",NA,"上海"
"国际一角:联合国宪章生效之后:[画图]","伊戈斯","时代杂志","1945","第5卷 第20期","封3","上海"
"苏联全貌:苏联首都莫斯科红场:[照片]","时代杂志","1945","第5卷 第2期","15",NA,"上海"
"苏联全国在欢迎得胜归来的战士们","西蒙诺夫","时代杂志","1945","第5卷 第15期","21","上海"
