"title","author","journal","year","vol","page","place"
"对于文坛的又一风气的看法:谈短篇小说之不短及其它","茅盾","文萃","1945","第1期","11-12","上海"
"向人福斯学习","郭沫若","文萃","1945","第4期","13","上海"
"“民主”人(一)","洪深","文萃","1945","第4期","14-15","上海"
"毛遂","绀弩","文萃","1945","第4期","22-24","上海"
"家书:图","宋秉恒","文萃","1945","第8期","2","上海"
"民主和原子弹(本刊特稿)","袁水拍","文萃","1945","第8期","10","上海"
"火已经燃起来了(本刊特稿):胜利后的成都景象","何满子","文萃","1945","第12期","16-17","上海"
"美国的速度:图","伊戈斯","文萃","1945","第12期","2","上海"
"惨案特写","王季","文萃","1945","第11期","7-8","上海"
"聂耳的一生","徐嘉瑞","文萃","1945","第12期","18-23","上海"
"关于民主之实践(本刊特稿)","熊佛西","文萃","1945","第11期","5","上海"
"对不起，再没有事情好做了:图","摩斯","文萃","1945","第12期","2","上海"
"给收复区以新闻自由!","文萃","1945","第12期","11",NA,"上海"
"华北会变成第三次世界大战的桥梁吗?(本刊特稿)","钱端升 于友","文萃","1945","第12期","14-15","上海"
"从制止内战谈到政治协商会议","左舜生","文萃","1945","第12期","6-7","上海"
"王安石(名人评传)","郭沫若","文萃","1945","第11期","19-21","上海"
"鲁迅曾入光复会之考证","林辰","文萃","1945","第6期","12-15","上海"
"人类的尊严与教育的自由","翦伯赞","文萃","1945","第9期","14","上海"
"笔尖:人民变了","沙柯","文萃","1945","第9期","7","上海"
"立即召开政治会议","章伯钧","文萃","1945","第3期","8","上海"
"斯茉特莱记鲁迅(本刊特稿)","万歌","文萃","1945","第10期","15-19","上海"
"创作经验谈:我怎样写“春蚕”","茅盾","文萃","1945","第8期","13-14","上海"
"再见!:图","荒烟","文萃","1945","第10期","2","上海"
"廉洁图:图","余所亚","文萃","1945","第11期","2","上海"
"北方:图","沙清泉","文萃","1945","第8期","2","上海"
"黄金政策所表现之经济政策","马寅初","文萃","1945","第2期","13-15","上海"
"劫后柳州(竹画笔)","黎冰鸿","文萃","1945","第3期","1页","上海"
"满洲和大连的新任务","赛菲洛夫","文萃","1945","第11期","12-13","上海"
"对于今天时局的认识","邓初民","文萃","1945","第10期","3-4","上海"
"“民主”人(二)","洪深","文萃","1945","第5期","14-19","上海"
"吹笛猎人(童话)","袁水拍","文萃","1945","第7期","20","上海"
"新中国地图","金端苓","文萃","1945","第8期","1页","上海"
"民主政治与民主教育","邓初民","文萃","1945","第11期","17-18","上海"
"造成有声的中国","方与严","文萃","1945","第4期","5，10","上海"
"苏联的政治","王赣愚","文萃","1945","第10期","10-11","上海"
"论人民的军队","楚图南","文萃","1945","第5期","2-3","上海"
"谈被推与推人到历史上去","雪峰","文萃","1945","第6期","16-17","上海"
"如何才能全面而澈底的消弭内战?","邓初民","文萃","1945","第8期","3-4","上海"
"笔尖:原子弹政策","萧萧","文萃","1945","第5期","4","上海"
"中国民主运动的两条路线","邓初民","文萃","1945","第1期","16，20","上海"
"八年来中国民主的动向","罗隆基","文萃","1945","第2期","4-6，19","上海"
"爸爸回来了:图","荒烟","文萃","1945","第9期","2","上海"
"论印度尼西亚人民的解放运动","石啸冲","文萃","1945","第7期","2-6","上海"
"饥寒:图","廷霸","文萃","1945","第7期","3","上海"
"恋爱·结婚·家庭(本刊特稿)","陈愿","文萃","1945","第7期","18-19","上海"
"笔尖:这是什么意思?","陶伯","文萃","1945","第6期","4-5","上海"
"人民世纪与妇女解放","李公樸","文萃","1945","第5期","13","上海"
"调整期的经济恐慌","伍启元","文萃","1945","第4期","16-20","上海"
"笔尖:反对内战","源天","文萃","1945","第5期","4-5","上海"
"笔尖:民主?","悠然","文萃","1945","第6期","4","上海"
"美国军舰把黄浦江的水族挤上了码头:图","伊戈斯","文萃","1946","第16期","2","上海"
"时事周评:变与不变","晨","文萃","1946","第2卷 第1期","2","上海"
"中国必须办一次真正的选举","张东荪","文萃","1946","第15期","5-6","上海"
"国大代表必须重选","伍丹戈","文萃","1946","第16期","3-4","上海"
"打倒经济专政","马寅初","文萃","1946","第16期","9","上海"
"和平楼夜话","申公","文萃","1946","第38期","19-21","上海"
"痛悼民主战士李公朴先生:民主同盟、云南支部公告","文萃","1946","第39期","2",NA,"上海"
