"title","author","journal","year","vol","page","place"
"短評：自己的事自己挺身出來承當","敏","新路周刊","1948","第1卷 第21期","2","北平"
"混合制度與計劃制度中間的選擇","陳振漢","新路周刊","1948","第2卷 第5期","4-10","北平"
"通訊：舉國矚目的江漢戰場（武昌通訊）","新路周刊","1948","第1卷 第16期","14-15",NA,"北平"
"國際問題論壇：如何瞭解戰後蘇聯的行動","翁獨健","新路周刊","1948","第1卷 第24期","7-9","北平"
"通訊：瑞士風光（日內瓦通訊）：新聞自由會議","陳達","新路周刊","1948","第1卷 第4期","16","北平"
"短評：改革案與既得利益","英","新路周刊","1948","第1卷 第18期","1-2","北平"
"新幣制的善後：總答覆：筆者這篇文章倉促寫出後又承徐毓枬劉大中趙守愚……","蔣碩傑","新路周刊","1948","第1卷 第23期","8","北平"
"第三次大戰中國沒有便宜可沾","簫乾","新路周刊","1948","第1卷 第22期","4-5","北平"
"通訊：蔣總統到了北方（天津通訊）","新路周刊","1948","第1卷 第23期","14-16",NA,"北平"
"短評：官商鬬法看誰能制誰","矞","新路周刊","1948","第1卷 第19期","2","北平"
"通訊：中緬邊境勘界側聞（昆明通訊）","慧君","新路周刊","1948","第1卷 第18期","15-16","北平"
"短評：作了一個聰明的擧措以後","競","新路周刊","1948","第1卷 第14期","1","北平"
"通訊：從莫干山至牯嶺（南京通訊）","新路周刊","1948","第1卷 第16期","13-14",NA,"北平"
"短評：冷戰之後是否將有熱戰？","競","新路周刊","1948","第1卷 第13期","1","北平"
"通訊：陝西政海微波蕩漾（西安通訊）","高君","新路周刊","1948","第1卷 第12期","13-14","北平"
"幣制改革案的本質","粟寄滄","新路周刊","1948","第1卷 第20期","8-10","北平"
"短評：迎接政治上新理想的出現","民","新路周刊","1948","第1卷 第13期","1","北平"
"我國新人事法規之制訂","趙德潔","新路周刊","1948","第1卷 第24期","9-10","北平"
"新的孕育：自傳的橫切面","畢基初","新路周刊","1948","第2卷 第4期","19","北平"
"短評：絕望中的殘忍","螢","新路周刊","1948","第1卷 第9期","1","北平"
