"title","author","journal","year","vol","page","place"
"一次工作检查的实施:律务:守岗位·尽本位","邵景康","中建","1946","第13期","8","上海"
"关于江苏干训团:参加江苏省干训团工作报告","何肫林","中建","1946","第2期","12-13","上海"
"三十五年中的一件事:工作:折中意见","中建","1946","第14期","6-7",NA,"上海"
"我在当前最须解决的一个问题:问题的提出:忧郁化为进步的动力","周公南","中建","1946","第11期","6-7","上海"
"把握地方工作的性质立场和态度:检查工作·体认经验:行得通，才是示范","中建","1946","第7期","3",NA,"上海"
"信箱:不曾打算“心力经济”、广播“中建”的种籽","中建","1946","第10期","14-15",NA,"上海"
"国庆集:感想与希望:国庆谈勇","张永久","中建","1946","第10期","6","上海"
"工作报告:首都四个月:几项任务、工作条件、经过纪实","张霞飞","中建","1946","第14期","12-13","上海"
"嵊泗纪行(旅行通讯)","唐思礼","中建","1946","第5期","16","上海"
"中建内外:集会与人事","中建","1946","第14期","15",NA,"上海"
"生活片断:贷学金的启示","赵志华","中建","1946","第8期","14","上海"
"生活片断:从农场到土地:一页并没有记录的记录","金大均","中建","1946","第11期","14-15","上海"
"读书报告:二十年来的苏联","王觉源 何肫林","中建","1946","第3期","13-14","上海"
"同人创作:公私法人之法定代理人浅释","邵景康","中建","1946","第6期","10-11","上海"
"一次工作检查的实施:一般:从进修做起","高祖文","中建","1946","第13期","4-5","上海"
"中建内外:工作检查","中建","1946","第14期","14",NA,"上海"
"三十五年中的一件事:工作:为基地工作奋斗","顾佩之","中建","1946","第14期","8","上海"
"三十五年中的一件事:个人:要一个“舵”!","马碧莲","中建","1946","第14期","4","上海"
"抛锚途中","何肫林","中建","1946","第5期","15","上海"
"社务的报导社员的动态:中建内外:事业新态","中建","1946","第2期","13-14",NA,"上海"
"国庆集:感想与希望:三点愿望","梁文元","中建","1946","第10期","5-6","上海"
"国庆集:八年中的一页:意外的变端","何肫林","中建","1946","第10期","8-9","上海"
"信箱:有些青年朋友投函本社王理事长，内容和要求","中建","1946","第4期","8",NA,"上海"
"中建内外:社务的报导社员的动态:人与事的动态","中建","1946","第3期","9",NA,"上海"
"推展工作论:理论·人才·事业、点·线·面、三种基本精神(福斯的精神、主动的精神、学习的精神)、三项技术原则(确立制度、健全组织、强化纪律)","王艮仲","中建","1946","第10期","2-4","上海"
"社务的报导社员的动态:中建内外:悼唁","中建","1946","第12期","15",NA,"上海"
"信箱:在行动中间站拢来","中建","1946","第8期","13",NA,"上海"
"社务的报导社员的动态:中建内外:人与事的动态","中建","1946","第2期","14",NA,"上海"
"进修会:怎样清除消极?:自我检讨","中建","1946","创刊号","3-4",NA,"上海"
"我看浦东","中建","1946","第2期","7",NA,"上海"
"创造与服务","陈立夫","中建","1946","第4期","4","上海"
"生活片段:大学生的苦闷","顾家樑","中建","1946","第3期","10-11","上海"
"信箱:关于地方工作","中建","1946","第14期","15",NA,"上海"
"信箱:中建不能关门","中建","1946","第8期","12",NA,"上海"
"看向“中建农场”:(二)书面意见的提出","中建","1946","第4期","6-8",NA,"上海"
"中建内外:社务的报导社员的动态:工作进展","中建","1946","第7期","14",NA,"上海"
"中建内外:广播、工作进展、集会与演讲、人与事的动","中建","1946","第11期","8-9",NA,"上海"
"中建精神发凡","中建","1946","第9期","2-3",NA,"上海"
"三十五年中的一件事:个人:自学的起步","潘静","中建","1946","第14期","6","上海"
"胜利日:转变用力的方向","陈梅卿","中建","1946","第8期","11","上海"
"我在当前最须解决的一个问题:问题的提出:建筑“社会的”家庭","陈士华","中建","1946","第11期","5-6","上海"
"工作第一!","中建","1946","第10期","1",NA,"上海"
"生活片断:生活的感悟:从头做起","钱晓义","中建","1946","第9期","13","上海"
"国庆集:为国庆而歌·在国庆矢誓!","王艮仲","中建","1946","第10期","5","上海"
"生长中的浦建:业务进展:交通事业部","中建","1946","第12期","13",NA,"上海"
"生长中的浦建:财务状况","中建","1946","第12期","13",NA,"上海"
"生活片断:工作前线:找事做","邹云涛","中建","1946","第9期","12-13","上海"
"生活片断:一切为团体","何肫林","中建","1946","第8期","14","上海"
"把握地方工作的性质立场和态度:工作态度的新提示:服务必须站在前面","中建","1946","第7期","4-5",NA,"上海"
"从学习中吸取养料，从生活中积蓄活力:生活片断:看向中国·为了工作","中建","1946","第7期","10",NA,"上海"
"社务的报导社员的动态:中建内外:事业了望:经济事业","中建","1947","第2卷 第6期","15",NA,"上海"
"壁报的发行及其它:关于“大家看”的赘补","宋宝山","中建","1947","第2卷 第11期","8-11","上海"
"中建内外:基地动态:创建乡工模范","中建","1947","第2卷 第11期","12",NA,"上海"
"社务的报导社员的动态:中建内外:事业了望:人与事之动","中建","1947","第2卷 第6期","15",NA,"上海"
"临别寄语","赵志华","中建","1947","第2卷 第5期","14-15","上海"
"成功的力量","中建","1947","第19期","1",NA,"上海"
"“事”与“任”","中建","1947","第22期","1",NA,"上海"
"中建内外:基地工作","中建","1947","第22期","8-9",NA,"上海"
"对中建农场的意见","中建","1947","第21期","10-11",NA,"上海"
