"title","author","journal","year","vol","page","place"
"北平通讯:关于城乡物资交流","陈林","中建:华北航空版","1948","第3期","19-21","上海"
"诤友(朱佩弦兄遗念)","俞平伯","中建:华北航空版","1948","第4期","9-10","上海"
"青岛通讯:山东的战略地位","鲁宾荪","中建:华北航空版","1948","第6期","24，11","上海"
"诗和诗的对象","俞铭传","中建:华北航空版","1948","第6期","19-20","上海"
"真知识和假知识:一个社会科学工作人员的自白","费善通","中建:华北航空版","1948","第6期","6-7","上海"
"北平通讯:七五惨案前后","Lyon，J.","中建:华北航空版","1948","第1期","20-22","上海"
"旧戏新谈序","徐铸成","中建:华北航空版","1948","第3期","24","上海"
"高调哲学与低调哲学:哲学杂论之一","郑昕","中建:华北航空版","1948","第3期","12-13","上海"
"论青年思想问题与中年人应持的态度","郑昕","中建:华北航空版","1948","第6期","4-6","上海"
"记世界知识分子和平大会","Martin，K.","中建:华北航空版","1948","第6期","16-17","上海"
"朱自清先生与现代散文","杨振声","中建:华北航空版","1948","第4期","10-11","上海"
"朝鲜温和派向左转","Deane，H. 礼凡","中建:华北航空版","1948","第5期","14-16","上海"
"增产与革命:写了“民主主义与社会主义”以后","张东荪","中建:华北航空版","1948","第1期","2-4","上海"
"评金元券发行条例中的准备条款","樊弘","中建:华北航空版","1948","第4期","8","上海"
"哭佩弦先生","游国恩","中建:华北航空版","1948","第4期","9","上海"
"闲话南朝(一):刘裕和士大夫","孙楷弟","中建:华北航空版","1948","第5期","17","上海"
"谈币制改革","周作仁","中建:华北航空版","1948","第4期","6","上海"
"关于思想自由及其它","郑昕","中建:华北航空版","1948","第1期","10-12","上海"
"评北大处理八一九案件的办法","樊弘","中建:华北航空版","1948","第5期","4-5","上海"
"为文物请命","向达","中建:华北航空版","1948","第3期","8","上海"
"书评:“国际人权保障公约刍议”:“An International Bill of The Rights of Man，”by H.Lauterpacht，Columbia University Press，New York，1945，pp.230+X.","李浩培","中建:华北航空版","1948","第6期","17-18","上海"
"与青年谈小事","袁翰青","中建:华北航空版","1948","第6期","12-14","上海"
"三十七年八月二十一日下午四时为警宪在校内搜查学生事对在场的学生教职员跟警宪说话","陆志群","中建:华北航空版","1948","第4期","4","上海"
"改革币制能挽救经济危机吗?","粟寄沧","中建:华北航空版","1948","第4期","7-8","上海"
