"title","author","journal","year","vol","page","place"
"中原见闻录:开封到浦口共区旅行记","本初","中建:综合版","1949","第1卷 第2期","22-24","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):“送死”与“催生”","章靳以","中建:综合版","1949","第1卷 第2期","4-5","上海"
"论社会主义的成长","流金","中建:综合版","1949","第1卷 第1期","16，20","上海"
"和平问题(座谈):先做出一点大家看看","张孟闻","中建:综合版","1949","第1卷 第1期","8","上海"
"和平问题(座谈):和平非可幸致","夏炎德","中建:综合版","1949","第1卷 第1期","5","上海"
"时局综谈:在“全面和平”的掩盖之下","邹风","中建:综合版","1949","第1卷 第2期","20","上海"
"和谈不等于和平","漆琪生","中建:综合版","1949","第1卷 第3期","6-8","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):争取合理环境","张孟闻","中建:综合版","1949","第1卷 第2期","6","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):再展开启蒙运动","陈仁炳","中建:综合版","1949","第1卷 第2期","6-7","上海"
"饱与饿的对照","中建:综合版","1949","第1卷 第2期","24",NA,"上海"
"北平通讯:古城“末日”记","朝晴","中建:综合版","1949","第1卷 第1期","18-20","上海"
"和平问题(座谈):必须是民主的和平","王造时","中建:综合版","1949","第1卷 第1期","2","上海"
"关于“新民主主义经济”的讨论","童大勇","中建:综合版","1949","第1卷 第3期","16","上海"
"论地方币","周伯棣","中建:综合版","1949","第1卷 第2期","13-14","上海"
"和平问题(座谈):打击和贩·惩办战犯","漆琪生","中建:综合版","1949","第1卷 第1期","4-5","上海"
"撞狱","高朗","中建:综合版","1949","第1卷 第2期","21-22","上海"
"致编者书:检讨和平问题","寿秋情","中建:综合版","1949","第1卷 第3期","17-18","上海"
"论转形期的中产阶级","笪移今","中建:综合版","1949","第1卷 第3期","10-12","上海"
"和平问题(座谈):还是“周旋到底”吧!","潘震亚","中建:综合版","1949","第1卷 第1期","7","上海"
"和平问题(座谈):伪装和平比战争还可怕","陈旭麓","中建:综合版","1949","第1卷 第1期","8-9","上海"
"“大头鬼阴魂不散”","辛圭","中建:综合版","1949","第1卷 第3期","21-22","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):生活与精神上的威胁","孟宪章","中建:综合版","1949","第1卷 第2期","6","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):澈底消灭封建残余","周谷城","中建:综合版","1949","第1卷 第2期","2","上海"
"条条大路通北京","朝晴","中建:综合版","1949","第1卷 第3期","19-20","上海"
"政治苦闷，生活艰难:大局在晦明之间(座谈):坚定未来的信心","漆琪生","中建:综合版","1949","第1卷 第2期","5","上海"
