"source","target","year","place","journal","weight"
"新命","之战 (n)",1945,"重庆","《中央周刊》",19
"新命","亚洲 (n)",1945,"重庆","《中央周刊》",12
"施维卓夫","高尔基 (n)",1945,"上海","《时代杂志》",12
"阿尔古斯","国际 (n)",1945,"上海","《时代杂志》",12
"郭沫若","苏联 (n)",1945,"上海","《时代杂志》",10
"新命","本月 (n)",1945,"重庆","《中央周刊》",8
"施维卓夫","研究 (n)",1945,"上海","《时代杂志》",8
"史大林","苏联 (n)",1945,"上海","《时代杂志》",7
"梁公任","时事 (n)",1945,"上海","《国讯》",7
"梁公任","解剖 (n)",1945,"上海","《国讯》",7
"郭沫若","纪行 (n)",1945,"上海","《时代杂志》",7
"史大林","命令 (n)",1945,"上海","《时代杂志》",6
"史米尔诺夫","文化 (n)",1945,"上海","《时代杂志》",6
"建人","海外 (n)",1945,"重庆","《中央周刊》",6
"戚礼朴","宪法 (n)",1945,"上海","《时代杂志》",6
"杨明","流亡 (n)",1945,"上海","《民主(上海)》",6
"杨明","生活 (n)",1945,"上海","《民主(上海)》",6
"杨明","韬奋 (n)",1945,"上海","《民主(上海)》",6
"严景曜","民主 (n)",1945,"上海","《民主(上海)》",5
"史大林","总司令 (n)",1945,"上海","《时代杂志》",5
"史大林","最高 (n)",1945,"上海","《时代杂志》",5
"张文伯","社论 (n)",1945,"重庆","《中央周刊》",5
"新命","战事 (n)",1945,"重庆","《中央周刊》",5
"新命","欧洲 (n)",1945,"重庆","《中央周刊》",5
"昭抡","时事 (n)",1945,"昆明","《民主周刊(昆明)》",5
"柳宗元","南行 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元","徒步 (n)",1945,"上海","《周报(上海1945)》",5
"柳宗元","津浦路 (n)",1945,"上海","《周报(上海1945)》",5
"秦柳方","经济 (n)",1945,"上海","《国讯》",5
"米谷","一角 (n)",1945,"上海","《时代杂志》",5
"米谷","国际 (n)",1945,"上海","《时代杂志》",5
"胡春冰","国际 (n)",1945,"重庆","《中央周刊》",5
"许师愼","革命 (n)",1945,"重庆","《中央周刊》",5
"阿尔古斯","日本 (n)",1945,"上海","《时代杂志》",5
"陶伯","笔尖 (n)",1945,"上海","《文萃》",5
"齐纬","经济 (n)",1945,"上海","《国讯》",5
"伊戈斯","一角 (n)",1945,"上海","《时代杂志》",4
"伊戈斯","国际 (n)",1945,"上海","《时代杂志》",4
"光军","安定 (n)",1945,"上海","《国讯》",4
"光年","自己 (n)",1945,"昆明","《民主周刊(昆明)》",4
"史米尔诺夫","革命 (n)",1945,"上海","《时代杂志》",4
"右民","建设 (n)",1945,"重庆","《中央周刊》",4
"右民","经济 (n)",1945,"重庆","《中央周刊》",4
"叶青","政治 (n)",1945,"重庆","《中央周刊》",4
"守巧夫","问题 (n)",1945,"上海","《时代杂志》",4
"张德粹","农业 (n)",1945,"重庆","《中央周刊》",4
"新命","东线 (n)",1945,"重庆","《中央周刊》",4
"新命","会议 (n)",1945,"重庆","《中央周刊》",4
"昭抡","世界 (n)",1945,"昆明","《民主周刊(昆明)》",4
"昭抡","以后 (n)",1945,"昆明","《民主周刊(昆明)》",4
"曹刚","印度 (n)",1945,"昆明","《民主周刊(昆明)》",4
"曾资生","政制 (n)",1945,"重庆","《中央周刊》",4
"秦柳方","之页 (n)",1945,"上海","《国讯》",4
"米哈伊洛夫","全貌 (n)",1945,"上海","《时代杂志》",4
"米哈伊洛夫","苏联 (n)",1945,"上海","《时代杂志》",4
"米谷","世界之窗 (n)",1945,"上海","《时代杂志》",4
"罗西","重庆 (n)",1945,"昆明","《民主周刊(昆明)》",4
"罗隆基","中国 (n)",1945,"昆明","《民主周刊(昆明)》",4
"萧萧","笔尖 (n)",1945,"上海","《文萃》",4
"许师愼","故事 (n)",1945,"重庆","《中央周刊》",4
"陆复初","批判 (n)",1945,"重庆","《中央周刊》",4
"陶行知","先生 (n)",1945,"重庆","《民主(重庆)》",4
"高尔基","研究 (n)",1945,"上海","《时代杂志》",4
"高尔基","高尔基 (n)",1945,"上海","《时代杂志》",4
"齐纬","之页 (n)",1945,"上海","《国讯》",4
"于友","特稿 (n)",1945,"上海","《文萃》",3
"伯侨","故事 (n)",1945,"重庆","《中央周刊》",3
"伯侨","革命 (n)",1945,"重庆","《中央周刊》",3
"俞颂华","胜利 (n)",1945,"上海","《国讯》",3
"元璧","青年 (n)",1945,"重庆","《中央周刊》",3
"冬予里","美国 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生","大会 (n)",1945,"昆明","《民主周刊(昆明)》",3
"努生","纪念 (n)",1945,"昆明","《民主周刊(昆明)》",3
"勃拉尼克","国际 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克","捷克斯洛伐克 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克","续完 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克","观察 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克","解放运动 (n)",1945,"上海","《时代杂志》",3
"卡尔明","柏林 (n)",1945,"上海","《时代杂志》",3
"史大林","史大林 (n)",1945,"上海","《时代杂志》",3
"史大林","海军 (n)",1945,"上海","《时代杂志》",3
"史大林","红军 (n)",1945,"上海","《时代杂志》",3
"史大林","胜利 (n)",1945,"上海","《时代杂志》",3
"史大林","莫斯科 (n)",1945,"上海","《时代杂志》",3
"右民","中国 (n)",1945,"重庆","《中央周刊》",3
"叶靑","政治 (n)",1945,"重庆","《中央周刊》",3
"叶靑","民主 (n)",1945,"重庆","《中央周刊》",3
"叶青","民主 (n)",1945,"重庆","《中央周刊》",3
"孙宝毅","会议 (n)",1945,"重庆","《再生》",3
"巴斯金","历史学 (n)",1945,"上海","《时代杂志》",3
"巴斯金","反动 (n)",1945,"上海","《时代杂志》",3
"巴斯金","德国 (n)",1945,"上海","《时代杂志》",3
"平心","战后 (n)",1945,"上海","《周报(上海1945)》",3
"库士聂卓夫","海军 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","之后 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","德国 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","所见 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","沿途 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","红军 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","西行漫记 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫","进入 (n)",1945,"上海","《时代杂志》",3
"愚公","国难 (n)",1945,"重庆","《民主(重庆)》",3
"愚公","野记 (n)",1945,"重庆","《民主(重庆)》",3
"戈尔巴朵夫","之后 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫","德国 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫","所见 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫","沿途 (n)",1945,"上海","《时代杂志》",3
