"source","target","author","year","place","weight"
"之战","《中央周刊》","新命",1945,"重庆",19
"亚洲","《中央周刊》","新命",1945,"重庆",12
"国际","《时代杂志》","阿尔古斯",1945,"上海",12
"苏联","《时代杂志》","郭沫若",1945,"上海",10
"本月","《中央周刊》","新命",1945,"重庆",8
"时事","《国讯》","梁公任",1945,"上海",7
"纪行","《时代杂志》","郭沫若",1945,"上海",7
"苏联","《时代杂志》","史大林",1945,"上海",7
"解剖","《国讯》","梁公任",1945,"上海",7
"会议","《国讯》","华",1945,"上海",6
"命令","《时代杂志》","史大林",1945,"上海",6
"宪法","《时代杂志》","戚礼朴",1945,"上海",6
"文化","《时代杂志》","史米尔诺夫",1945,"上海",6
"流亡","《民主(上海)》","杨明",1945,"上海",6
"海外","《中央周刊》","建人",1945,"重庆",6
"生活","《民主(上海)》","杨明",1945,"上海",6
"韬奋","《民主(上海)》","杨明",1945,"上海",6
"一角","《时代杂志》","米谷",1945,"上海",5
"南行","《周报(上海1945)》","柳宗元",1945,"上海",5
"国际","《时代杂志》","米谷",1945,"上海",5
"徒步","《周报(上海1945)》","柳宗元",1945,"上海",5
"总司令","《时代杂志》","史大林",1945,"上海",5
"战事","《中央周刊》","新命",1945,"重庆",5
"日本","《时代杂志》","阿尔古斯",1945,"上海",5
"时事","《民主周刊(昆明)》","昭抡",1945,"昆明",5
"最高","《时代杂志》","史大林",1945,"上海",5
"欧洲","《中央周刊》","新命",1945,"重庆",5
"民主","《民主(上海)》","严景曜",1945,"上海",5
"津浦路","《周报(上海1945)》","柳宗元",1945,"上海",5
"笔尖","《文萃》","陶伯",1945,"上海",5
"经济","《国讯》","秦柳方",1945,"上海",5
"经济","《国讯》","齐纬",1945,"上海",5
"革命","《中央周刊》","许师愼",1945,"重庆",5
"一角","《时代杂志》","伊戈斯",1945,"上海",4
"世界","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"世界之窗","《时代杂志》","米谷",1945,"上海",4
"东线","《中央周刊》","新命",1945,"重庆",4
"中国","《民主周刊(昆明)》","罗隆基",1945,"昆明",4
"之页","《国讯》","秦柳方",1945,"上海",4
"之页","《国讯》","齐纬",1945,"上海",4
"以后","《民主周刊(昆明)》","昭抡",1945,"昆明",4
"会议","《中央周刊》","新命",1945,"重庆",4
"先生","《民主(重庆)》","陶行知",1945,"重庆",4
"农业","《中央周刊》","张德粹",1945,"重庆",4
"印度","《民主周刊(昆明)》","曹刚",1945,"昆明",4
"国际","《时代杂志》","伊戈斯",1945,"上海",4
"安定","《国讯》","光军",1945,"上海",4
"批判","《中央周刊》","陆复初",1945,"重庆",4
"政制","《中央周刊》","曾资生",1945,"重庆",4
"政治","《中央周刊》","叶青",1945,"重庆",4
"故事","《中央周刊》","许师愼",1945,"重庆",4
"旧金山","《国讯》","华",1945,"上海",4
"笔尖","《文萃》","萧萧",1945,"上海",4
"自己","《民主周刊(昆明)》","光年",1945,"昆明",4
"重庆","《民主周刊(昆明)》","罗西",1945,"昆明",4
"问题","《时代杂志》","守巧夫",1945,"上海",4
"革命","《时代杂志》","史米尔诺夫",1945,"上海",4
"高尔基","《时代杂志》","施维卓夫",1945,"上海",4
"一二","《民主周刊(昆明)》","程澄之",1945,"昆明",3
"世界","《再生》","石啸冲",1945,"重庆",3
"东南","《中央周刊》","新命",1945,"重庆",3
