"","Source","Target","Type","Id","Weight","place"
"1","之战","《中央周刊》","Directed",0,26,"南京"
"2","亚洲","《中央周刊》","Directed",1,29,"南京"
"3","国际","《时代杂志》","Directed",2,165,"上海"
"4","苏联","《时代杂志》","Directed",3,343,"上海"
"5","本月","《中央周刊》","Directed",4,8,"重庆"
"6","时事","《国讯》","Directed",5,16,"上海"
"7","纪行","《时代杂志》","Directed",6,17,"上海"
"8","解剖","《国讯》","Directed",8,8,"上海"
"9","会议","《国讯》","Directed",9,21,"上海"
"10","命令","《时代杂志》","Directed",10,13,"上海"
"11","宪法","《时代杂志》","Directed",11,16,"上海"
"12","文化","《时代杂志》","Directed",12,28,"上海"
"13","流亡","《民主(上海)》","Directed",13,9,"上海"
"14","海外","《中央周刊》","Directed",14,12,"南京"
"15","生活","《民主(上海)》","Directed",15,9,"上海"
"16","韬奋","《民主(上海)》","Directed",16,15,"上海"
"17","一角","《时代杂志》","Directed",17,10,"上海"
"18","南行","《周报(上海1945)》","Directed",18,5,"上海"
"19","徒步","《周报(上海1945)》","Directed",20,5,"上海"
"20","总司令","《时代杂志》","Directed",21,5,"上海"
"21","战事","《中央周刊》","Directed",22,8,"南京"
"22","日本","《时代杂志》","Directed",23,66,"上海"
"23","时事","《民主周刊(昆明)》","Directed",24,8,"昆明"
"24","最高","《时代杂志》","Directed",25,10,"上海"
"25","欧洲","《中央周刊》","Directed",26,16,"南京"
"26","民主","《民主(上海)》","Directed",27,61,"上海"
"27","津浦路","《周报(上海1945)》","Directed",28,5,"上海"
"28","笔尖","《文萃》","Directed",29,17,"上海"
"29","经济","《国讯》","Directed",30,42,"上海"
"30","革命","《中央周刊》","Directed",32,18,"南京"
"31","世界","《民主周刊(昆明)》","Directed",34,7,"昆明"
"32","世界之窗","《时代杂志》","Directed",35,4,"上海"
"33","东线","《中央周刊》","Directed",36,4,"重庆"
"34","中国","《民主周刊(昆明)》","Directed",37,28,"昆明"
"35","之页","《国讯》","Directed",38,11,"上海"
"36","以后","《民主周刊(昆明)》","Directed",40,6,"昆明"
"37","会议","《中央周刊》","Directed",41,30,"南京"
"38","先生","《民主(重庆)》","Directed",42,11,"重庆"
"39","农业","《中央周刊》","Directed",43,11,"南京"
"40","印度","《民主周刊(昆明)》","Directed",44,4,"昆明"
"41","安定","《国讯》","Directed",46,4,"上海"
"42","批判","《中央周刊》","Directed",47,6,"南京"
"43","政制","《中央周刊》","Directed",48,7,"南京"
"44","政治","《中央周刊》","Directed",49,39,"南京"
"45","故事","《中央周刊》","Directed",50,9,"南京"
"46","旧金山","《国讯》","Directed",51,7,"上海"
"47","自己","《民主周刊(昆明)》","Directed",53,5,"昆明"
"48","重庆","《民主周刊(昆明)》","Directed",54,10,"昆明"
"49","问题","《时代杂志》","Directed",55,91,"上海"
"50","革命","《时代杂志》","Directed",56,33,"上海"
"51","高尔基","《时代杂志》","Directed",57,152,"上海"
"52","一二","《民主周刊(昆明)》","Directed",58,4,"昆明"
"53","世界","《再生》","Directed",59,38,"上海"
"54","东南","《中央周刊》","Directed",60,3,"重庆"
"55","中国","《中央周刊》","Directed",61,171,"南京"
"56","中国","《再生》","Directed",62,113,"上海"
"57","之后","《时代杂志》","Directed",63,7,"上海"
"58","之路","《时代杂志》","Directed",64,5,"上海"
"59","会议","《再生》","Directed",66,26,"上海"
"60","会议","《民主周刊(昆明)》","Directed",67,10,"昆明"
"61","冯友兰","《周报(上海1945)》","Directed",68,3,"上海"
"62","前后","《民主(上海)》","Directed",69,15,"上海"
"63","半月","《再生》","Directed",70,3,"重庆"
"64","历史学","《时代杂志》","Directed",71,3,"上海"
"65","反动","《时代杂志》","Directed",72,13,"上海"
"66","发展","《时代杂志》","Directed",73,37,"上海"
"67","史大林","《时代杂志》","Directed",74,38,"上海"
"68","团结","《国讯》","Directed",75,9,"上海"
"69","国际","《再生》","Directed",76,13,"上海"
"70","国难","《民主(重庆)》","Directed",79,3,"重庆"
"71","大事记","《民主(上海)》","Directed",80,4,"上海"
"72","大会","《民主周刊(昆明)》","Directed",81,3,"昆明"
"73","太平洋战争","《民主(上海)》","Directed",82,4,"上海"
"74","屋荒","《文萃》","Directed",83,3,"上海"
"75","延安","《国讯》","Directed",84,3,"上海"
"76","德国","《时代杂志》","Directed",85,54,"上海"
"77","战后","《周报(上海1945)》","Directed",87,6,"上海"
"78","所见","《时代杂志》","Directed",88,3,"上海"
"79","捷克斯洛伐克","《时代杂志》","Directed",89,6,"上海"
"80","政潮","《时代杂志》","Directed",91,4,"上海"
"81","日记","《国讯》","Directed",93,3,"上海"
"82","杂写","《中央周刊》","Directed",94,5,"南京"
"83","柏林","《时代杂志》","Directed",95,27,"上海"
"84","柏林","《民主周刊(昆明)》","Directed",98,3,"昆明"
"85","概略","《中央周刊》","Directed",99,4,"南京"
"86","民主","《中央周刊》","Directed",100,38,"南京"
"87","民主","《时代杂志》","Directed",102,99,"上海"
"88","民主","《民主周刊(昆明)》","Directed",103,40,"昆明"
"89","沿途","《时代杂志》","Directed",104,4,"上海"
"90","海军","《时代杂志》","Directed",105,12,"上海"
"91","理学","《周报(上海1945)》","Directed",107,3,"上海"
"92","生活","《民主周刊(昆明)》","Directed",108,9,"昆明"
"93","瞭望","《再生》","Directed",109,3,"重庆"
"94","硫磺岛","《中央周刊》","Directed",110,3,"重庆"
"95","社会","《国讯》","Directed",111,6,"上海"
"96","社会主义国家","《时代杂志》","Directed",112,9,"上海"
"97","红军","《时代杂志》","Directed",114,15,"上海"
"98","纪念","《民主周刊(昆明)》","Directed",116,7,"昆明"
"99","经济","《中华论坛》","Directed",117,7,"重庆"
"100","续完","《时代杂志》","Directed",119,29,"上海"
"101","缅甸","《中央周刊》","Directed",120,5,"南京"
"102","罗马尼亚","《时代杂志》","Directed",121,10,"上海"
"103","美军","《中央周刊》","Directed",122,5,"南京"
"104","美国","《民主周刊(昆明)》","Directed",123,20,"昆明"
"105","胜利","《国讯》","Directed",124,25,"上海"
"106","胜利","《时代杂志》","Directed",125,43,"上海"
"107","航讯","《民主周刊(昆明)》","Directed",126,4,"昆明"
"108","英国","《民主周刊(昆明)》","Directed",128,9,"昆明"
"109","莫斯科","《时代杂志》","Directed",129,36,"上海"
"110","西线","《中央周刊》","Directed",130,3,"重庆"
"111","西行漫记","《时代杂志》","Directed",131,3,"上海"
"112","观察","《时代杂志》","Directed",132,7,"上海"
"113","解放运动","《时代杂志》","Directed",134,6,"上海"
"114","诗词","《民主(重庆)》","Directed",135,5,"重庆"
"115","谈屑","《民主(重庆)》","Directed",136,3,"重庆"
"116","资本主义国家","《时代杂志》","Directed",137,15,"上海"
"117","运动","《中央周刊》","Directed",138,26,"南京"
"118","进入","《时代杂志》","Directed",139,3,"上海"
"119","道路","《时代杂志》","Directed",140,10,"上海"
"120","遭难","《民主(上海)》","Directed",141,14,"上海"
"121","重庆","《中央周刊》","Directed",142,7,"南京"
"122","重庆","《国讯》","Directed",143,10,"上海"
"123","野记","《民主(重庆)》","Directed",144,3,"重庆"
"124","问题","《民主(重庆)》","Directed",145,21,"重庆"
"125","青年","《中央周刊》","Directed",146,37,"南京"
"126","000","《时代杂志》","Directed",149,2,"上海"
"127","一些","《民主周刊(昆明)》","Directed",150,2,"昆明"
"128","一次","《国讯》","Directed",151,3,"上海"
"129","三十一日","《国讯》","Directed",152,2,"上海"
