Id,Label,type,type2,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
黄炎培,黄炎培,author,author,538,40098,0.840083,2,0.773374,0.853482,2249.41411,"#B4B4B4"
努生,努生,author,author,124,3929,0.203388,2,0.544349,0.581472,41.547375,"#B4B4B4"
郑振铎,郑振铎,author,author,227,33345,0.4026,2,0.587645,0.649146,110.801674,"#B4B4B4"
阿尔古斯,阿尔古斯,author,author,274,10544,0.54276,2,0.609776,0.680026,88.027996,"#B4B4B4"
俞颂华,俞颂华,author,author,326,12165,0.530279,2,0.636288,0.714192,485.541432,"#B4B4B4"
陶行知,陶行知,author,author,347,5849,0.642576,2,0.64766,0.727989,266.578761,"#B4B4B4"
景宋,景宋,author,author,585,26203,0.906962,2,0.812166,0.884363,2628.569398,"#B4B4B4"
尊闻,尊闻,author,author,184,5985,0.339337,2,0.568759,0.620894,27.298711,"#B4B4B4"
秦柳方,秦柳方,author,author,389,7056,0.700721,2,0.671668,0.755585,455.783525,"#B4B4B4"
米谷,米谷,author,author,575,50058,0.908195,2,0.80359,0.877792,1962.046932,"#B4B4B4"
郭沫若,郭沫若,author,author,664,30489,1,2,0.886946,0.936268,3194.446946,"#B4B4B4"
周建人,周建人,author,author,504,18731,0.814539,2,0.747544,0.831143,1658.897986,"#B4B4B4"
平心,平心,author,author,249,6013,0.439494,2,0.5978,0.663601,124.032216,"#B4B4B4"
王新命,王新命,author,author,137,4820,0.209599,2,0.549458,0.590013,43.867331,"#B4B4B4"
董秋斯,董秋斯,author,author,220,10426,0.383706,2,0.584485,0.644547,124.343597,"#B4B4B4"
建人,建人,author,author,154,2997,0.237529,2,0.556287,0.601183,97.291794,"#B4B4B4"
石啸冲,石啸冲,author,author,529,33788,0.858857,2,0.766365,0.847569,1437.550641,"#B4B4B4"
伊戈斯,伊戈斯,author,author,274,5976,0.54276,2,0.609776,0.680026,88.027996,"#B4B4B4"
孟南,孟南,author,author,374,3430,0.64373,2,0.662892,0.745729,541.730262,"#B4B4B4"
杨明,杨明,author,author,156,3015,0.266735,2,0.557101,0.602497,69.083104,"#B4B4B4"
罗隆基,罗隆基,author,author,314,2236,0.579486,2,0.629967,0.706307,272.447802,"#B4B4B4"
胡春冰,胡春冰,author,author,274,2578,0.518567,2,0.609776,0.680026,242.252463,"#B4B4B4"
费孝通,费孝通,author,author,621,29712,0.92071,2,0.844617,0.908016,3295.129189,"#B4B4B4"
邓初民,邓初民,author,author,591,18110,0.904139,2,0.817401,0.888305,2393.87374,"#B4B4B4"
马叙伦,马叙伦,author,author,514,39910,0.848278,2,0.75496,0.837714,1329.124907,"#B4B4B4"
