Id,Label,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉,左拉,author,"#B4B4B4",374,28728,0.094773,3,0.519345,0.544114,0
黄炎培,黄炎培,author,"#B4B4B4",1580,125212,0.329356,2,0.625676,0.700864,72021.22743
努生,努生,author,"#B4B4B4",333,8056,0.052506,3,0.516548,0.538902,1696.150841
郑振铎,郑振铎,author,"#B4B4B4",701,58402,0.136524,3,0.542782,0.585685,5028.023562
昭抡,昭抡,author,"#B4B4B4",203,7106,0.03219,3,0.506961,0.521782,0
俞颂华,俞颂华,author,"#B4B4B4",1160,35828,0.252856,2,0.58649,0.64747,32955.530494
丰子恺,丰子恺,author,"#B4B4B4",374,13889,0.094773,3,0.519345,0.544114,0
陶行知,陶行知,author,"#B4B4B4",701,7300,0.136524,3,0.542782,0.585685,5028.023562
梁公任,梁公任,author,"#B4B4B4",409,19110,0.110141,2,0.527424,0.551996,0
景宋,景宋,author,"#B4B4B4",1819,39859,0.460197,2,0.650405,0.731248,54700.886371
蒲岗,蒲岗,author,"#B4B4B4",261,19432,0.050546,3,0.504748,0.525256,0
尊闻,尊闻,author,"#B4B4B4",583,9353,0.121795,3,0.534085,0.570684,1245.774458
秦柳方,秦柳方,author,"#B4B4B4",911,17244,0.295627,2,0.565492,0.615815,5214.93096
周建人,周建人,author,"#B4B4B4",1261,29718,0.344776,2,0.595458,0.66031,23684.281786
平心,平心,author,"#B4B4B4",583,10397,0.121795,3,0.534085,0.570684,1245.774458
董秋斯,董秋斯,author,"#B4B4B4",776,16452,0.245582,2,0.554725,0.598652,5991.933592
引流,引流,author,"#B4B4B4",409,11800,0.110141,2,0.527424,0.551996,0
石啸冲,石啸冲,author,"#B4B4B4",1820,98521,0.431751,2,0.650513,0.731376,98416.163093
孟南,孟南,author,"#B4B4B4",471,3676,0.064678,3,0.530841,0.559285,6127.889377
杨明,杨明,author,"#B4B4B4",455,4688,0.077047,3,0.52496,0.554411,3790.789583
罗隆基,罗隆基,author,"#B4B4B4",544,3392,0.07722,2,0.537148,0.569158,6879.470141
费孝通,费孝通,author,"#B4B4B4",2325,69838,0.818681,2,0.7098,0.795576,190581.846541
马叙伦,马叙伦,author,"#B4B4B4",1289,57659,0.327839,2,0.597993,0.66387,30301.940039
吴晗,吴晗,author,"#B4B4B4",2547,25263,0.929367,2,0.739425,0.823799,184422.375538
小鱼,小鱼,author,"#B4B4B4",859,17114,0.16272,2,0.561296,0.609204,21379.122354
思慕,思慕,author,"#B4B4B4",534,6925,0.096193,2,0.536416,0.567887,7083.612851
曹聚仁,曹聚仁,author,"#B4B4B4",374,4145,0.094773,3,0.519345,0.544114,0
杨卫玉,杨卫玉,author,"#B4B4B4",1744,23635,0.423097,2,0.642437,0.721714,206678.220348
柳宗元,柳宗元,author,"#B4B4B4",374,4145,0.094773,3,0.519345,0.544114,0
珂田,珂田,author,"#B4B4B4",374,5789,0.094773,3,0.519345,0.544114,0
翦伯赞,翦伯赞,author,"#B4B4B4",1071,3300,0.304166,2,0.578808,0.636156,18270.027948
胡曲园,胡曲园,author,"#B4B4B4",588,6455,0.110849,3,0.534448,0.57132,49524.224377
齐纬,齐纬,author,"#B4B4B4",409,7390,0.110141,2,0.527424,0.551996,0
严延,严延,author,"#B4B4B4",110,700,0.020759,3,0.482754,0.497415,0
光未然,光未然,author,"#B4B4B4",254,1722,0.037577,3,0.510315,0.528265,622.185222
克士,克士,author,"#B4B4B4",583,7376,0.121795,3,0.534085,0.570684,1245.774458
君山,君山,author,"#B4B4B4",203,1556,0.03219,3,0.506961,0.521782,0
张一凡,张一凡,author,"#B4B4B4",701,8882,0.126365,3,0.542782,0.585685,30945.249847
张礼千,张礼千,author,"#B4B4B4",409,5916,0.110141,2,0.527424,0.551996,0
澹庐,澹庐,author,"#B4B4B4",409,7390,0.110141,2,0.527424,0.551996,0
王立果,王立果,author,"#B4B4B4",254,2024,0.037577,3,0.510315,0.528265,622.185222
百辞,百辞,author,"#B4B4B4",141,964,0.0257,3,0.491011,0.505848,0
章伯钧,章伯钧,author,"#B4B4B4",860,5479,0.135634,2,0.561376,0.609331,26459.682444
索非,索非,author,"#B4B4B4",583,4041,0.121795,3,0.534085,0.570684,1245.774458
罗稷南,罗稷南,author,"#B4B4B4",583,5838,0.121795,3,0.534085,0.570684,1245.774458
