Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
左拉(1945),黄炎培(1945),Undirected,5299,author-author,,60,,,author<--->author
左拉(1945),郑振铎(1945),Undirected,5300,author-author,,630,,,author<--->author
左拉(1945),俞颂华(1945),Undirected,5301,author-author,,30,,,author<--->author
左拉(1945),丰子恺(1945),Undirected,5302,author-author,,480,,,author<--->author
左拉(1945),陶行知(1945),Undirected,5303,author-author,,90,,,author<--->author
左拉(1945),景宋(1945),Undirected,5304,author-author,,150,,,author<--->author
左拉(1945),周建人(1945),Undirected,5305,author-author,,150,,,author<--->author
左拉(1945),平心(1945),Undirected,5306,author-author,,240,,,author<--->author
左拉(1945),马叙伦(1945),Undirected,5307,author-author,,180,,,author<--->author
左拉(1945),曹聚仁(1945),Undirected,5308,author-author,,150,,,author<--->author
左拉(1945),柳宗元(1945),Undirected,5309,author-author,,150,,,author<--->author
左拉(1945),珂田(1945),Undirected,5310,author-author,,150,,,author<--->author
左拉(1945),胡曲园(1945),Undirected,5311,author-author,,150,,,author<--->author
左拉(1945),克士(1945),Undirected,5312,author-author,,30,,,author<--->author
左拉(1945),张一凡(1945),Undirected,5313,author-author,,60,,,author<--->author
左拉(1945),索非(1945),Undirected,5314,author-author,,120,,,author<--->author
左拉(1945),罗稷南(1945),Undirected,5315,author-author,,30,,,author<--->author
左拉(1945),翁逸之(1945),Undirected,5316,author-author,,120,,,author<--->author
左拉(1945),茅盾(1945),Undirected,5317,author-author,,30,,,author<--->author
左拉(1945),许若明(1945),Undirected,5318,author-author,,120,,,author<--->author
左拉(1945),邵翰齐(1945),Undirected,5319,author-author,,120,,,author<--->author
左拉(1945),丁聪(1945),Undirected,5320,author-author,,90,,,author<--->author
左拉(1945),师陀(1945),Undirected,5321,author-author,,90,,,author<--->author
左拉(1945),张大任(1945),Undirected,5322,author-author,,90,,,author<--->author
左拉(1945),晓歌(1945),Undirected,5323,author-author,,90,,,author<--->author
左拉(1945),柳亚子(1945),Undirected,5324,author-author,,90,,,author<--->author
左拉(1945),沈志远(1945),Undirected,5325,author-author,,30,,,author<--->author
左拉(1945),郭绍虞(1945),Undirected,5326,author-author,,30,,,author<--->author
左拉(1945),静远(1945),Undirected,5327,author-author,,90,,,author<--->author
左拉(1945),顾均正(1945),Undirected,5328,author-author,,90,,,author<--->author
左拉(1945),马丁(1945),Undirected,5329,author-author,,90,,,author<--->author
左拉(1945),黄裳(1945),Undirected,5330,author-author,,90,,,author<--->author
左拉(1945),一民(1945),Undirected,5331,author-author,,60,,,author<--->author
