Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉(1945),左拉,,author,"#B4B4B4",187,9480,0.667305,2,0.587465,0.648885,0
黄炎培(1945),黄炎培,,author,"#B4B4B4",395,5161,0.819546,2,0.729384,0.81449,12927.159665
努生(1945),努生,,author,"#B4B4B4",222,4956,0.317139,2,0.60735,0.676752,1152.208481
郑振铎(1945),郑振铎,,author,"#B4B4B4",357,8664,0.846782,2,0.698554,0.784236,5320.207246
昭抡(1945),昭抡,,author,"#B4B4B4",133,4389,0.196615,2,0.559216,0.605892,0
俞颂华(1945),俞颂华,,author,"#B4B4B4",317,3401,0.741338,2,0.668797,0.752389,10332.876535
丰子恺(1945),丰子恺,,author,"#B4B4B4",187,5280,0.667305,2,0.587465,0.648885,0
陶行知(1945),陶行知,,author,"#B4B4B4",271,2905,0.754539,2,0.637563,0.715764,1013.107042
梁公任(1945),梁公任,,author,"#B4B4B4",92,2340,0.079462,3,0.503609,0.551221,0
景宋(1945),景宋,,author,"#B4B4B4",273,3925,0.759547,2,0.638861,0.717357,1200.005176
蒲岗(1945),蒲岗,,author,"#B4B4B4",104,2046,0.170607,3,0.481965,0.542728,0
尊闻(1945),尊闻,,author,"#B4B4B4",104,1692,0.170607,3,0.481965,0.542728,0
秦柳方(1945),秦柳方,,author,"#B4B4B4",92,1656,0.079462,3,0.503609,0.551221,0
周建人(1945),周建人,,author,"#B4B4B4",273,3217,0.759547,2,0.638861,0.717357,1200.005176
平心(1945),平心,,author,"#B4B4B4",273,2900,0.759547,2,0.638861,0.717357,1200.005176
董秋斯(1945),董秋斯,,author,"#B4B4B4",104,1512,0.170607,3,0.481965,0.542728,0
引流(1945),引流,,author,"#B4B4B4",92,1302,0.079462,3,0.503609,0.551221,0
石啸冲(1945),石啸冲,,author,"#B4B4B4",44,406,0.023721,3,0.484942,0.513004,0
孟南(1945),孟南,,author,"#B4B4B4",133,1464,0.196615,2,0.559216,0.605892,0
杨明(1945),杨明,,author,"#B4B4B4",234,1395,0.355245,2,0.614481,0.686306,3291.218055
罗隆基(1945),罗隆基,,author,"#B4B4B4",222,1611,0.317139,2,0.60735,0.676752,1152.208481
费孝通(1945),费孝通,,author,"#B4B4B4",133,1464,0.196615,2,0.559216,0.605892,0
马叙伦(1945),马叙伦,,author,"#B4B4B4",273,3186,0.759547,2,0.638861,0.717357,1200.005176
吴晗(1945),吴晗,,author,"#B4B4B4",133,1225,0.196615,2,0.559216,0.605892,0
小鱼(1945),小鱼,,author,"#B4B4B4",221,1189,0.266554,2,0.606763,0.675955,2324.004899
思慕(1945),思慕,,author,"#B4B4B4",133,1225,0.196615,2,0.559216,0.605892,0
曹聚仁(1945),曹聚仁,,author,"#B4B4B4",187,1705,0.667305,2,0.587465,0.648885,0
杨卫玉(1945),杨卫玉,,author,"#B4B4B4",92,940,0.079462,3,0.503609,0.551221,0
柳宗元(1945),柳宗元,,author,"#B4B4B4",187,1705,0.667305,2,0.587465,0.648885,0
珂田(1945),珂田,,author,"#B4B4B4",187,1705,0.667305,2,0.587465,0.648885,0
翦伯赞(1945),翦伯赞,,author,"#B4B4B4",130,417,0.158448,2,0.557726,0.603503,780.408612
胡曲园(1945),胡曲园,,author,"#B4B4B4",187,1705,0.667305,2,0.587465,0.648885,0
齐纬(1945),齐纬,,author,"#B4B4B4",92,940,0.079462,3,0.503609,0.551221,0
严延(1945),严延,,author,"#B4B4B4",37,220,0.01675,3,0.482335,0.507431,0
光未然(1945),光未然,,author,"#B4B4B4",133,984,0.196615,2,0.559216,0.605892,0
克士(1945),克士,,author,"#B4B4B4",273,1117,0.759547,2,0.638861,0.717357,1200.005176
君山(1945),君山,,author,"#B4B4B4",133,984,0.196615,2,0.559216,0.605892,0
张一凡(1945),张一凡,,author,"#B4B4B4",273,1460,0.759547,2,0.638861,0.717357,1200.005176
张礼千(1945),张礼千,,author,"#B4B4B4",92,756,0.079462,3,0.503609,0.551221,0
澹庐(1945),澹庐,,author,"#B4B4B4",92,756,0.079462,3,0.503609,0.551221,0
王立果(1945),王立果,,author,"#B4B4B4",133,984,0.196615,2,0.559216,0.605892,0
百辞(1945),百辞,,author,"#B4B4B4",97,576,0.148421,2,0.541846,0.577229,0
章伯钧(1945),章伯钧,,author,"#B4B4B4",170,576,0.171494,2,0.578269,0.63535,2303.163698
索非(1945),索非,,author,"#B4B4B4",273,1564,0.759547,2,0.638861,0.717357,1200.005176
罗稷南(1945),罗稷南,,author,"#B4B4B4",273,1117,0.759547,2,0.638861,0.717357,1200.005176
罗西(1945),罗西,,author,"#B4B4B4",234,1180,0.355245,2,0.614481,0.686306,3291.218055
翁逸之(1945),翁逸之,,author,"#B4B4B4",187,1368,0.667305,2,0.587465,0.648885,0
胡钊(1945),胡钊,,author,"#B4B4B4",221,1176,0.266554,2,0.606763,0.675955,2324.004899
茅盾(1945),茅盾,,author,"#B4B4B4",356,1113,0.810482,2,0.697778,0.783439,6893.025703
许若明(1945),许若明,,author,"#B4B4B4",187,1368,0.667305,2,0.587465,0.648885,0
邵翰齐(1945),邵翰齐,,author,"#B4B4B4",187,1368,0.667305,2,0.587465,0.648885,0
陈正飞(1945),陈正飞,,author,"#B4B4B4",37,220,0.01675,3,0.482335,0.507431,0
陶大镛(1945),陶大镛,,author,"#B4B4B4",92,756,0.079462,3,0.503609,0.551221,0
丁聪(1945),丁聪,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
严景耀(1945),严景耀,,author,"#B4B4B4",104,582,0.170607,3,0.481965,0.542728,0
周新民(1945),周新民,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
唐言(1945),唐言,,author,"#B4B4B4",37,168,0.01675,3,0.482335,0.507431,0
子冈(1945),子冈,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
