Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
M.H.(1948),M.H.,,author,"#B4B4B4",0,1,143,0,129,33669,0.09987,3,0.46519,0.507483,0
张仁光(1948),张仁光,,author,"#B4B4B4",0,1,296,0,46,32752,0.363882,3,0.537084,0.590136,0
仲亨(1948),仲亨,,author,"#B4B4B4",0,1,296,0,40,28720,0.363882,3,0.537084,0.590136,0
杨微(1948),杨微,,author,"#B4B4B4",0,1,296,0,37,26677,0.363882,3,0.537084,0.590136,0
张肖梅(1948),张肖梅,,author,"#B4B4B4",0,1,95,0,33,12837,0.010843,3,0.407315,0.445692,0
杨博如(1948),杨博如,,author,"#B4B4B4",0,1,95,0,33,12837,0.010843,3,0.407315,0.445692,0
波光(1948),波光,,author,"#B4B4B4",0,1,296,0,29,21141,0.363882,3,0.537084,0.590136,0
丁蕾(1948),丁蕾,,author,"#B4B4B4",0,1,296,0,25,18325,0.363882,3,0.537084,0.590136,0
萧客(1948),萧客,,author,"#B4B4B4",0,1,95,0,24,9552,0.010843,3,0.407315,0.445692,0
张君劢(1948),张君劢,,author,"#B4B4B4",0,1,95,0,22,8800,0.010843,3,0.407315,0.445692,0
讷菴(1948),讷菴,,author,"#B4B4B4",0,1,95,0,22,8800,0.010843,3,0.407315,0.445692,0
杜衡(1948),杜衡,,author,"#B4B4B4",0,1,95,0,20,8040,0.010843,3,0.407315,0.445692,0
王厚生(1948),王厚生,,author,"#B4B4B4",0,1,95,0,19,7657,0.010843,3,0.407315,0.445692,0
费孝通(1948),费孝通,,author,"#B4B4B4",0,3,711,0,30,11511,0.863076,2,0.659489,0.741837,13550.366907
曾昭抡(1948),曾昭抡,,author,"#B4B4B4",0,3,470,0,35,9891,0.301714,3,0.570209,0.647619,19580.641491
张绍贤(1948),张绍贤,,author,"#B4B4B4",0,1,296,0,16,11872,0.363882,3,0.537084,0.590136,0
讷庵(1948),讷庵,,author,"#B4B4B4",0,1,95,0,16,6496,0.010843,3,0.407315,0.445692,0
陈仁炳(1948),陈仁炳,,author,"#B4B4B4",0,2,618,0,17,12366,0.831094,2,0.633075,0.710204,9773.302913
叶新华(1948),叶新华,,author,"#B4B4B4",0,1,95,0,15,6105,0.010843,3,0.407315,0.445692,0
文青(1948),文青,,author,"#B4B4B4",0,1,296,0,15,11145,0.363882,3,0.537084,0.590136,0
柏苍(1948),柏苍,,author,"#B4B4B4",0,1,296,0,15,11145,0.363882,3,0.537084,0.590136,0
黄炎培(1948),黄炎培,,author,"#B4B4B4",0,4,508,0,21,8336,0.458497,3,0.582178,0.662245,5173.81743
潮声(1948),潮声,,author,"#B4B4B4",0,1,143,0,14,5264,0.09987,3,0.46519,0.507483,0
陈达(1948),陈达,,author,"#B4B4B4",0,3,674,0,23,7458,0.706134,2,0.64872,0.729252,19485.839501
刘绪贻(1948),刘绪贻,,author,"#B4B4B4",0,2,553,0,16,7496,0.672055,2,0.615836,0.688095,6926.650132
赵志华(1948),赵志华,,author,"#B4B4B4",0,1,110,0,13,2600,0.016732,3,0.422292,0.463605,0
吴景超(1948),吴景超,,author,"#B4B4B4",0,2,455,0,13,3710,0.531545,3,0.568445,0.643311,2883.803928
张西曼(1948),张西曼,,author,"#B4B4B4",0,2,553,0,13,5306,0.672055,2,0.615836,0.688095,6926.650132
王民(1948),王民,,author,"#B4B4B4",0,2,402,0,14,6048,0.40751,3,0.558723,0.62619,1095.265095
秦越(1948),秦越,,author,"#B4B4B4",0,1,95,0,12,4920,0.010843,3,0.407315,0.445692,0
刘大中(1948),刘大中,,author,"#B4B4B4",0,2,455,0,12,3453,0.531545,3,0.568445,0.643311,2883.803928
司马天籁(1948),司马天籁,,author,"#B4B4B4",0,1,143,0,11,4169,0.09987,3,0.46519,0.507483,0
林焕平(1948),林焕平,,author,"#B4B4B4",0,2,402,0,22,12386,0.40751,3,0.558723,0.62619,1095.265095
程梯云(1948),程梯云,,author,"#B4B4B4",0,1,110,0,11,2222,0.016732,3,0.422292,0.463605,0
章明(1948),章明,,author,"#B4B4B4",0,1,296,0,11,8217,0.363882,3,0.537084,0.590136,0
储安平(1948),储安平,,author,"#B4B4B4",0,1,332,0,10,4850,0.49551,3,0.542636,0.601474,0
冠__(1948),冠__,,author,"#B4B4B4",0,1,233,0,10,4030,0.205087,3,0.505502,0.556463,0
周公南(1948),周公南,,author,"#B4B4B4",0,1,110,0,10,2030,0.016732,3,0.422292,0.463605,0
蔡尚思(1948),蔡尚思,,author,"#B4B4B4",0,4,701,0,13,5356,0.59968,3,0.63036,0.727891,10502.097775
金治泰(1948),金治泰,,author,"#B4B4B4",0,1,95,0,10,4120,0.010843,3,0.407315,0.445692,0
朱树锦(1948),朱树锦,,author,"#B4B4B4",0,2,442,0,10,2330,0.510773,3,0.565602,0.638889,58773.215643
杜渐(1948),杜渐,,author,"#B4B4B4",0,2,502,0,10,7153,0.519506,3,0.580798,0.660204,2408.152673
杨卫玉(1948),杨卫玉,,author,"#B4B4B4",0,3,605,0,12,7952,0.558836,3,0.605437,0.695238,5509.248422
石仲子(1948),石仲子,,author,"#B4B4B4",0,2,402,0,12,5694,0.40751,3,0.558723,0.62619,1095.265095
黄河清(1948),黄河清,,author,"#B4B4B4",0,1,95,0,9,3717,0.010843,3,0.407315,0.445692,0
何永佶(1948),何永佶,,author,"#B4B4B4",0,1,332,0,8,3896,0.49551,3,0.542636,0.601474,0
凌华(1948),凌华,,author,"#B4B4B4",0,2,502,0,9,3997,0.519506,3,0.580798,0.660204,2408.152673
张东荪(1948),张东荪,,author,"#B4B4B4",0,4,714,0,18,8369,0.863647,2,0.660377,0.742857,13781.141696
徐毓枬(1948),徐毓枬,,author,"#B4B4B4",0,2,455,0,11,3652,0.531545,3,0.568445,0.643311,2883.803928
微明(1948),微明,,author,"#B4B4B4",0,1,95,0,8,3312,0.010843,3,0.407315,0.445692,0
方建民(1948),方建民,,author,"#B4B4B4",0,1,95,0,8,3312,0.010843,3,0.407315,0.445692,0
林海(1948),林海,,author,"#B4B4B4",0,2,553,0,9,3734,0.672055,2,0.615836,0.688095,6926.650132
焦尾琴(1948),焦尾琴,,author,"#B4B4B4",0,1,296,0,8,6000,0.363882,3,0.537084,0.590136,0
王亚南(1948),王亚南,,author,"#B4B4B4",0,1,233,0,8,3240,0.205087,3,0.505502,0.556463,0
申铭(1948),申铭,,author,"#B4B4B4",0,1,95,0,8,3312,0.010843,3,0.407315,0.445692,0
蒋硕傑(1948),蒋硕傑,,author,"#B4B4B4",0,1,141,0,8,2176,0.06734,3,0.466075,0.50771,0
陈振汉(1948),陈振汉,,author,"#B4B4B4",0,2,455,0,9,2670,0.531545,3,0.568445,0.643311,2883.803928
陈涛(1948),陈涛,,author,"#B4B4B4",0,1,110,0,8,1640,0.016732,3,0.422292,0.463605,0
黄撼石(1948),黄撼石,,author,"#B4B4B4",0,1,95,0,8,3312,0.010843,3,0.407315,0.445692,0
余园(1948),余园,,author,"#B4B4B4",0,1,95,0,7,2905,0.010843,3,0.407315,0.445692,0
同父(1948),同父,,author,"#B4B4B4",0,1,296,0,7,5257,0.363882,3,0.537084,0.590136,0
岳铎(1948),岳铎,,author,"#B4B4B4",0,1,296,0,7,5257,0.363882,3,0.537084,0.590136,0
微生(1948),微生,,author,"#B4B4B4",0,1,296,0,7,5257,0.363882,3,0.537084,0.590136,0
楼邦彦(1948),楼邦彦,,author,"#B4B4B4",0,3,512,0,14,4933,0.556613,3,0.581257,0.662698,5178.85559
樊弘(1948),樊弘,,author,"#B4B4B4",0,4,652,0,21,6128,0.710217,2,0.642483,0.721769,11168.423103
潘光旦(1948),潘光旦,,author,"#B4B4B4",0,2,455,0,11,4520,0.531545,3,0.568445,0.643311,2883.803928
罗梦册(1948),罗梦册,,author,"#B4B4B4",0,1,48,0,7,441,0.00616,3,0.444781,0.469501,0
费雯(1948),费雯,,author,"#B4B4B4",0,1,95,0,7,2905,0.010843,3,0.407315,0.445692,0
郭泉(1948),郭泉,,author,"#B4B4B4",0,1,296,0,7,5257,0.363882,3,0.537084,0.590136,0
严冬(1948),严冬,,author,"#B4B4B4",0,2,618,0,7,5006,0.831094,2,0.633075,0.710204,9773.302913
吕拙文(1948),吕拙文,,author,"#B4B4B4",0,1,95,0,6,2496,0.010843,3,0.407315,0.445692,0
戴世光(1948),戴世光,,author,"#B4B4B4",0,1,141,0,6,1644,0.06734,3,0.466075,0.50771,0
方东旭(1948),方东旭,,author,"#B4B4B4",0,2,402,0,7,3061,0.40751,3,0.558723,0.62619,1095.265095
李相符(1948),李相符,,author,"#B4B4B4",0,1,110,0,6,1122,0.024005,3,0.42584,0.466893,0
林一荣(1948),林一荣,,author,"#B4B4B4",0,2,502,0,8,3954,0.519506,3,0.580798,0.660204,2408.152673
林沧白(1948),林沧白,,author,"#B4B4B4",0,2,502,0,7,3199,0.519506,3,0.580798,0.660204,2408.152673
甄斯(1948),甄斯,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
石啸冲(1948),石啸冲,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
石在(1948),石在,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
胡光(1948),胡光,,author,"#B4B4B4",0,4,707,0,12,5112,0.572995,2,0.658307,0.740476,33611.22415
萧乾(1948),萧乾,,author,"#B4B4B4",0,2,455,0,8,2630,0.531545,3,0.568445,0.643311,2883.803928
萧贤(1948),萧贤,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
裴仁(1948),裴仁,,author,"#B4B4B4",0,3,599,0,9,3557,0.560944,3,0.603944,0.693197,5617.472234
辛斤(1948),辛斤,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
静观(1948),静观,,author,"#B4B4B4",0,1,296,0,6,4512,0.363882,3,0.537084,0.590136,0
高超(1948),高超,,author,"#B4B4B4",0,3,441,0,8,3202,0.548121,3,0.565385,0.638549,2361.839374
不已(1948),不已,,author,"#B4B4B4",0,1,233,0,5,2040,0.205087,3,0.505502,0.556463,0
严仁赓(1948),严仁赓,,author,"#B4B4B4",0,2,455,0,6,2729,0.531545,3,0.568445,0.643311,2883.803928
仲子(1948),仲子,,author,"#B4B4B4",0,2,402,0,6,4154,0.40751,3,0.558723,0.62619,1095.265095
全慰天(1948),全慰天,,author,"#B4B4B4",0,3,674,0,8,2773,0.706134,2,0.64872,0.729252,19485.839501
凌卓(1948),凌卓,,author,"#B4B4B4",0,1,332,0,5,2450,0.49551,3,0.542636,0.601474,0
吕克难(1948),吕克难,,author,"#B4B4B4",0,3,472,0,7,1967,0.320026,2,0.595624,0.660544,14345.080321
呆夫(1948),呆夫,,author,"#B4B4B4",0,1,110,0,5,1040,0.016732,3,0.422292,0.463605,0
宋宝山(1948),宋宝山,,author,"#B4B4B4",0,1,110,0,5,1040,0.016732,3,0.422292,0.463605,0
施复亮(1948),施复亮,,author,"#B4B4B4",0,3,721,0,12,6991,0.868986,2,0.662461,0.745238,18752.551306
李广田(1948),李广田,,author,"#B4B4B4",0,3,441,0,8,1548,0.548121,3,0.565385,0.638549,2361.839374
杨珉华(1948),杨珉华,,author,"#B4B4B4",0,1,143,0,5,1925,0.09987,3,0.46519,0.507483,0
梅朶(1948),梅朶,,author,"#B4B4B4",0,1,143,0,5,1925,0.09987,3,0.46519,0.507483,0
欧阳春(1948),欧阳春,,author,"#B4B4B4",0,4,603,0,12,5847,0.563162,3,0.604938,0.694558,5848.685736
沙鸥(1948),沙鸥,,author,"#B4B4B4",0,1,110,0,5,940,0.024005,3,0.42584,0.466893,0
洪荒(1948),洪荒,,author,"#B4B4B4",0,1,296,0,5,3765,0.363882,3,0.537084,0.590136,0
王兆和(1948),王兆和,,author,"#B4B4B4",0,1,332,0,5,2450,0.49551,3,0.542636,0.601474,0
石闻(1948),石闻,,author,"#B4B4B4",0,1,233,0,5,2040,0.205087,3,0.505502,0.556463,0
笪移今(1948),笪移今,,author,"#B4B4B4",0,2,618,0,7,3962,0.831094,2,0.633075,0.710204,9773.302913
罗子为(1948),罗子为,,author,"#B4B4B4",0,1,110,0,5,940,0.024005,3,0.42584,0.466893,0
艾原(1948),艾原,,author,"#B4B4B4",0,1,233,0,5,2040,0.205087,3,0.505502,0.556463,0
邓初民(1948),邓初民,,author,"#B4B4B4",0,1,110,0,5,940,0.024005,3,0.42584,0.466893,0
郑铁邨(1948),郑铁邨,,author,"#B4B4B4",0,1,296,0,5,3765,0.363882,3,0.537084,0.590136,0
陆养浩(1948),陆养浩,,author,"#B4B4B4",0,1,110,0,5,1040,0.016732,3,0.422292,0.463605,0
黄药眠(1948),黄药眠,,author,"#B4B4B4",0,1,110,0,5,940,0.024005,3,0.42584,0.466893,0
黎玄(1948),黎玄,,author,"#B4B4B4",0,1,95,0,5,2085,0.010843,3,0.407315,0.445692,0
丘山(1948),丘山,,author,"#B4B4B4",0,1,143,0,4,1544,0.09987,3,0.46519,0.507483,0
严绍端(1948),严绍端,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
余望之(1948),余望之,,author,"#B4B4B4",0,1,95,0,4,1672,0.010843,3,0.407315,0.445692,0
刘子健(1948),刘子健,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
叶君健(1948),叶君健,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
吕漠(1948),吕漠,,author,"#B4B4B4",0,2,502,0,5,3428,0.519506,3,0.580798,0.660204,2408.152673
吴诚夫(1948),吴诚夫,,author,"#B4B4B4",0,1,296,0,4,3016,0.363882,3,0.537084,0.590136,0
周新民(1948),周新民,,author,"#B4B4B4",0,1,110,0,4,756,0.024005,3,0.42584,0.466893,0
喻凎邨(1948),喻凎邨,,author,"#B4B4B4",0,1,95,0,4,1672,0.010843,3,0.407315,0.445692,0
孟宪章(1948),孟宪章,,author,"#B4B4B4",0,4,603,0,10,4347,0.563162,3,0.604938,0.694558,5848.685736
季明(1948),季明,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
张霞飞(1948),张霞飞,,author,"#B4B4B4",0,1,110,0,4,836,0.016732,3,0.422292,0.463605,0
戴文赛(1948),戴文赛,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
文琪(1948),文琪,,author,"#B4B4B4",0,2,502,0,6,3838,0.519506,3,0.580798,0.660204,2408.152673
方锦(1948),方锦,,author,"#B4B4B4",0,1,95,0,4,1672,0.010843,3,0.407315,0.445692,0
望月(1948),望月,,author,"#B4B4B4",0,2,402,0,6,3792,0.40751,3,0.558723,0.62619,1095.265095
李维林(1948),李维林,,author,"#B4B4B4",0,1,48,0,4,264,0.00616,3,0.444781,0.469501,0
杨人楩(1948),杨人楩,,author,"#B4B4B4",0,3,556,0,7,2601,0.580466,3,0.591549,0.677664,7441.031626
杨庆堃(1948),杨庆堃,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
汪铭德(1948),汪铭德,,author,"#B4B4B4",0,1,110,0,4,836,0.016732,3,0.422292,0.463605,0
沈志远(1948),沈志远,,author,"#B4B4B4",0,1,110,0,4,756,0.024005,3,0.42584,0.466893,0
沛雨(1948),沛雨,,author,"#B4B4B4",0,1,296,0,4,3016,0.363882,3,0.537084,0.590136,0
牛纵(1948),牛纵,,author,"#B4B4B4",0,2,405,0,5,3228,0.378108,3,0.559361,0.627211,35868.482102
王琦(1948),王琦,,author,"#B4B4B4",0,1,296,0,4,3016,0.363882,3,0.537084,0.590136,0
王道乾(1948),王道乾,,author,"#B4B4B4",0,1,141,0,4,1104,0.06734,3,0.466075,0.50771,0
田汝康(1948),田汝康,,author,"#B4B4B4",0,1,332,0,4,1964,0.49551,3,0.542636,0.601474,0
碧遥(1948),碧遥,,author,"#B4B4B4",0,1,233,0,4,1636,0.205087,3,0.505502,0.556463,0
程家骐(1948),程家骐,,author,"#B4B4B4",0,1,95,0,4,1672,0.010843,3,0.407315,0.445692,0
