Id,Label,timeset,type,type2,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉(1945),左拉,,author,author,"#B4B4B4",187,9480,0.480536,2,0.550134,0.591131,0
黄炎培(1945),黄炎培,,author,author,"#B4B4B4",488,5513,0.748153,2,0.65601,0.737817,18080.869953
新命(1945),新命,,author,author,"#B4B4B4",190,7383,0.389869,3,0.532434,0.582034,0
努生(1945),努生,,author,author,"#B4B4B4",222,4956,0.273333,2,0.560656,0.608187,1005.841694
郑振铎(1945),郑振铎,,author,author,"#B4B4B4",357,8664,0.641283,2,0.60531,0.673977,4672.081256
阿尔古斯(1945),阿尔古斯,,author,author,"#B4B4B4",264,5037,0.347201,2,0.573826,0.628655,4787.867637
昭抡(1945),昭抡,,author,author,"#B4B4B4",133,4389,0.1612,2,0.534653,0.564815,0
俞颂华(1945),俞颂华,,author,author,"#B4B4B4",317,3401,0.552925,2,0.591354,0.654483,11276.3685
丰子恺(1945),丰子恺,,author,author,"#B4B4B4",187,5280,0.480536,2,0.550134,0.591131,0
张文伯(1945),张文伯,,author,author,"#B4B4B4",190,5248,0.389869,3,0.532434,0.582034,0
陶行知(1945),陶行知,,author,author,"#B4B4B4",369,3430,0.691987,2,0.609626,0.679825,2196.233432
梁公任(1945),梁公任,,author,author,"#B4B4B4",92,2340,0.070194,3,0.472593,0.510559,0
景宋(1945),景宋,,author,author,"#B4B4B4",385,4102,0.702996,2,0.615477,0.687622,4858.985561
蒲岗(1945),蒲岗,,author,author,"#B4B4B4",104,2046,0.132534,3,0.490674,0.527453,0
守巧夫(1945),守巧夫,,author,author,"#B4B4B4",140,2286,0.15466,3,0.506917,0.550032,0
尊闻(1945),尊闻,,author,author,"#B4B4B4",104,1692,0.132534,3,0.490674,0.527453,0
秦柳方(1945),秦柳方,,author,author,"#B4B4B4",216,1833,0.263861,2,0.558824,0.605263,2934.907964
米谷(1945),米谷,,author,author,"#B4B4B4",140,2286,0.15466,3,0.506917,0.550032,0
郭沫若(1945),郭沫若,,author,author,"#B4B4B4",466,3613,0.766537,2,0.64691,0.727096,20921.948523
钱穆(1945),钱穆,,author,author,"#B4B4B4",190,3015,0.389869,3,0.532434,0.582034,0
史大林(1945),史大林,,author,author,"#B4B4B4",140,2040,0.15466,3,0.506917,0.550032,0
周建人(1945),周建人,,author,author,"#B4B4B4",273,3217,0.553906,2,0.576728,0.633041,1079.9713
平心(1945),平心,,author,author,"#B4B4B4",409,3162,0.687203,2,0.624467,0.699318,10582.370457
施维卓夫(1945),施维卓夫,,author,author,"#B4B4B4",140,2040,0.15466,3,0.506917,0.550032,0
王新命(1945),王新命,,author,author,"#B4B4B4",190,2688,0.389869,3,0.532434,0.582034,0
董秋斯(1945),董秋斯,,author,author,"#B4B4B4",104,1512,0.132534,3,0.490674,0.527453,0
右民(1945),右民,,author,author,"#B4B4B4",190,2359,0.389869,3,0.532434,0.582034,0
建人(1945),建人,,author,author,"#B4B4B4",190,2359,0.389869,3,0.532434,0.582034,0
引流(1945),引流,,author,author,"#B4B4B4",92,1302,0.070194,3,0.472593,0.510559,0
石啸冲(1945),石啸冲,,author,author,"#B4B4B4",165,583,0.219206,2,0.54372,0.580409,1344.453285
伊戈斯(1945),伊戈斯,,author,author,"#B4B4B4",264,1719,0.347201,2,0.573826,0.628655,4787.867637
孟南(1945),孟南,,author,author,"#B4B4B4",251,1816,0.343181,2,0.569684,0.62232,1130.999913
杨明(1945),杨明,,author,author,"#B4B4B4",234,1395,0.2836,2,0.564356,0.614035,3053.930671
罗隆基(1945),罗隆基,,author,author,"#B4B4B4",322,1788,0.414909,2,0.593064,0.65692,2339.141868
胡春冰(1945),胡春冰,,author,author,"#B4B4B4",318,2205,0.594528,2,0.591696,0.654971,20781.048223
蒋炳贤(1945),蒋炳贤,,author,author,"#B4B4B4",190,2028,0.389869,3,0.532434,0.582034,0
费孝通(1945),费孝通,,author,author,"#B4B4B4",251,1641,0.343181,2,0.569684,0.62232,1130.999913
邓初民(1945),邓初民,,author,author,"#B4B4B4",470,2640,0.477619,2,0.648546,0.729045,24217.010928
钱纳水(1945),钱纳水,,author,author,"#B4B4B4",190,2028,0.389869,3,0.532434,0.582034,0
马叙伦(1945),马叙伦,,author,author,"#B4B4B4",273,3186,0.553906,2,0.576728,0.633041,1079.9713
Pen(1945),Pen,,author,author,"#B4B4B4",140,1290,0.15466,3,0.506917,0.550032,0
加里宁(1945),加里宁,,author,author,"#B4B4B4",140,1290,0.15466,3,0.506917,0.550032,0
叶青(1945),叶青,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
吴晗(1945),吴晗,,author,author,"#B4B4B4",133,1225,0.1612,2,0.534653,0.564815,0
小鱼(1945),小鱼,,author,author,"#B4B4B4",221,1189,0.223283,2,0.56035,0.6077,2368.605828
思慕(1945),思慕,,author,author,"#B4B4B4",251,1402,0.343181,2,0.569684,0.62232,1130.999913
曹聚仁(1945),曹聚仁,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
杨卫玉(1945),杨卫玉,,author,author,"#B4B4B4",92,940,0.070194,3,0.472593,0.510559,0
柳宗元(1945),柳宗元,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
珂田(1945),珂田,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
翦伯赞(1945),翦伯赞,,author,author,"#B4B4B4",237,594,0.301716,2,0.565289,0.615497,2699.959124
胡曲园(1945),胡曲园,,author,author,"#B4B4B4",187,1705,0.480536,2,0.550134,0.591131,0
蒋君章(1945),蒋君章,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
许师愼(1945),许师愼,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
郑学稼(1945),郑学稼,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
郭寿生(1945),郭寿生,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
陶伯(1945),陶伯,,author,author,"#B4B4B4",128,865,0.207667,2,0.533264,0.562378,0
黄义本(1945),黄义本,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
齐纬(1945),齐纬,,author,author,"#B4B4B4",92,940,0.070194,3,0.472593,0.510559,0
龚德柏(1945),龚德柏,,author,author,"#B4B4B4",190,1695,0.389869,3,0.532434,0.582034,0
严延(1945),严延,,author,author,"#B4B4B4",37,220,0.018897,3,0.450197,0.475146,0
伯侨(1945),伯侨,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
光未然(1945),光未然,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
克士(1945),克士,,author,author,"#B4B4B4",273,1117,0.553906,2,0.576728,0.633041,1079.9713
君山(1945),君山,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
张一凡(1945),张一凡,,author,author,"#B4B4B4",409,1722,0.687203,2,0.624467,0.699318,10582.370457
张礼千(1945),张礼千,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
戈尔巴朵夫(1945),戈尔巴朵夫,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
曾资生(1945),曾资生,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
李翼民(1945),李翼民,,author,author,"#B4B4B4",190,1360,0.389869,3,0.532434,0.582034,0
澹庐(1945),澹庐,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
王立果(1945),王立果,,author,author,"#B4B4B4",133,984,0.1612,2,0.534653,0.564815,0
百辞(1945),百辞,,author,author,"#B4B4B4",205,753,0.294717,2,0.555495,0.599903,352.735125
章伯钧(1945),章伯钧,,author,author,"#B4B4B4",273,928,0.312352,2,0.576728,0.633041,5690.530322
端木蕻良(1945),端木蕻良,,author,author,"#B4B4B4",128,696,0.207667,2,0.533264,0.562378,0
米哈伊洛夫(1945),米哈伊洛夫,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
索非(1945),索非,,author,author,"#B4B4B4",273,1564,0.553906,2,0.576728,0.633041,1079.9713
罗稷南(1945),罗稷南,,author,author,"#B4B4B4",273,1117,0.553906,2,0.576728,0.633041,1079.9713
罗西(1945),罗西,,author,author,"#B4B4B4",234,1180,0.2836,2,0.564356,0.614035,3053.930671
翁逸之(1945),翁逸之,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
胡钊(1945),胡钊,,author,author,"#B4B4B4",221,1176,0.223283,2,0.56035,0.6077,2368.605828
茅盾(1945),茅盾,,author,author,"#B4B4B4",453,1809,0.740342,2,0.641651,0.72076,10684.228349
萧萧(1945),萧萧,,author,author,"#B4B4B4",128,696,0.207667,2,0.533264,0.562378,0
许若明(1945),许若明,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
邵翰齐(1945),邵翰齐,,author,author,"#B4B4B4",187,1368,0.480536,2,0.550134,0.591131,0
陈正飞(1945),陈正飞,,author,author,"#B4B4B4",37,220,0.018897,3,0.450197,0.475146,0
陶大镛(1945),陶大镛,,author,author,"#B4B4B4",92,756,0.070194,3,0.472593,0.510559,0
高尔基(1945),高尔基,,author,author,"#B4B4B4",140,1036,0.15466,3,0.506917,0.550032,0
丁聪(1945),丁聪,,author,author,"#B4B4B4",187,1029,0.480536,2,0.550134,0.591131,0
