Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
M.H.(1948),M.H.,,author,author,"#B4B4B4",0,1,143,0,129,33669,0.08643,3,0.457888,0.487572,0
君羊(1948),君羊,,author,author,"#B4B4B4",0,1,270,0,124,65224,0.133677,3,0.404423,0.455641,0
汪老吉(1948),汪老吉,,author,author,"#B4B4B4",0,1,319,0,70,49770,0.336542,3,0.47485,0.523008,0
米谷(1948),米谷,,author,author,"#B4B4B4",0,3,676,0,69,45880,0.544514,3,0.563699,0.623837,23410.263231
任晦之(1948),任晦之,,author,author,"#B4B4B4",0,1,319,0,52,37908,0.336542,3,0.47485,0.523008,0
张仁光(1948),张仁光,,author,author,"#B4B4B4",0,1,296,0,46,32752,0.297868,3,0.494329,0.533907,0
伯商(1948),伯商,,author,author,"#B4B4B4",0,1,270,0,42,25536,0.133677,3,0.404423,0.455641,0
厚菴(1948),厚菴,,author,author,"#B4B4B4",0,1,270,0,41,24969,0.133677,3,0.404423,0.455641,0
仲亨(1948),仲亨,,author,author,"#B4B4B4",0,1,296,0,40,28720,0.297868,3,0.494329,0.533907,0
杨微(1948),杨微,,author,author,"#B4B4B4",0,1,296,0,37,26677,0.297868,3,0.494329,0.533907,0
丁昌(1948),丁昌,,author,author,"#B4B4B4",0,1,270,0,34,20944,0.133677,3,0.404423,0.455641,0
张肖梅(1948),张肖梅,,author,author,"#B4B4B4",0,1,95,0,33,12837,0.012268,3,0.406687,0.435628,0
朝新(1948),朝新,,author,author,"#B4B4B4",0,1,319,0,33,24684,0.336542,3,0.47485,0.523008,0
杨博如(1948),杨博如,,author,author,"#B4B4B4",0,1,95,0,33,12837,0.012268,3,0.406687,0.435628,0
王耑(1948),王耑,,author,author,"#B4B4B4",0,1,270,0,32,19776,0.133677,3,0.404423,0.455641,0
何歌(1948),何歌,,author,author,"#B4B4B4",0,1,339,0,29,18705,0.339214,3,0.462096,0.51587,0
波光(1948),波光,,author,author,"#B4B4B4",0,1,296,0,29,21141,0.297868,3,0.494329,0.533907,0
丁蕾(1948),丁蕾,,author,author,"#B4B4B4",0,1,296,0,25,18325,0.297868,3,0.494329,0.533907,0
郭华烈(1948),郭华烈,,author,author,"#B4B4B4",0,1,339,0,25,16225,0.339214,3,0.462096,0.51587,0
萧客(1948),萧客,,author,author,"#B4B4B4",0,1,95,0,24,9552,0.012268,3,0.406687,0.435628,0
张君劢(1948),张君劢,,author,author,"#B4B4B4",0,1,95,0,22,8800,0.012268,3,0.406687,0.435628,0
讷菴(1948),讷菴,,author,author,"#B4B4B4",0,1,95,0,22,8800,0.012268,3,0.406687,0.435628,0
文魁(1948),文魁,,author,author,"#B4B4B4",0,2,577,0,27,18181,0.524262,3,0.546614,0.601976,6849.148359
杜衡(1948),杜衡,,author,author,"#B4B4B4",0,1,95,0,20,8040,0.012268,3,0.406687,0.435628,0
思立(1948),思立,,author,author,"#B4B4B4",0,1,339,0,19,12445,0.339214,3,0.462096,0.51587,0
