Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
梁公任,梁公任,,author,0,44,1084,0,64,4036,0.723141,4,0.577605,0.642097,18151.208689
杨明,杨明,,author,0,6,348,0,21,1678,0.258021,4,0.508628,0.537,2549.464811
严景曜,严景曜,,author,0,7,358,0,12,2221,0.291234,4,0.509116,0.538234,389.680059
昭抡,昭抡,,author,0,49,884,0,68,3570,0.516236,4,0.559253,0.614701,22118.216459
柳宗元,柳宗元,,author,0,4,53,0,9,112,0.037903,4,0.46396,0.479111,36.552403
秦柳方,秦柳方,,author,0,38,882,0,48,4306,0.559855,4,0.557993,0.613849,15848.943823
齐纬,齐纬,,author,0,21,589,0,29,2423,0.428004,4,0.53042,0.57207,9827.78314
光军,光军,,author,0,2,16,0,5,30,0.010079,5,0.428967,0.446787,3.31201
光年,光年,,author,0,12,245,0,18,646,0.16123,4,0.498256,0.521002,912.382885
曹刚,曹刚,,author,0,4,541,0,8,1064,0.445754,4,0.527033,0.56572,1327.649964
罗西,罗西,,author,0,8,136,0,15,481,0.08594,4,0.48454,0.501773,1486.283584
罗隆基,罗隆基,,author,0,22,903,0,26,4301,0.681175,4,0.558832,0.616204,5567.581324
陶行知,陶行知,,author,0,45,902,0,60,3755,0.508654,4,0.561027,0.617259,27576.795414
俞颂华,俞颂华,,author,0,73,1446,0,90,6722,0.80926,4,0.615002,0.692133,63904.000082
冬予里,冬予里,,author,0,3,276,0,9,2721,0.235593,4,0.497789,0.523447,20.762675
努生,努生,,author,0,54,1043,0,65,3362,0.621989,4,0.573857,0.636555,25415.696103
孙宝毅,孙宝毅,,author,0,66,1399,0,79,7748,0.838899,4,0.607657,0.684684,37908.610336
平心,平心,,author,0,37,978,0,50,3214,0.636921,4,0.568237,0.62785,10733.688827
愚公,愚公,,author,0,3,29,0,3,32,0.011273,5,0.422526,0.44212,18.613315
