Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
梁公任(1945),杨明(1945),Undirected,232260,author-author,,2,,,,author<--->author
梁公任(1945),严景曜(1945),Undirected,232261,author-author,,5,,,,author<--->author
梁公任(1945),昭抡(1945),Undirected,232262,author-author,,63,,,,author<--->author
梁公任(1945),秦柳方(1945),Undirected,232263,author-author,,3,,,,author<--->author
梁公任(1945),齐纬(1945),Undirected,232264,author-author,,1,,,,author<--->author
梁公任(1945),光年(1945),Undirected,232265,author-author,,1,,,,author<--->author
梁公任(1945),曹刚(1945),Undirected,232266,author-author,,1,,,,author<--->author
梁公任(1945),罗隆基(1945),Undirected,232267,author-author,,9,,,,author<--->author
梁公任(1945),陶行知(1945),Undirected,232268,author-author,,4,,,,author<--->author
梁公任(1945),俞颂华(1945),Undirected,232269,author-author,,19,,,,author<--->author
梁公任(1945),努生(1945),Undirected,232270,author-author,,9,,,,author<--->author
梁公任(1945),孙宝毅(1945),Undirected,232271,author-author,,7,,,,author<--->author
梁公任(1945),平心(1945),Undirected,232272,author-author,,2,,,,author<--->author
梁公任(1945),景宋(1945),Undirected,232273,author-author,,6,,,,author<--->author
梁公任(1945),柳亚子(1945),Undirected,232274,author-author,,2,,,,author<--->author
梁公任(1945),石啸冲(1945),Undirected,232275,author-author,,21,,,,author<--->author
梁公任(1945),祝世康(1945),Undirected,232276,author-author,,6,,,,author<--->author
梁公任(1945),胡毅(1945),Undirected,232277,author-author,,3,,,,author<--->author
梁公任(1945),董秋斯(1945),Undirected,232278,author-author,,1,,,,author<--->author
梁公任(1945),问梁(1945),Undirected,232279,author-author,,1,,,,author<--->author
梁公任(1945),陈曦(1945),Undirected,232280,author-author,,2,,,,author<--->author
梁公任(1945),马寅初(1945),Undirected,232281,author-author,,5,,,,author<--->author
梁公任(1945),黄巨兴(1945),Undirected,232282,author-author,,2,,,,author<--->author
梁公任(1945),黄炎培(1945),Undirected,232283,author-author,,12,,,,author<--->author
梁公任(1945),严景耀(1945),Undirected,232284,author-author,,3,,,,author<--->author
梁公任(1945),丰子恺(1945),Undirected,232285,author-author,,1,,,,author<--->author
梁公任(1945),光未然(1945),Undirected,232286,author-author,,5,,,,author<--->author
梁公任(1945),农慕之(1945),Undirected,232287,author-author,,3,,,,author<--->author
梁公任(1945),冯玉祥(1945),Undirected,232288,author-author,,2,,,,author<--->author
梁公任(1945),周建人(1945),Undirected,232289,author-author,,7,,,,author<--->author
梁公任(1945),周谷城(1945),Undirected,232290,author-author,,2,,,,author<--->author
梁公任(1945),孟南(1945),Undirected,232291,author-author,,1,,,,author<--->author
梁公任(1945),宾符(1945),Undirected,232292,author-author,,2,,,,author<--->author
梁公任(1945),尊闻(1945),Undirected,232293,author-author,,1,,,,author<--->author
梁公任(1945),小鱼(1945),Undirected,232294,author-author,,6,,,,author<--->author
梁公任(1945),左拉(1945),Undirected,232295,author-author,,4,,,,author<--->author
梁公任(1945),引流(1945),Undirected,232296,author-author,,22,,,,author<--->author
梁公任(1945),张一凡(1945),Undirected,232297,author-author,,3,,,,author<--->author
梁公任(1945),张君劢(1945),Undirected,232298,author-author,,3,,,,author<--->author
梁公任(1945),张申府(1945),Undirected,232299,author-author,,1,,,,author<--->author
梁公任(1945),张礼千(1945),Undirected,232300,author-author,,5,,,,author<--->author
梁公任(1945),思慕(1945),Undirected,232301,author-author,,10,,,,author<--->author
梁公任(1945),慕英(1945),Undirected,232302,author-author,,2,,,,author<--->author
梁公任(1945),戚陈德珍(1945),Undirected,232303,author-author,,3,,,,author<--->author
梁公任(1945),施艾(1945),Undirected,232304,author-author,,7,,,,author<--->author
梁公任(1945),施贻(1945),Undirected,232305,author-author,,1,,,,author<--->author
梁公任(1945),曾守约(1945),Undirected,232306,author-author,,3,,,,author<--->author
梁公任(1945),李战林(1945),Undirected,232307,author-author,,4,,,,author<--->author
梁公任(1945),柳诒(1945),Undirected,232308,author-author,,2,,,,author<--->author
梁公任(1945),沈志远(1945),Undirected,232309,author-author,,5,,,,author<--->author
梁公任(1945),潘大逵(1945),Undirected,232310,author-author,,1,,,,author<--->author
梁公任(1945),澹庐(1945),Undirected,232311,author-author,,2,,,,author<--->author
梁公任(1945),灕流(1945),Undirected,232312,author-author,,2,,,,author<--->author
梁公任(1945),王立果(1945),Undirected,232313,author-author,,1,,,,author<--->author
梁公任(1945),箫明(1945),Undirected,232314,author-author,,3,,,,author<--->author
梁公任(1945),罗守信(1945),Undirected,232315,author-author,,1,,,,author<--->author
梁公任(1945),胡曲园(1945),Undirected,232316,author-author,,1,,,,author<--->author
梁公任(1945),胡钊(1945),Undirected,232317,author-author,,2,,,,author<--->author
梁公任(1945),艾秋飙(1945),Undirected,232318,author-author,,1,,,,author<--->author
梁公任(1945),苏尔齐伯格(1945),Undirected,232319,author-author,,1,,,,author<--->author
梁公任(1945),范华农(1945),Undirected,232320,author-author,,2,,,,author<--->author
梁公任(1945),费孝通(1945),Undirected,232321,author-author,,3,,,,author<--->author
梁公任(1945),费稳(1945),Undirected,232322,author-author,,1,,,,author<--->author
梁公任(1945),邓初民(1945),Undirected,232323,author-author,,7,,,,author<--->author
梁公任(1945),郑初民(1945),Undirected,232324,author-author,,2,,,,author<--->author
梁公任(1945),郑振铎(1945),Undirected,232325,author-author,,8,,,,author<--->author
梁公任(1945),陈康成(1945),Undirected,232326,author-author,,2,,,,author<--->author
梁公任(1945),陈正飞(1945),Undirected,232327,author-author,,5,,,,author<--->author
梁公任(1945),陈鼎龢(1945),Undirected,232328,author-author,,2,,,,author<--->author
梁公任(1945),陶大镛(1945),Undirected,232329,author-author,,7,,,,author<--->author
梁公任(1945),马丁(1945),Undirected,232330,author-author,,2,,,,author<--->author
梁公任(1945),马星野(1945),Undirected,232331,author-author,,2,,,,author<--->author
梁公任(1945),高扬(1945),Undirected,232332,author-author,,3,,,,author<--->author
梁公任(1945),一民(1945),Undirected,232333,author-author,,2,,,,author<--->author
梁公任(1945),丁聪(1945),Undirected,232334,author-author,,1,,,,author<--->author
梁公任(1945),严信民(1945),Undirected,232335,author-author,,2,,,,author<--->author
梁公任(1945),严延(1945),Undirected,232336,author-author,,3,,,,author<--->author
梁公任(1945),丹尼尔(1945),Undirected,232337,author-author,,1,,,,author<--->author
梁公任(1945),于蒪(1945),Undirected,232338,author-author,,4,,,,author<--->author
梁公任(1945),伊利奥特(1945),Undirected,232339,author-author,,1,,,,author<--->author
梁公任(1945),伯韩(1945),Undirected,232340,author-author,,1,,,,author<--->author
梁公任(1945),何达(1945),Undirected,232341,author-author,,1,,,,author<--->author
梁公任(1945),侯外卢(1945),Undirected,232342,author-author,,2,,,,author<--->author
梁公任(1945),侯外庐(1945),Undirected,232343,author-author,,3,,,,author<--->author
梁公任(1945),俊生(1945),Undirected,232344,author-author,,1,,,,author<--->author
梁公任(1945),傅彬然(1945),Undirected,232345,author-author,,2,,,,author<--->author
梁公任(1945),公健(1945),Undirected,232346,author-author,,3,,,,author<--->author
梁公任(1945),凤子(1945),Undirected,232347,author-author,,2,,,,author<--->author
梁公任(1945),刘尊棋(1945),Undirected,232348,author-author,,1,,,,author<--->author
梁公任(1945),刘清扬(1945),Undirected,232349,author-author,,1,,,,author<--->author
梁公任(1945),刘瑞林(1945),Undirected,232350,author-author,,2,,,,author<--->author
梁公任(1945),刘逸(1945),Undirected,232351,author-author,,2,,,,author<--->author
梁公任(1945),刘铁华(1945),Undirected,232352,author-author,,2,,,,author<--->author
梁公任(1945),北人(1945),Undirected,232353,author-author,,3,,,,author<--->author
梁公任(1945),反对内战(1945),Undirected,232354,author-author,,3,,,,author<--->author
梁公任(1945),叔伟(1945),Undirected,232355,author-author,,1,,,,author<--->author
梁公任(1945),史笃(1945),Undirected,232356,author-author,,1,,,,author<--->author
梁公任(1945),吉人(1945),Undirected,232357,author-author,,1,,,,author<--->author
梁公任(1945),君山(1945),Undirected,232358,author-author,,3,,,,author<--->author
梁公任(1945),吴斐丹(1945),Undirected,232359,author-author,,1,,,,author<--->author
梁公任(1945),吴晓(1945),Undirected,232360,author-author,,8,,,,author<--->author
梁公任(1945),吴清友(1945),Undirected,232361,author-author,,6,,,,author<--->author
梁公任(1945),吴藻溪(1945),Undirected,232362,author-author,,1,,,,author<--->author
梁公任(1945),周伯棣(1945),Undirected,232363,author-author,,1,,,,author<--->author
梁公任(1945),周先庚(1945),Undirected,232364,author-author,,1,,,,author<--->author
梁公任(1945),周新民(1945),Undirected,232365,author-author,,2,,,,author<--->author
梁公任(1945),周波(1945),Undirected,232366,author-author,,7,,,,author<--->author
梁公任(1945),唐庆增(1945),Undirected,232367,author-author,,1,,,,author<--->author
梁公任(1945),唐弢(1945),Undirected,232368,author-author,,2,,,,author<--->author
梁公任(1945),唐言(1945),Undirected,232369,author-author,,1,,,,author<--->author
梁公任(1945),夏炎德(1945),Undirected,232370,author-author,,1,,,,author<--->author
梁公任(1945),大愿(1945),Undirected,232371,author-author,,2,,,,author<--->author
梁公任(1945),天凡(1945),Undirected,232372,author-author,,2,,,,author<--->author
梁公任(1945),姜庆湘(1945),Undirected,232373,author-author,,7,,,,author<--->author
梁公任(1945),子冈(1945),Undirected,232374,author-author,,1,,,,author<--->author
梁公任(1945),子敬(1945),Undirected,232375,author-author,,3,,,,author<--->author
梁公任(1945),孙亚夫(1945),Undirected,232376,author-author,,5,,,,author<--->author
梁公任(1945),孟心坚(1945),Undirected,232377,author-author,,3,,,,author<--->author
梁公任(1945),安逸(1945),Undirected,232378,author-author,,2,,,,author<--->author
梁公任(1945),宣谛之(1945),Undirected,232379,author-author,,2,,,,author<--->author
梁公任(1945),宦乡(1945),Undirected,232380,author-author,,1,,,,author<--->author
梁公任(1945),尔咸(1945),Undirected,232381,author-author,,1,,,,author<--->author
梁公任(1945),尚丁(1945),Undirected,232382,author-author,,4,,,,author<--->author
梁公任(1945),尚钺(1945),Undirected,232383,author-author,,2,,,,author<--->author
梁公任(1945),尚铖(1945),Undirected,232384,author-author,,2,,,,author<--->author
梁公任(1945),师陀(1945),Undirected,232385,author-author,,2,,,,author<--->author
梁公任(1945),张凤举(1945),Undirected,232386,author-author,,1,,,,author<--->author
梁公任(1945),张志让(1945),Undirected,232387,author-author,,2,,,,author<--->author
梁公任(1945),张志龢(1945),Undirected,232388,author-author,,1,,,,author<--->author
梁公任(1945),张珏(1945),Undirected,232389,author-author,,2,,,,author<--->author
梁公任(1945),张若达(1945),Undirected,232390,author-author,,3,,,,author<--->author
梁公任(1945),张西曼(1945),Undirected,232391,author-author,,4,,,,author<--->author
梁公任(1945),张雪澄(1945),Undirected,232392,author-author,,1,,,,author<--->author
梁公任(1945),徐撤(1945),Undirected,232393,author-author,,2,,,,author<--->author
梁公任(1945),徐铸成(1945),Undirected,232394,author-author,,1,,,,author<--->author
梁公任(1945),房龙(1945),Undirected,232395,author-author,,1,,,,author<--->author
梁公任(1945),拉铁摩尔(1945),Undirected,232396,author-author,,1,,,,author<--->author
梁公任(1945),敏之(1945),Undirected,232397,author-author,,1,,,,author<--->author
梁公任(1945),文宜(1945),Undirected,232398,author-author,,1,,,,author<--->author
梁公任(1945),方与严(1945),Undirected,232399,author-author,,1,,,,author<--->author
梁公任(1945),施佑铭(1945),Undirected,232400,author-author,,2,,,,author<--->author
梁公任(1945),施复亮(1945),Undirected,232401,author-author,,1,,,,author<--->author
梁公任(1945),明养(1945),Undirected,232402,author-author,,1,,,,author<--->author
梁公任(1945),曹樸(1945),Undirected,232403,author-author,,1,,,,author<--->author
梁公任(1945),曾昭抡(1945),Undirected,232404,author-author,,3,,,,author<--->author
梁公任(1945),朱彬元(1945),Undirected,232405,author-author,,1,,,,author<--->author
梁公任(1945),李善卷(1945),Undirected,232406,author-author,,4,,,,author<--->author
梁公任(1945),李自强(1945),Undirected,232407,author-author,,2,,,,author<--->author
梁公任(1945),杨刚(1945),Undirected,232408,author-author,,1,,,,author<--->author
梁公任(1945),杨穗(1945),Undirected,232409,author-author,,1,,,,author<--->author
梁公任(1945),杨蔚(1945),Undirected,232410,author-author,,1,,,,author<--->author
梁公任(1945),林焕平(1945),Undirected,232411,author-author,,2,,,,author<--->author
梁公任(1945),林谷(1945),Undirected,232412,author-author,,1,,,,author<--->author
梁公任(1945),柏寒(1945),Undirected,232413,author-author,,1,,,,author<--->author
梁公任(1945),楚图南(1945),Undirected,232414,author-author,,3,,,,author<--->author
梁公任(1945),欧罗(1945),Undirected,232415,author-author,,1,,,,author<--->author
梁公任(1945),正非(1945),Undirected,232416,author-author,,7,,,,author<--->author
梁公任(1945),毅生(1945),Undirected,232417,author-author,,1,,,,author<--->author
梁公任(1945),求思(1945),Undirected,232418,author-author,,1,,,,author<--->author
梁公任(1945),江同(1945),Undirected,232419,author-author,,1,,,,author<--->author
梁公任(1945),汤心仪(1945),Undirected,232420,author-author,,1,,,,author<--->author
梁公任(1945),沙溪(1945),Undirected,232421,author-author,,15,,,,author<--->author
梁公任(1945),洛明(1945),Undirected,232422,author-author,,1,,,,author<--->author
梁公任(1945),渠之(1945),Undirected,232423,author-author,,2,,,,author<--->author
梁公任(1945),湘渔(1945),Undirected,232424,author-author,,1,,,,author<--->author
梁公任(1945),潘光旦(1945),Undirected,232425,author-author,,3,,,,author<--->author
梁公任(1945),潘焕昆(1945),Undirected,232426,author-author,,1,,,,author<--->author
梁公任(1945),潮声(1945),Undirected,232427,author-author,,1,,,,author<--->author
梁公任(1945),焦敏之(1945),Undirected,232428,author-author,,2,,,,author<--->author
梁公任(1945),独郑步(1945),Undirected,232429,author-author,,1,,,,author<--->author
梁公任(1945),王__(1945),Undirected,232430,author-author,,4,,,,author<--->author
梁公任(1945),王善淳(1945),Undirected,232431,author-author,,1,,,,author<--->author
梁公任(1945),王沿津(1945),Undirected,232432,author-author,,3,,,,author<--->author
梁公任(1945),王铁猴(1945),Undirected,232433,author-author,,2,,,,author<--->author
梁公任(1945),珂田(1945),Undirected,232434,author-author,,2,,,,author<--->author
梁公任(1945),知廉(1945),Undirected,232435,author-author,,1,,,,author<--->author
梁公任(1945),石城(1945),Undirected,232436,author-author,,1,,,,author<--->author
梁公任(1945),石如(1945),Undirected,232437,author-author,,1,,,,author<--->author
梁公任(1945),秋原(1945),Undirected,232438,author-author,,2,,,,author<--->author
梁公任(1945),秋斯(1945),Undirected,232439,author-author,,2,,,,author<--->author
梁公任(1945),穆涛(1945),Undirected,232440,author-author,,1,,,,author<--->author
梁公任(1945),章伯钧(1945),Undirected,232441,author-author,,7,,,,author<--->author
梁公任(1945),罗斯福(1945),Undirected,232442,author-author,,1,,,,author<--->author
梁公任(1945),耀羣(1945),Undirected,232443,author-author,,2,,,,author<--->author
梁公任(1945),肯明斯(1945),Undirected,232444,author-author,,2,,,,author<--->author
梁公任(1945),若愚(1945),Undirected,232445,author-author,,2,,,,author<--->author
梁公任(1945),范樸斋(1945),Undirected,232446,author-author,,1,,,,author<--->author
梁公任(1945),蒲岗(1945),Undirected,232447,author-author,,2,,,,author<--->author
梁公任(1945),蔡楚生(1945),Undirected,232448,author-author,,2,,,,author<--->author
梁公任(1945),虞德林(1945),Undirected,232449,author-author,,2,,,,author<--->author
梁公任(1945),袁西华(1945),Undirected,232450,author-author,,3,,,,author<--->author
梁公任(1945),许杰(1945),Undirected,232451,author-author,,1,,,,author<--->author
梁公任(1945),诸慧(1945),Undirected,232452,author-author,,2,,,,author<--->author
梁公任(1945),贺湄(1945),Undirected,232453,author-author,,1,,,,author<--->author
梁公任(1945),辛海(1945),Undirected,232454,author-author,,1,,,,author<--->author
梁公任(1945),迈之(1945),Undirected,232455,author-author,,1,,,,author<--->author
梁公任(1945),邵翰齐(1945),Undirected,232456,author-author,,3,,,,author<--->author
梁公任(1945),郭绍虞(1945),Undirected,232457,author-author,,1,,,,author<--->author
梁公任(1945),金向凡(1945),Undirected,232458,author-author,,2,,,,author<--->author
梁公任(1945),金枫(1945),Undirected,232459,author-author,,1,,,,author<--->author
梁公任(1945),钱端升(1945),Undirected,232460,author-author,,2,,,,author<--->author
梁公任(1945),陆钦墀(1945),Undirected,232461,author-author,,1,,,,author<--->author
梁公任(1945),陈志忠(1945),Undirected,232462,author-author,,1,,,,author<--->author
梁公任(1945),雷铭(1945),Undirected,232463,author-author,,1,,,,author<--->author
梁公任(1945),静远(1945),Undirected,232464,author-author,,1,,,,author<--->author
梁公任(1945),顿风(1945),Undirected,232465,author-author,,1,,,,author<--->author
梁公任(1945),马叙伦(1945),Undirected,232466,author-author,,4,,,,author<--->author
梁公任(1945),马歇尔(1945),Undirected,232467,author-author,,1,,,,author<--->author
梁公任(1945),骆闻(1945),Undirected,232468,author-author,,1,,,,author<--->author
梁公任(1945),魏矢(1945),Undirected,232469,author-author,,1,,,,author<--->author
梁公任(1945),鲁小詹(1945),Undirected,232470,author-author,,1,,,,author<--->author
梁公任(1945),鲁逵(1945),Undirected,232471,author-author,,1,,,,author<--->author
梁公任(1945),鲍乐蒂(1945),Undirected,232472,author-author,,1,,,,author<--->author
梁公任(1945),黄吉兴(1945),Undirected,232473,author-author,,1,,,,author<--->author
梁公任(1945),黄杉(1945),Undirected,232474,author-author,,1,,,,author<--->author
梁公任(1945),黄海(1945),Undirected,232475,author-author,,3,,,,author<--->author
梁公任(1945),黄药眠(1945),Undirected,232476,author-author,,2,,,,author<--->author
梁公任(1945),（美）安德鲁鲍思(1945),Undirected,232477,author-author,,1,,,,author<--->author
杨明(1945),严景曜(1945),Undirected,232478,author-author,,5,,,,author<--->author
杨明(1945),昭抡(1945),Undirected,232479,author-author,,2,,,,author<--->author
杨明(1945),罗隆基(1945),Undirected,232480,author-author,,2,,,,author<--->author
杨明(1945),努生(1945),Undirected,232481,author-author,,1,,,,author<--->author
杨明(1945),孙宝毅(1945),Undirected,232482,author-author,,1,,,,author<--->author
杨明(1945),平心(1945),Undirected,232483,author-author,,1,,,,author<--->author
杨明(1945),石啸冲(1945),Undirected,232484,author-author,,1,,,,author<--->author
杨明(1945),祝世康(1945),Undirected,232485,author-author,,1,,,,author<--->author
杨明(1945),胡毅(1945),Undirected,232486,author-author,,21,,,,author<--->author
杨明(1945),黄巨兴(1945),Undirected,232487,author-author,,14,,,,author<--->author
杨明(1945),黄炎培(1945),Undirected,232488,author-author,,13,,,,author<--->author
