Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
潮声(1947),潮声,,author,0,82,137,549,0.214619,4,0.501422,0.538223,6346.975413
王亚南(1947),王亚南,,author,0,48,347,6464,0.66926,4,0.562187,0.630875,11617.346416
M.H.(1947),M.H.,,author,0,612,825,13176,1,4,0.739365,0.830835,163984.591313
黄炎培(1947),黄炎培,,author,0,117,373,1362,0.568067,4,0.574755,0.644246,22855.620001
金大均(1947),金大均,,author,0,30,126,890,0.168897,5,0.491047,0.528525,1631.40504
余园(1947),余园,,author,0,33,263,1076,0.509581,4,0.538394,0.595354,6645.222914
卫玉(1947),卫玉,,author,0,34,137,491,0.238831,4,0.502443,0.538898,3216.789263
张君劢(1947),张君劢,,author,0,99,384,2167,0.676104,4,0.572888,0.646272,15628.6207
方成(1947),方成,,author,0,47,204,841,0.332489,4,0.51936,0.568004,11115.033085
王艮仲(1947),王艮仲,,author,0,119,373,2353,0.564024,4,0.572622,0.643233,21322.113513
费孝通(1947),费孝通,,author,0,72,375,2756,0.723161,4,0.571296,0.643098,15676.700263
王厚生(1947),王厚生,,author,0,31,202,1168,0.392958,5,0.516102,0.565667,3303.595703
朱哈娜(1947),朱哈娜,,author,0,6,64,936,0.09659,5,0.452678,0.483482,325.261127
悲华(1947),悲华,,author,0,2,3,21,0.004431,5,0.348686,0.362912,0
扬庶威(1947),扬庶威,,author,0,32,197,594,0.305231,4,0.519798,0.566316,6261.005901
申铭(1947),申铭,,author,0,29,105,194,0.174132,5,0.493403,0.524271,4183.173237
补斋(1947),补斋,,author,0,22,14,67,0.009135,5,0.364765,0.384468,4975.992622
曾昭抡(1947),曾昭抡,,author,0,2,108,1062,0.248555,5,0.482786,0.51826,259.064361
浦熙修(1947),浦熙修,,author,0,16,137,624,0.230256,4,0.501219,0.538155,2017.533376
王民(1947),王民,,author,0,74,450,2122,0.814508,4,0.59384,0.674433,21737.917002
程梯云(1947),程梯云,,author,0,40,97,212,0.14585,4,0.484492,0.516275,1182.136764
顾秉之(1947),顾秉之,,author,0,23,100,421,0.134985,5,0.483164,0.516234,1022.181867
黄撼石(1947),黄撼石,,author,0,19,357,2020,0.759282,4,0.567096,0.636075,4852.59164
史超礼(1947),史超礼,,author,0,9,97,719,0.225884,5,0.47848,0.51225,415.079165
吴荷景(1947),吴荷景,,author,0,50,166,336,0.29717,4,0.512671,0.55335,2275.493264
