Source,Target,Type,Id,Label,Weight,year,place
黄炎培,《国讯》,Directed,39657,,84,1948,上海
努生,《民主周刊(昆明)》,Directed,39659,,21,1945,昆明
郑振铎,《周报(上海1945)》,Directed,39660,,33,1946,上海
阿尔古斯,《时代杂志》,Directed,39661,,27,1946,上海
俞颂华,《国讯》,Directed,39663,,23,1946,上海
陶行知,《民主(重庆)》,Directed,39666,,18,1946,重庆
景宋,《民主(上海)》,Directed,39668,,43,1946,上海
尊闻,《民主(上海)》,Directed,39671,,12,1946,上海
秦柳方,《国讯》,Directed,39672,,11,1946,上海
米谷,《时代杂志》,Directed,39673,,9,1945,上海
郑振铎,《民主(上海)》,Directed,39674,,47,1946,上海
郭沫若,《时代杂志》,Directed,39675,,26,1948,上海
周建人,《民主(上海)》,Directed,39678,,29,1946,上海
平心,《周报(上海1945)》,Directed,39679,,10,1946,上海
王新命,《中央周刊》,Directed,39681,,16,1947,南京
董秋斯,《民主(上海)》,Directed,39682,,22,1946,上海
建人,《中央周刊》,Directed,39684,,7,1945,重庆
石啸冲,《再生》,Directed,39686,,7,1945,重庆
伊戈斯,《时代杂志》,Directed,39687,,10,1947,上海
孟南,《民主周刊(昆明)》,Directed,39688,,7,1946,昆明
杨明,《民主(上海)》,Directed,39689,,6,1945,上海
罗隆基,《民主周刊(昆明)》,Directed,39690,,7,1946,昆明
胡春冰,《中央周刊》,Directed,39691,,7,1947,南京
费孝通,《民主周刊(昆明)》,Directed,39693,,12,1946,昆明
邓初民,《文萃》,Directed,39694,,15,1947,上海
马叙伦,《周报(上海1945)》,Directed,39696,,29,1946,上海
马叙伦,《民主(上海)》,Directed,39697,,44,1946,上海
吴晗,《民主周刊(昆明)》,Directed,39701,,8,1946,昆明
周建人,《周报(上海1945)》,Directed,39702,,6,1946,上海
小鱼,《国讯》,Directed,39703,,11,1947,上海
思慕,《民主周刊(昆明)》,Directed,39704,,5,1945,昆明
景宋,《周报(上海1945)》,Directed,39705,,6,1946,上海
杨卫玉,《国讯》,Directed,39707,,7,1948,上海
翦伯赞,《中华论坛》,Directed,39710,,6,1946,重庆
胡曲园,《周报(上海1945)》,Directed,39711,,7,1946,上海
光未然,《民主周刊(昆明)》,Directed,39722,,4,1945,昆明
克士,《民主(上海)》,Directed,39723,,8,1946,上海
君山,《民主周刊(昆明)》,Directed,39724,,4,1945,昆明
张一凡,《民主(上海)》,Directed,39725,,4,1945,上海
王立果,《民主周刊(昆明)》,Directed,39731,,5,1946,昆明
百辞,《民主(重庆)》,Directed,39732,,4,1945,重庆
章伯钧,《中华论坛》,Directed,39733,,8,1946,重庆
索非,《周报(上海1945)》,Directed,39736,,4,1945,上海
