Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
《周报(上海1945)》,《周报(上海1945)》,journal,journal,141,0,141,430,0,430,0.641465,4,0.382782,0.457751,39894.263766,"#00EB00"
黄炎培,黄炎培,author,author,0,8,8,0,97,97,0.180083,4,0.387685,0.430432,3198.086909,"#B4B4B4"
《国讯》,《国讯》,journal,journal,121,0,121,515,0,515,0.518959,4,0.375477,0.440809,33004.914395,"#00EB00"
《中央周刊》,《中央周刊》,journal(n),journal,64,0,64,300,0,300,0.147927,4,0.355465,0.391889,11316.380539,"#0000FF"
努生,努生,author,author,0,2,2,0,22,22,0.027926,5,0.274025,0.293668,33.145037,"#B4B4B4"
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,journal,70,0,70,202,0,202,0.267048,4,0.357727,0.397289,14885.710171,"#00EB00"
郑振铎,郑振铎,author,author,0,3,3,0,81,81,0.066081,5,0.29542,0.327234,103.670623,"#B4B4B4"
阿尔古斯,阿尔古斯,author,author,0,2,2,0,28,28,0.067089,4,0.306226,0.341487,69.169694,"#B4B4B4"
《时代杂志》,《时代杂志》,journal(c),journal,102,0,102,398,0,398,0.40584,4,0.368791,0.424714,22584.309267,"#FF0000"
俞颂华,俞颂华,author,author,0,4,4,0,26,26,0.085458,4,0.319659,0.359699,409.8483,"#B4B4B4"
陶行知,陶行知,author,author,0,4,4,0,26,26,0.11301,4,0.325207,0.36637,289.516686,"#B4B4B4"
《民主(重庆)》,《民主(重庆)》,journal,journal,67,0,67,129,0,129,0.288854,4,0.356754,0.394748,12404.172377,"#00EB00"
景宋,景宋,author,author,0,8,8,0,61,61,0.214031,4,0.406508,0.445362,3255.963533,"#B4B4B4"
《民主(上海)》,《民主(上海)》,journal,journal,97,0,97,475,0,475,0.444363,4,0.366729,0.420161,19158.161398,"#00EB00"
尊闻,尊闻,author,author,0,2,2,0,13,13,0.051818,5,0.285974,0.312728,21.090345,"#B4B4B4"
秦柳方,秦柳方,author,author,0,3,3,0,14,14,0.101313,4,0.336612,0.378865,359.802508,"#B4B4B4"
米谷,米谷,author,author,0,8,8,0,115,115,0.200691,4,0.402352,0.442186,3136.679944,"#B4B4B4"
郭沫若,郭沫若,author,author,0,11,11,0,75,75,0.263729,4,0.444131,0.472999,5366.743633,"#B4B4B4"
周建人,周建人,author,author,0,7,7,0,44,44,0.177384,4,0.374762,0.418784,2336.597191,"#B4B4B4"
平心,平心,author,author,0,3,3,0,14,14,0.071979,4,0.300611,0.334392,117.036948,"#B4B4B4"
王新命,王新命,author,author,0,2,2,0,18,18,0.028751,4,0.276723,0.297967,39.311606,"#B4B4B4"
董秋斯,董秋斯,author,author,0,2,2,0,23,23,0.050409,4,0.293876,0.324333,85.29556,"#B4B4B4"
建人,建人,author,author,0,2,2,0,9,9,0.030369,5,0.279872,0.303198,86.242948,"#B4B4B4"
石啸冲,石啸冲,author,author,0,8,8,0,83,83,0.185694,4,0.384277,0.427573,2038.979699,"#B4B4B4"
《再生》,《再生》,journal,journal,52,0,52,282,0,282,0.190492,4,0.351968,0.382042,10240.35872,"#00EB00"
伊戈斯,伊戈斯,author,author,0,2,2,0,14,14,0.067089,4,0.306226,0.341487,69.169694,"#B4B4B4"
孟南,孟南,author,author,0,5,5,0,13,13,0.107573,4,0.33291,0.375794,648.637325,"#B4B4B4"
杨明,杨明,author,author,0,2,2,0,7,7,0.034937,5,0.280271,0.303833,52.224286,"#B4B4B4"
罗隆基,罗隆基,author,author,0,4,4,0,10,10,0.091124,4,0.316573,0.355887,271.024774,"#B4B4B4"
胡春冰,胡春冰,author,author,0,2,2,0,8,8,0.056023,4,0.306226,0.341487,224.448284,"#B4B4B4"
费孝通,费孝通,author,author,0,10,10,0,86,86,0.214684,4,0.423118,0.458492,4228.200522,"#B4B4B4"
邓初民,邓初民,author,author,0,12,12,0,57,57,0.235567,4,0.410752,0.450657,4071.233344,"#B4B4B4"
《文萃》,《文萃》,journal(c),journal,215,0,215,528,0,528,1,3,0.412907,0.520754,77591.576808,"#FF0000"
马叙伦,马叙伦,author,author,0,6,6,0,93,93,0.168924,4,0.378002,0.421114,1546.796471,"#B4B4B4"
吴晗,吴晗,author,author,0,12,12,0,43,43,0.255857,4,0.432418,0.465904,6029.500901,"#B4B4B4"
小鱼,小鱼,author,author,0,5,5,0,22,22,0.108049,4,0.332348,0.375159,595.653249,"#B4B4B4"
思慕,思慕,author,author,0,5,5,0,24,24,0.121291,4,0.346391,0.390407,849.921341,"#B4B4B4"
杨卫玉,杨卫玉,author,author,0,7,7,0,23,23,0.126466,4,0.338058,0.382571,1025.96884,"#B4B4B4"
翦伯赞,翦伯赞,author,author,0,5,5,0,11,11,0.123264,4,0.347002,0.391042,722.625764,"#B4B4B4"
