Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉,左拉,author,"#B4B4B4",0,1,1,0,36,36,0.014347,6,0.259963,0.272502,0
《周报(上海1945)》,《周报(上海1945)》,journal,"#00EB00",375,0,375,834,0,834,0.368169,5,0.351253,0.394582,0.158636
黄炎培,黄炎培,author,"#B4B4B4",0,7,7,0,95,95,0.069251,4,0.313283,0.351526,0.009892
《国讯》,《国讯》,journal,"#00EB00",410,0,410,1483,0,1483,0.410544,3,0.358711,0.40328,0.171959
努生,努生,author,"#B4B4B4",0,2,2,0,22,22,0.012407,6,0.258603,0.270078,0.000204
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,"#00EB00",204,0,204,393,0,393,0.158311,5,0.340014,0.365208,0.084937
郑振铎,郑振铎,author,"#B4B4B4",0,3,3,0,81,81,0.029257,6,0.271721,0.29352,0.000632
昭抡,昭抡,author,"#B4B4B4",0,1,1,0,19,19,0.007108,6,0.253755,0.261358,0
俞颂华,俞颂华,author,"#B4B4B4",0,4,4,0,26,26,0.046931,4,0.293598,0.324458,0.004187
丰子恺,丰子恺,author,"#B4B4B4",0,1,1,0,17,17,0.014347,6,0.259963,0.272502,0
陶行知,陶行知,author,"#B4B4B4",0,3,3,0,22,22,0.029257,6,0.271721,0.29352,0.000632
《民主(重庆)》,《民主(重庆)》,journal,"#00EB00",142,0,142,245,0,245,0.121767,5,0.325886,0.348343,0.052499
梁公任,梁公任,author,"#B4B4B4",0,1,1,0,13,13,0.015799,4,0.264026,0.276457,0
景宋,景宋,author,"#B4B4B4",0,6,6,0,55,55,0.080965,4,0.325564,0.366473,0.007095
《民主(上海)》,《民主(上海)》,journal,"#00EB00",262,0,262,722,0,722,0.231584,5,0.338037,0.371886,0.102495
蒲岗,蒲岗,author,"#B4B4B4",0,1,1,0,28,28,0.009611,6,0.252652,0.263087,0
尊闻,尊闻,author,"#B4B4B4",0,2,2,0,13,13,0.023958,6,0.267347,0.285888,0.000154
