Source,Target,Type,Id,Label,timeset,Weight,year,place
M.H.(1947),《国讯》,Directed,1867,,"<[1947.0, 1947.0]>",301,1947,上海
石啸冲(1947),《国讯》,Directed,1868,,"<[1947.0, 1947.0]>",55,1947,上海
黄炎培(1947),《国讯》,Directed,1869,,"<[1947.0, 1947.0]>",41,1947,上海
还俗(1947),《再生》,Directed,1870,,"<[1947.0, 1947.0]>",35,1947,上海
潮声(1947),《国讯》,Directed,1871,,"<[1947.0, 1947.0]>",33,1947,上海
张君劢(1947),《再生》,Directed,1872,,"<[1947.0, 1947.0]>",31,1947,上海
王民(1947),《国讯》,Directed,1873,,"<[1947.0, 1947.0]>",26,1947,上海
白旭(1947),《再生》,Directed,1874,,"<[1947.0, 1947.0]>",22,1947,上海
余园(1947),《再生》,Directed,1875,,"<[1947.0, 1947.0]>",20,1947,上海
王艮仲(1947),《中建》,Directed,1876,,"<[1947.0, 1947.0]>",20,1947,上海
江问渔(1947),《国讯》,Directed,1877,,"<[1947.0, 1947.0]>",19,1947,上海
费孝通(1947),《观察》,Directed,1878,,"<[1947.0, 1947.0]>",19,1947,上海
王厚生(1947),《再生》,Directed,1879,,"<[1947.0, 1947.0]>",17,1947,上海
金大均(1947),《中建》,Directed,1880,,"<[1947.0, 1947.0]>",17,1947,上海
卫玉(1947),《国讯》,Directed,1881,,"<[1947.0, 1947.0]>",16,1947,上海
吴世昌(1947),《观察》,Directed,1882,,"<[1947.0, 1947.0]>",15,1947,上海
文骊(1947),《国讯》,Directed,1883,,"<[1947.0, 1947.0]>",15,1947,上海
申铭(1947),《再生》,Directed,1884,,"<[1947.0, 1947.0]>",15,1947,上海
储安平(1947),《观察》,Directed,1885,,"<[1947.0, 1947.0]>",14,1947,上海
程梯云(1947),《中建》,Directed,1886,,"<[1947.0, 1947.0]>",14,1947,上海
抱一(1947),《国讯》,Directed,1887,,"<[1947.0, 1947.0]>",13,1947,上海
方成(1947),《观察》,Directed,1888,,"<[1947.0, 1947.0]>",13,1947,上海
黛英(1947),《时与文》,Directed,1889,,"<[1947.0, 1947.0]>",13,1947,上海
王亚南(1947),《时与文》,Directed,1890,,"<[1947.0, 1947.0]>",12,1947,上海
光祖(1947),《国讯》,Directed,1891,,"<[1947.0, 1947.0]>",11,1947,上海
吕克难(1947),《再生》,Directed,1892,,"<[1947.0, 1947.0]>",11,1947,上海
旧风(1947),《再生》,Directed,1893,,"<[1947.0, 1947.0]>",11,1947,上海
李慕白(1947),《观察》,Directed,1894,,"<[1947.0, 1947.0]>",11,1947,上海
毅生(1947),《再生》,Directed,1895,,"<[1947.0, 1947.0]>",11,1947,上海
紫云(1947),《再生》,Directed,1896,,"<[1947.0, 1947.0]>",11,1947,上海
黄撼石(1947),《再生》,Directed,1897,,"<[1947.0, 1947.0]>",11,1947,上海
周公南(1947),《中建》,Directed,1898,,"<[1947.0, 1947.0]>",10,1947,上海
方成(1947),《时与文》,Directed,1899,,"<[1947.0, 1947.0]>",10,1947,上海
方芳(1947),《国讯》,Directed,1900,,"<[1947.0, 1947.0]>",10,1947,上海
林焕平(1947),《国讯》,Directed,1901,,"<[1947.0, 1947.0]>",10,1947,上海
梁漱溟(1947),《观察》,Directed,1902,,"<[1947.0, 1947.0]>",10,1947,上海
程桯(1947),《时与文》,Directed,1903,,"<[1947.0, 1947.0]>",10,1947,上海
米谷(1947),《时与文》,Directed,1904,,"<[1947.0, 1947.0]>",10,1947,上海
丕谷(1947),《再生》,Directed,1905,,"<[1947.0, 1947.0]>",9,1947,上海
中南(1947),《再生》,Directed,1906,,"<[1947.0, 1947.0]>",9,1947,上海
容方(1947),《时与文》,Directed,1907,,"<[1947.0, 1947.0]>",9,1947,上海
张文元(1947),《时与文》,Directed,1908,,"<[1947.0, 1947.0]>",9,1947,上海
李桦(1947),《时与文》,Directed,1909,,"<[1947.0, 1947.0]>",9,1947,上海
毛以亨(1947),《再生》,Directed,1910,,"<[1947.0, 1947.0]>",9,1947,上海
穆企(1947),《时与文》,Directed,1911,,"<[1947.0, 1947.0]>",9,1947,上海
罗梦册(1947),《主流》,Directed,1912,,"<[1947.0, 1947.0]>",9,1947,南京
赵志华(1947),《中建》,Directed,1913,,"<[1947.0, 1947.0]>",9,1947,上海
张东荪(1947),《观察》,Directed,1914,,"<[1947.0, 1947.0]>",8,1947,上海
扬庶威(1947),《国讯》,Directed,1915,,"<[1947.0, 1947.0]>",8,1947,上海
