Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
左拉,左拉,author,author,0,1,1,0,36,36,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
《周报(上海1945)》,《周报(上海1945)》,journal,journal,375,0,375,834,0,834,0.255464,5,0.342779,0.366138,2196614.220909,"#00EB00"
黄炎培,黄炎培,author,author,0,8,8,0,97,97,0.051159,4,0.289852,0.319049,100966.517461,"#B4B4B4"
《国讯》,《国讯》,journal,journal,410,0,410,1483,0,1483,0.264955,5,0.346043,0.37049,2513453.715923,"#00EB00"
新命,新命,author,author,0,1,1,0,23,23,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
《中央周刊》,《中央周刊》,journal(n),journal,959,0,959,2311,0,2311,0.732677,5,0.359289,0.417049,6366478.502219,"#0000FF"
努生,努生,author,author,0,2,2,0,22,22,0.007406,6,0.254584,0.260782,1308.789894,"#B4B4B4"
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,journal,204,0,204,393,0,393,0.11336,5,0.337015,0.350497,1145529.15365,"#00EB00"
郑振铎,郑振铎,author,author,0,3,3,0,81,81,0.017143,6,0.261202,0.273279,4104.059014,"#B4B4B4"
阿尔古斯,阿尔古斯,author,author,0,2,2,0,28,28,0.039803,4,0.281105,0.305293,12623.3766,"#B4B4B4"
《时代杂志》,《时代杂志》,journal(c),journal,1124,0,1124,2805,0,2805,1,5,0.363944,0.431322,7283633.484497,"#FF0000"
昭抡,昭抡,author,author,0,1,1,0,19,19,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
俞颂华,俞颂华,author,author,0,4,4,0,26,26,0.026574,4,0.271552,0.289762,29322.201049,"#B4B4B4"
丰子恺,丰子恺,author,author,0,1,1,0,17,17,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
张文伯,张文伯,author,author,0,1,1,0,38,38,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
陶行知,陶行知,author,author,0,4,4,0,26,26,0.029526,4,0.271373,0.289458,9880.260255,"#B4B4B4"
《民主(重庆)》,《民主(重庆)》,journal,journal,142,0,142,245,0,245,0.091392,5,0.329556,0.34156,685155.258926,"#00EB00"
梁公任,梁公任,author,author,0,1,1,0,13,13,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
景宋,景宋,author,author,0,8,8,0,61,61,0.084444,4,0.322055,0.362171,221009.962053,"#B4B4B4"
《民主(上海)》,《民主(上海)》,journal,journal,262,0,262,722,0,722,0.171061,5,0.335976,0.354057,1435893.706774,"#00EB00"
蒲岗,蒲岗,author,author,0,1,1,0,28,28,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
守巧夫,守巧夫,author,author,0,1,1,0,9,9,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
尊闻,尊闻,author,author,0,2,2,0,13,13,0.013933,6,0.25903,0.269211,1068.922375,"#B4B4B4"
秦柳方,秦柳方,author,author,0,3,3,0,14,14,0.032496,4,0.27637,0.29773,15022.657119,"#B4B4B4"
米谷,米谷,author,author,0,8,8,0,115,115,0.097001,4,0.339826,0.382468,417114.669562,"#B4B4B4"
郭沫若,郭沫若,author,author,0,11,11,0,75,75,0.11353,4,0.357384,0.400708,628495.368283,"#B4B4B4"
钱穆,钱穆,author,author,0,1,1,0,16,16,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
史大林,史大林,author,author,0,1,1,0,15,15,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
周建人,周建人,author,author,0,7,7,0,44,44,0.045725,4,0.282692,0.308069,41101.544261,"#B4B4B4"
平心,平心,author,author,0,3,3,0,14,14,0.041353,4,0.282068,0.306867,22378.275705,"#B4B4B4"
施维卓夫,施维卓夫,author,author,0,1,1,0,17,17,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
王新命,王新命,author,author,0,2,2,0,18,18,0.025064,4,0.269813,0.286682,6997.545668,"#B4B4B4"
董秋斯,董秋斯,author,author,0,2,2,0,23,23,0.017091,4,0.264086,0.276635,5053.11066,"#B4B4B4"
右民,右民,author,author,0,1,1,0,7,7,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
建人,建人,author,author,0,2,2,0,9,9,0.027375,6,0.270976,0.290486,31772.221345,"#B4B4B4"
引流,引流,author,author,0,1,1,0,8,8,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
石啸冲,石啸冲,author,author,0,8,8,0,83,83,0.082146,4,0.322728,0.36298,305938.824803,"#B4B4B4"
《再生》,《再生》,journal,journal,321,0,321,1227,0,1227,0.164801,5,0.336923,0.358858,2081225.495542,"#00EB00"
伊戈斯,伊戈斯,author,author,0,2,2,0,14,14,0.039803,4,0.281105,0.305293,12623.3766,"#B4B4B4"
孟南,孟南,author,author,0,5,5,0,13,13,0.038854,4,0.280978,0.30526,45053.601625,"#B4B4B4"
杨明,杨明,author,author,0,2,2,0,7,7,0.009908,6,0.256734,0.264895,3082.882884,"#B4B4B4"
罗隆基,罗隆基,author,author,0,4,4,0,10,10,0.024677,4,0.268562,0.284637,11711.067355,"#B4B4B4"
胡春冰,胡春冰,author,author,0,2,2,0,8,8,0.034047,4,0.278424,0.301011,96922.701743,"#B4B4B4"
蒋炳贤,蒋炳贤,author,author,0,1,1,0,17,17,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
费孝通,费孝通,author,author,0,10,10,0,86,86,0.069055,4,0.307167,0.34347,222199.48335,"#B4B4B4"
邓初民,邓初民,author,author,0,12,12,0,57,57,0.077603,4,0.315264,0.354035,430172.566099,"#B4B4B4"
《文萃》,《文萃》,journal(c),journal,545,0,545,1008,0,1008,0.407833,3,0.350923,0.382895,3394462.865584,"#FF0000"
钱纳水,钱纳水,author,author,0,1,1,0,7,7,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
马叙伦,马叙伦,author,author,0,6,6,0,93,93,0.05835,4,0.298078,0.330838,111172.018654,"#B4B4B4"
Pen,Pen,author,author,0,1,1,0,5,5,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
加里宁,加里宁,author,author,0,1,1,0,5,5,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
叶青,叶青,author,author,0,1,1,0,7,7,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
吴晗,吴晗,author,author,0,12,12,0,43,43,0.07855,4,0.312764,0.350865,233942.334912,"#B4B4B4"
小鱼,小鱼,author,author,0,5,5,0,22,22,0.03182,4,0.274792,0.295246,30650.282149,"#B4B4B4"
思慕,思慕,author,author,0,5,5,0,24,24,0.040633,4,0.282003,0.306878,40482.476937,"#B4B4B4"
曹聚仁,曹聚仁,author,author,0,1,1,0,5,5,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
杨卫玉,杨卫玉,author,author,0,7,7,0,23,23,0.041988,4,0.283752,0.309721,254233.048834,"#B4B4B4"
柳宗元,柳宗元,author,author,0,1,1,0,5,5,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
珂田,珂田,author,author,0,1,1,0,7,7,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
翦伯赞,翦伯赞,author,author,0,5,5,0,11,11,0.037273,4,0.279432,0.302798,33585.537264,"#B4B4B4"
《中华论坛》,《中华论坛》,journal,journal,111,0,111,179,0,179,0.069518,5,0.301766,0.32067,575876.446821,"#00EB00"
胡曲园,胡曲园,author,author,0,2,2,0,8,8,0.01213,6,0.259121,0.26938,59311.584474,"#B4B4B4"
蒋君章,蒋君章,author,author,0,1,1,0,8,8,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
许师愼,许师愼,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
郑学稼,郑学稼,author,author,0,1,1,0,28,28,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
郭寿生,郭寿生,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
陶伯,陶伯,author,author,0,1,1,0,5,5,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
黄义本,黄义本,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
齐纬,齐纬,author,author,0,1,1,0,5,5,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
龚德柏,龚德柏,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
严延,严延,author,author,0,1,1,0,4,4,0.002538,6,0.23182,0.2396,0,"#B4B4B4"
伯侨,伯侨,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
光未然,光未然,author,author,0,2,2,0,6,6,0.005817,6,0.252968,0.257955,509.546677,"#B4B4B4"
克士,克士,author,author,0,2,2,0,10,10,0.013933,6,0.25903,0.269211,1068.922375,"#B4B4B4"
君山,君山,author,author,0,2,2,0,25,25,0.031617,4,0.274772,0.295044,32122.322089,"#B4B4B4"
张一凡,张一凡,author,author,0,4,4,0,14,14,0.04369,4,0.284623,0.310901,104084.248052,"#B4B4B4"
张礼千,张礼千,author,author,0,1,1,0,4,4,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
戈尔巴朵夫,戈尔巴朵夫,author,author,0,1,1,0,4,4,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
曾资生,曾资生,author,author,0,1,1,0,10,10,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
李翼民,李翼民,author,author,0,1,1,0,4,4,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
澹庐,澹庐,author,author,0,1,1,0,5,5,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
王立果,王立果,author,author,0,2,2,0,6,6,0.005817,6,0.252968,0.257955,509.546677,"#B4B4B4"
百辞,百辞,author,author,0,2,2,0,5,5,0.015593,4,0.261829,0.272556,1497.955959,"#B4B4B4"
章伯钧,章伯钧,author,author,0,6,6,0,20,20,0.032638,4,0.27465,0.295066,40261.166681,"#B4B4B4"
端木蕻良,端木蕻良,author,author,0,1,1,0,9,9,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
