Source,Target,Type,Id,Label,timeset,Weight,year,place
M.H.(1948),《国讯》,Directed,16986,,"<[1948.0, 1948.0]>",129,1948,上海
君羊(1948),《中央周刊》,Directed,16987,,"<[1948.0, 1948.0]>",124,1948,南京
汪老吉(1948),《群众》,Directed,16988,,"<[1948.0, 1948.0]>",70,1948,香港
米谷(1948),《群众》,Directed,16989,,"<[1948.0, 1948.0]>",58,1948,香港
任晦之(1948),《群众》,Directed,16990,,"<[1948.0, 1948.0]>",52,1948,香港
张仁光(1948),《展望》,Directed,16991,,"<[1948.0, 1948.0]>",46,1948,南京
伯商(1948),《中央周刊》,Directed,16992,,"<[1948.0, 1948.0]>",42,1948,南京
厚菴(1948),《中央周刊》,Directed,16993,,"<[1948.0, 1948.0]>",41,1948,南京
仲亨(1948),《展望》,Directed,16994,,"<[1948.0, 1948.0]>",40,1948,南京
杨微(1948),《展望》,Directed,16995,,"<[1948.0, 1948.0]>",37,1948,南京
丁昌(1948),《中央周刊》,Directed,16996,,"<[1948.0, 1948.0]>",34,1948,南京
张肖梅(1948),《再生》,Directed,16997,,"<[1948.0, 1948.0]>",33,1948,上海
朝新(1948),《群众》,Directed,16998,,"<[1948.0, 1948.0]>",33,1948,香港
杨博如(1948),《再生》,Directed,16999,,"<[1948.0, 1948.0]>",33,1948,上海
王耑(1948),《中央周刊》,Directed,17000,,"<[1948.0, 1948.0]>",32,1948,南京
何歌(1948),《时代杂志》,Directed,17001,,"<[1948.0, 1948.0]>",29,1948,上海
波光(1948),《展望》,Directed,17002,,"<[1948.0, 1948.0]>",29,1948,南京
丁蕾(1948),《展望》,Directed,17003,,"<[1948.0, 1948.0]>",25,1948,南京
郭华烈(1948),《时代杂志》,Directed,17004,,"<[1948.0, 1948.0]>",25,1948,上海
萧客(1948),《再生》,Directed,17005,,"<[1948.0, 1948.0]>",24,1948,上海
张君劢(1948),《再生》,Directed,17006,,"<[1948.0, 1948.0]>",22,1948,上海
讷菴(1948),《再生》,Directed,17007,,"<[1948.0, 1948.0]>",22,1948,上海
文魁(1948),《群众》,Directed,17008,,"<[1948.0, 1948.0]>",20,1948,香港
杜衡(1948),《再生》,Directed,17009,,"<[1948.0, 1948.0]>",20,1948,上海
思立(1948),《时代杂志》,Directed,17010,,"<[1948.0, 1948.0]>",19,1948,上海
王厚生(1948),《再生》,Directed,17011,,"<[1948.0, 1948.0]>",19,1948,上海
维辛斯基(1948),《时代杂志》,Directed,17012,,"<[1948.0, 1948.0]>",19,1948,上海
许涤新(1948),《群众》,Directed,17013,,"<[1948.0, 1948.0]>",19,1948,香港
费孝通(1948),《观察》,Directed,17014,,"<[1948.0, 1948.0]>",19,1948,上海
君山(1948),《时代杂志》,Directed,17015,,"<[1948.0, 1948.0]>",18,1948,上海
曾昭抡(1948),《光明报》,Directed,17016,,"<[1948.0, 1948.0]>",18,1948,香港
特伟(1948),《群众》,Directed,17017,,"<[1948.0, 1948.0]>",18,1948,香港
舒翰(1948),《正报》,Directed,17018,,"<[1948.0, 1948.0]>",18,1948,香港
雷兮(1948),《时代杂志》,Directed,17019,,"<[1948.0, 1948.0]>",17,1948,上海
张绍贤(1948),《展望》,Directed,17020,,"<[1948.0, 1948.0]>",16,1948,南京
曾昭抡(1948),《时与文》,Directed,17021,,"<[1948.0, 1948.0]>",16,1948,上海
讷庵(1948),《再生》,Directed,17022,,"<[1948.0, 1948.0]>",16,1948,上海
陈仁炳(1948),《展望》,Directed,17023,,"<[1948.0, 1948.0]>",16,1948,南京
叶新华(1948),《再生》,Directed,17024,,"<[1948.0, 1948.0]>",15,1948,上海
徐照林(1948),《群众》,Directed,17025,,"<[1948.0, 1948.0]>",15,1948,香港
文青(1948),《展望》,Directed,17026,,"<[1948.0, 1948.0]>",15,1948,南京
林秀(1948),《时代杂志》,Directed,17027,,"<[1948.0, 1948.0]>",15,1948,上海
柏苍(1948),《展望》,Directed,17028,,"<[1948.0, 1948.0]>",15,1948,南京
黄炎培(1948),《国讯》,Directed,17029,,"<[1948.0, 1948.0]>",15,1948,上海
潮声(1948),《国讯》,Directed,17030,,"<[1948.0, 1948.0]>",14,1948,上海
陈达(1948),《新路周刊》,Directed,17031,,"<[1948.0, 1948.0]>",14,1948,北平
鲁斯金(1948),《时代杂志》,Directed,17032,,"<[1948.0, 1948.0]>",14,1948,上海
乔木(1948),《群众》,Directed,17033,,"<[1948.0, 1948.0]>",13,1948,香港
刘绪贻(1948),《观察》,Directed,17034,,"<[1948.0, 1948.0]>",13,1948,上海
力夫(1948),《时代杂志》,Directed,17035,,"<[1948.0, 1948.0]>",13,1948,上海
移模(1948),《时代杂志》,Directed,17036,,"<[1948.0, 1948.0]>",13,1948,上海
赵志华(1948),《中建》,Directed,17037,,"<[1948.0, 1948.0]>",13,1948,上海
叶菲莫夫(1948),《时代杂志》,Directed,17038,,"<[1948.0, 1948.0]>",12,1948,上海
吴景超(1948),《新路周刊》,Directed,17039,,"<[1948.0, 1948.0]>",12,1948,北平
张西曼(1948),《时与文》,Directed,17040,,"<[1948.0, 1948.0]>",12,1948,上海
方方(1948),《群众》,Directed,17041,,"<[1948.0, 1948.0]>",12,1948,香港
王民(1948),《国讯》,Directed,17042,,"<[1948.0, 1948.0]>",12,1948,上海
秦越(1948),《再生》,Directed,17043,,"<[1948.0, 1948.0]>",12,1948,上海
刘大中(1948),《新路周刊》,Directed,17044,,"<[1948.0, 1948.0]>",11,1948,北平
司马天籁(1948),《国讯》,Directed,17045,,"<[1948.0, 1948.0]>",11,1948,上海
林焕平(1948),《国讯》,Directed,17046,,"<[1948.0, 1948.0]>",11,1948,上海
林焕平(1948),《展望》,Directed,17047,,"<[1948.0, 1948.0]>",11,1948,南京
程梯云(1948),《中建》,Directed,17048,,"<[1948.0, 1948.0]>",11,1948,上海
章明(1948),《展望》,Directed,17049,,"<[1948.0, 1948.0]>",11,1948,南京
任谷(1948),《时代杂志》,Directed,17050,,"<[1948.0, 1948.0]>",10,1948,上海
储安平(1948),《观察》,Directed,17051,,"<[1948.0, 1948.0]>",10,1948,上海
冠__(1948),《时与文》,Directed,17052,,"<[1948.0, 1948.0]>",10,1948,上海
周公南(1948),《中建》,Directed,17053,,"<[1948.0, 1948.0]>",10,1948,上海
周酉村(1948),《中央周刊》,Directed,17054,,"<[1948.0, 1948.0]>",10,1948,南京
怀湘(1948),《群众》,Directed,17055,,"<[1948.0, 1948.0]>",10,1948,香港
蔡尚思(1948),《时与文》,Directed,17056,,"<[1948.0, 1948.0]>",10,1948,上海
费孝通(1948),《中建:北平版》,Directed,17057,,"<[1948.0, 1948.0]>",10,1948,上海
野草(1948),《正报》,Directed,17058,,"<[1948.0, 1948.0]>",10,1948,香港
金治泰(1948),《再生》,Directed,17059,,"<[1948.0, 1948.0]>",10,1948,上海
陈胜(1948),《正报》,Directed,17060,,"<[1948.0, 1948.0]>",10,1948,香港
司田(1948),《时代杂志》,Directed,17061,,"<[1948.0, 1948.0]>",9,1948,上海
朱树锦(1948),《中建》,Directed,17062,,"<[1948.0, 1948.0]>",9,1948,上海
杜渐(1948),《展望》,Directed,17063,,"<[1948.0, 1948.0]>",9,1948,南京
杨卫玉(1948),《展望》,Directed,17064,,"<[1948.0, 1948.0]>",9,1948,南京
石仲子(1948),《国讯》,Directed,17065,,"<[1948.0, 1948.0]>",9,1948,上海
钟素(1948),《时代杂志》,Directed,17066,,"<[1948.0, 1948.0]>",9,1948,上海
黄克美(1948),《时代杂志》,Directed,17067,,"<[1948.0, 1948.0]>",9,1948,上海
黄河清(1948),《再生》,Directed,17068,,"<[1948.0, 1948.0]>",9,1948,上海
何永佶(1948),《观察》,Directed,17069,,"<[1948.0, 1948.0]>",8,1948,上海
凌华(1948),《时与文》,Directed,17070,,"<[1948.0, 1948.0]>",8,1948,上海
北辰(1948),《时代杂志》,Directed,17071,,"<[1948.0, 1948.0]>",8,1948,上海
张东荪(1948),《观察》,Directed,17072,,"<[1948.0, 1948.0]>",8,1948,上海
徐毓枬(1948),《新路周刊》,Directed,17073,,"<[1948.0, 1948.0]>",8,1948,北平
微明(1948),《再生》,Directed,17074,,"<[1948.0, 1948.0]>",8,1948,上海
方建民(1948),《再生》,Directed,17075,,"<[1948.0, 1948.0]>",8,1948,上海
