Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉(1945),左拉,,author,author,"#B4B4B4",0,1,1,0,30,30,0.006999,6,0.230275,0.243839,0
《周报(上海1945)》,《周报(上海1945)》,,journal,journal,"#00EB00",430,0,430,834,0,834,0.212258,5,0.299155,0.336241,3462585.065632
黄炎培(1945),黄炎培,,author,author,"#B4B4B4",0,5,5,0,32,32,0.033486,6,0.279965,0.304198,212606.587694
《国讯》,《国讯》,,journal,journal,"#00EB00",470,0,470,1483,0,1483,0.228611,5,0.335794,0.362989,4813031.319654
新命(1945),新命,,author,author,"#B4B4B4",0,1,1,0,23,23,0.019878,6,0.242254,0.265231,0
《中央周刊》,《中央周刊》,,journal(n),journal,"#0000FF",1099,0,1099,2311,0,2311,0.719737,5,0.319692,0.390378,9121064.130082
努生(1945),努生,,author,author,"#B4B4B4",0,2,2,0,22,22,0.006014,6,0.22632,0.239658,2586.049897
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,journal,"#00EB00",226,0,226,393,0,393,0.089007,5,0.289733,0.316838,1715079.670255
郑振铎(1945),郑振铎,,author,author,"#B4B4B4",0,3,3,0,31,31,0.014182,6,0.234825,0.254451,11572.83488
阿尔古斯(1945),阿尔古斯,,author,author,"#B4B4B4",0,2,2,0,21,21,0.036256,6,0.275913,0.301298,23781.746708
《时代杂志》,《时代杂志》,,journal(c),journal,"#FF0000",1315,0,1315,2805,0,2805,1,5,0.354725,0.423882,11116996.43691
昭抡(1945),昭抡,,author,author,"#B4B4B4",0,1,1,0,19,19,0.003478,6,0.224651,0.23551,0
俞颂华(1945),俞颂华,,author,author,"#B4B4B4",0,3,3,0,19,19,0.020271,6,0.268666,0.285327,116995.975901
丰子恺(1945),丰子恺,,author,author,"#B4B4B4",0,1,1,0,16,16,0.006999,6,0.230275,0.243839,0
张文伯(1945),张文伯,,author,author,"#B4B4B4",0,1,1,0,16,16,0.019878,6,0.242254,0.265231,0
陶行知(1945),陶行知,,author,author,"#B4B4B4",0,3,3,0,20,20,0.020215,6,0.261698,0.278627,21076.28161
《民主(重庆)》,《民主(重庆)》,,journal,journal,"#00EB00",158,0,158,245,0,245,0.064121,5,0.271639,0.297411,1101719.056744
梁公任(1945),梁公任,,author,author,"#B4B4B4",0,1,1,0,13,13,0.007577,6,0.251389,0.259803,0
景宋(1945),景宋,,author,author,"#B4B4B4",0,3,3,0,18,18,0.022325,6,0.263173,0.281306,22043.48688
《民主(上海)》,《民主(上海)》,,journal,journal,"#00EB00",290,0,290,722,0,722,0.13213,7,0.27526,0.308797,2061868.844044
蒲岗(1945),蒲岗,,author,author,"#B4B4B4",0,1,1,0,11,11,0.004646,8,0.215852,0.229276,0
守巧夫(1945),守巧夫,,author,author,"#B4B4B4",0,1,1,0,9,9,0.025577,6,0.26185,0.282143,0
尊闻(1945),尊闻,,author,author,"#B4B4B4",0,1,1,0,9,9,0.004646,8,0.215852,0.229276,0
秦柳方(1945),秦柳方,,author,author,"#B4B4B4",0,2,2,0,10,10,0.018256,6,0.262418,0.278211,16548.066939
米谷(1945),米谷,,author,author,"#B4B4B4",0,1,1,0,9,9,0.025577,6,0.26185,0.282143,0
郭沫若(1945),郭沫若,,author,author,"#B4B4B4",0,4,4,0,16,16,0.045164,6,0.283868,0.314087,110499.145238
钱穆(1945),钱穆,,author,author,"#B4B4B4",0,1,1,0,9,9,0.019878,6,0.242254,0.265231,0
史大林(1945),史大林,,author,author,"#B4B4B4",0,1,1,0,8,8,0.025577,6,0.26185,0.282143,0
周建人(1945),周建人,,author,author,"#B4B4B4",0,2,2,0,13,13,0.011646,6,0.233115,0.250499,3015.752102
