Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
梁公任,时事 (n),Directed,68456,,"<[1945.0, 1945.0]>",7,1945,上海,《国讯》
梁公任,解剖 (n),Directed,68457,,"<[1945.0, 1945.0]>",7,1945,上海,《国讯》
杨明,流亡 (n),Directed,68458,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
杨明,生活 (n),Directed,68459,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
杨明,韬奋 (n),Directed,68460,,"<[1945.0, 1945.0]>",6,1945,上海,《民主(上海)》
严景曜,民主 (n),Directed,68461,,"<[1945.0, 1945.0]>",5,1945,上海,《民主(上海)》
昭抡,时事 (n),Directed,68462,,"<[1945.0, 1945.0]>",5,1945,昆明,《民主周刊(昆明)》
柳宗元,南行 (n),Directed,68463,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
柳宗元,徒步 (n),Directed,68464,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
柳宗元,津浦路 (n),Directed,68465,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
秦柳方,经济 (n),Directed,68466,,"<[1946.0, 1946.0]>",6,1946,上海,《国讯》
齐纬,经济 (n),Directed,68467,,"<[1945.0, 1945.0]>",5,1945,上海,《国讯》
光军,安定 (n),Directed,68468,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
光年,自己 (n),Directed,68469,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
昭抡,世界 (n),Directed,68470,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
昭抡,以后 (n),Directed,68471,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
曹刚,印度 (n),Directed,68472,,"<[1945.0, 1945.0]>",5,1945,上海,《周报(上海1945)》
秦柳方,之页 (n),Directed,68473,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
罗西,重庆 (n),Directed,68474,,"<[1945.0, 1945.0]>",5,1945,上海,《民主(上海)》
罗隆基,中国 (n),Directed,68475,,"<[1945.0, 1945.0]>",4,1945,昆明,《民主周刊(昆明)》
陶行知,先生 (n),Directed,68476,,"<[1946.0, 1946.0]>",6,1946,上海,《民主(上海)》
齐纬,之页 (n),Directed,68477,,"<[1945.0, 1945.0]>",4,1945,上海,《国讯》
俞颂华,胜利 (n),Directed,68478,,"<[1945.0, 1945.0]>",3,1945,上海,《国讯》
冬予里,美国 (n),Directed,68479,,"<[1946.0, 1946.0]>",5,1946,昆明,《民主周刊(昆明)》
努生,大会 (n),Directed,68480,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
努生,纪念 (n),Directed,68481,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
孙宝毅,会议 (n),Directed,68482,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
平心,战后 (n),Directed,68483,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
愚公,国难 (n),Directed,68484,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
愚公,野记 (n),Directed,68485,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
昭抡,会议 (n),Directed,68486,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
昭抡,柏林 (n),Directed,68487,,"<[1945.0, 1945.0]>",3,1945,昆明,《民主周刊(昆明)》
景宋,前后 (n),Directed,68488,,"<[1946.0, 1946.0]>",13,1946,上海,《民主(上海)》
景宋,遭难 (n),Directed,68489,,"<[1946.0, 1946.0]>",14,1946,上海,《民主(上海)》
曹聚仁,冯友兰 (n),Directed,68490,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
曹聚仁,理学 (n),Directed,68491,,"<[1945.0, 1945.0]>",3,1945,上海,《周报(上海1945)》
柳亚子,诗词 (n),Directed,68492,,"<[1945.0, 1945.0]>",3,1945,重庆,《民主(重庆)》
石啸冲,世界 (n),Directed,68493,,"<[1945.0, 1945.0]>",3,1945,重庆,《再生》
