Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
梁公任(1945),梁公任,,author,0,64,64,0,86,86,0.62926,7,0.281653,0.320456,163189.518029
时事 (n),时事,,notion,7,0,7,18,0,18,0.12592,8,0.236592,0.258236,9582.24008
解剖 (n),解剖,,notion,2,0,2,8,0,8,0.047848,8,0.219861,0.236157,419.163183
杨明(1945),杨明,,author,0,6,6,0,21,21,0.100044,9,0.229824,0.251634,5328.008109
流亡 (n),流亡,,notion,1,0,1,6,0,6,0.00743,10,0.18689,0.197876,0
生活 (n),生活,,notion,13,0,13,22,0,22,0.172924,8,0.243948,0.26569,17289.878539
韬奋 (n),韬奋,,notion,3,0,3,8,0,8,0.114139,8,0.237795,0.257561,1576.851055
严景曜(1945),严景曜,,author,0,7,7,0,12,12,0.10285,9,0.236999,0.259762,9455.007741
民主 (n),民主,,notion,73,0,73,95,0,95,1,8,0.296324,0.347185,448311.231652
昭抡(1945),昭抡,,author,0,60,60,0,80,80,0.543783,9,0.272971,0.312399,150274.319864
柳宗元(1945),柳宗元,,author,0,6,6,0,19,19,0.015379,9,0.192412,0.203408,7108.288706
南行 (n),南行,,notion,1,0,1,5,0,5,0.002369,10,0.161375,0.167478,0
徒步 (n),徒步,,notion,1,0,1,5,0,5,0.002369,10,0.161375,0.167478,0
津浦路 (n),津浦路,,notion,1,0,1,5,0,5,0.002369,10,0.161375,0.167478,0
秦柳方(1945),秦柳方,,author,0,33,33,0,40,40,0.278303,7,0.255827,0.287341,62959.385156
经济 (n),经济,,notion,17,0,17,31,0,31,0.211015,8,0.24595,0.269648,35657.310177
齐纬(1945),齐纬,,author,0,26,26,0,34,34,0.153769,7,0.23811,0.264628,55211.001563
光军(1945),光军,,author,0,2,2,0,5,5,0.006068,9,0.187415,0.19578,32.106304
安定 (n),安定,,notion,2,0,2,6,0,6,0.024777,8,0.211814,0.226339,865.375104
光年(1945),光年,,author,0,14,14,0,20,20,0.077548,9,0.22666,0.247392,21555.340999
自己 (n),自己,,notion,4,0,4,7,0,7,0.021457,10,0.197834,0.21114,364.406441
世界 (n),世界,,notion,21,0,21,29,0,29,0.45037,8,0.271041,0.302712,59738.395466
以后 (n),以后,,notion,6,0,6,9,0,9,0.111465,8,0.242531,0.261923,16435.258401
曹刚(1945),曹刚,,author,0,4,4,0,8,8,0.113486,9,0.242909,0.266293,4778.014796
印度 (n),印度,,notion,3,0,3,7,0,7,0.019716,8,0.203517,0.216739,801.610661
之页 (n),之页,,notion,3,0,3,11,0,11,0.042686,8,0.208675,0.224958,738.901928
罗西(1945),罗西,,author,0,10,10,0,17,17,0.046584,9,0.214436,0.230809,18592.096451
