Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
梁公任(1945),梁公任,,author,0,64,64,0,86,86,0.138831,8,0.272895,0.297698,762110.357803
时事 (n),时事,,notion,29,0,29,84,0,84,0.085711,8,0.263666,0.283025,344023.030855
解剖 (n),解剖,,notion,4,0,4,11,0,11,0.006422,9,0.218722,0.230447,16259.401078
杨明(1945),杨明,,author,0,6,6,0,21,21,0.024146,9,0.235853,0.25172,20132.349473
流亡 (n),流亡,,notion,7,0,7,15,0,15,0.005278,10,0.211251,0.222379,31064.297661
生活 (n),生活,,notion,122,0,122,194,0,194,0.182167,8,0.267008,0.29046,2236356.035529
韬奋 (n),韬奋,,notion,17,0,17,22,0,22,0.035026,8,0.24334,0.258153,86470.113275
严景曜(1945),严景曜,,author,0,7,7,0,12,12,0.028321,9,0.236582,0.252693,21721.097234
民主 (n),民主,,notion,265,0,265,384,0,384,0.487366,8,0.297265,0.332163,6013002.550086
昭抡(1945),昭抡,,author,0,60,60,0,80,80,0.115198,9,0.263417,0.286803,605122.538656
柳宗元(1945),柳宗元,,author,0,6,6,0,19,19,0.005324,10,0.205999,0.214349,30541.213551
南行 (n),南行,,notion,3,0,3,7,0,7,0.003212,10,0.199621,0.209306,2192.769064
徒步 (n),徒步,,notion,1,0,1,5,0,5,0.000488,11,0.170814,0.175366,0
津浦路 (n),津浦路,,notion,1,0,1,5,0,5,0.000488,11,0.170814,0.175366,0
秦柳方(1945),秦柳方,,author,0,33,33,0,40,40,0.06576,9,0.251955,0.272908,245748.541736
经济 (n),经济,,notion,182,0,182,315,0,315,0.308656,8,0.280489,0.308945,2595007.988374
齐纬(1945),齐纬,,author,0,26,26,0,34,34,0.04918,9,0.245968,0.265748,220312.258711
光军(1945),光军,,author,0,2,2,0,5,5,0.001302,10,0.191857,0.198706,158.967123
