Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《周报(上海1945)》,《国讯》,Undirected,5299,journal-journal,,7,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,5300,journal-journal,,58,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,5301,journal-journal,,15,,,journal<--->journal
《周报(上海1945)》,《民主(上海)》,Undirected,5302,journal-journal,,1672,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,5303,journal-journal,,24,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,5304,journal-journal,,25,,,journal<--->journal
《周报(上海1945)》,《中建》,Undirected,5305,journal-journal,,2,,,journal<--->journal
《周报(上海1945)》,《民主:桂林版》,Undirected,5306,journal-journal,,20,,,journal<--->journal
《周报(上海1945)》,《光明报》,Undirected,5307,journal-journal,,17,,,journal<--->journal
《周报(上海1945)》,《观察》,Undirected,5308,journal-journal,,17,,,journal<--->journal
《周报(上海1945)》,《民主周刊(北平)》,Undirected,5309,journal-journal,,80,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,5310,journal-journal,,3,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,5311,journal-journal,,1,,,journal<--->journal
《国讯》,《民主(上海)》,Undirected,5312,journal-journal,,11,,,journal<--->journal
《国讯》,《再生》,Undirected,5313,journal-journal,,2,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,5314,journal-journal,,1,,,journal<--->journal
《国讯》,《观察》,Undirected,5315,journal-journal,,7,,,journal<--->journal
《国讯》,《民主周刊(北平)》,Undirected,5316,journal-journal,,1,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,5317,journal-journal,,16,,,journal<--->journal
《民主周刊(昆明)》,《民主(上海)》,Undirected,5318,journal-journal,,31,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,5319,journal-journal,,47,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,5320,journal-journal,,9,,,journal<--->journal
《民主周刊(昆明)》,《民主:桂林版》,Undirected,5321,journal-journal,,4,,,journal<--->journal
《民主周刊(昆明)》,《光明报》,Undirected,5322,journal-journal,,9,,,journal<--->journal
《民主周刊(昆明)》,《观察》,Undirected,5323,journal-journal,,25,,,journal<--->journal
《民主周刊(昆明)》,《民主周刊(北平)》,Undirected,5324,journal-journal,,69,,,journal<--->journal
《民主(重庆)》,《民主(上海)》,Undirected,5325,journal-journal,,50,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,5326,journal-journal,,2,,,journal<--->journal
《民主(重庆)》,《民主:桂林版》,Undirected,5327,journal-journal,,18,,,journal<--->journal
《民主(重庆)》,《观察》,Undirected,5328,journal-journal,,1,,,journal<--->journal
《民主(上海)》,《再生》,Undirected,5329,journal-journal,,51,,,journal<--->journal
《民主(上海)》,《中华论坛》,Undirected,5330,journal-journal,,52,,,journal<--->journal
《民主(上海)》,《民主:桂林版》,Undirected,5331,journal-journal,,10,,,journal<--->journal
《民主(上海)》,《光明报》,Undirected,5332,journal-journal,,21,,,journal<--->journal
《民主(上海)》,《民主周刊(北平)》,Undirected,5333,journal-journal,,31,,,journal<--->journal
《再生》,《民主:桂林版》,Undirected,5334,journal-journal,,3,,,journal<--->journal
《再生》,《观察》,Undirected,5335,journal-journal,,44,,,journal<--->journal
《再生》,《民主周刊(北平)》,Undirected,5336,journal-journal,,10,,,journal<--->journal
《中华论坛》,《光明报》,Undirected,5337,journal-journal,,1,,,journal<--->journal
《中华论坛》,《民主周刊(北平)》,Undirected,5338,journal-journal,,7,,,journal<--->journal
《观察》,《民主周刊(北平)》,Undirected,5339,journal-journal,,11,,,journal<--->journal
