Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《国讯》,《再生》,Undirected,5299,journal-journal,,16,,,journal<--->journal
《国讯》,《中建》,Undirected,5300,journal-journal,,20,,,journal<--->journal
《国讯》,《光明报》,Undirected,5301,journal-journal,,9,,,journal<--->journal
《国讯》,《观察》,Undirected,5302,journal-journal,,18,,,journal<--->journal
《国讯》,《时与文》,Undirected,5303,journal-journal,,135,,,journal<--->journal
《国讯》,《现代文摘(上海)》,Undirected,5304,journal-journal,,63,,,journal<--->journal
《国讯》,《展望》,Undirected,5305,journal-journal,,2,,,journal<--->journal
《再生》,《光明报》,Undirected,5306,journal-journal,,4,,,journal<--->journal
《再生》,《观察》,Undirected,5307,journal-journal,,2,,,journal<--->journal
《再生》,《时与文》,Undirected,5308,journal-journal,,2,,,journal<--->journal
《再生》,《现代文摘(上海)》,Undirected,5309,journal-journal,,29,,,journal<--->journal
《中建》,《现代文摘(上海)》,Undirected,5310,journal-journal,,1,,,journal<--->journal
《光明报》,《观察》,Undirected,5311,journal-journal,,10,,,journal<--->journal
《光明报》,《时与文》,Undirected,5312,journal-journal,,7,,,journal<--->journal
《光明报》,《现代文摘(上海)》,Undirected,5313,journal-journal,,11,,,journal<--->journal
《观察》,《时与文》,Undirected,5314,journal-journal,,232,,,journal<--->journal
《观察》,《主流》,Undirected,5315,journal-journal,,2,,,journal<--->journal
《观察》,《现代文摘(上海)》,Undirected,5316,journal-journal,,282,,,journal<--->journal
《观察》,《展望》,Undirected,5317,journal-journal,,9,,,journal<--->journal
《时与文》,《现代文摘(上海)》,Undirected,5318,journal-journal,,212,,,journal<--->journal
《时与文》,《展望》,Undirected,5319,journal-journal,,9,,,journal<--->journal
《现代文摘(上海)》,《展望》,Undirected,5320,journal-journal,,5,,,journal<--->journal
