Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,"#00EB00",6,486,0.769111,2,0.714286,0.8,0.866667
《再生》,《再生》,,journal,"#00EB00",4,15,0.43438,2,0.625,0.7,0.783333
《中建》,《中建》,,journal,"#00EB00",3,17,0.424272,2,0.588235,0.65,0
《光明报》,《光明报》,,journal,"#00EB00",5,365,0.561928,2,0.666667,0.75,1.25
《观察》,《观察》,,journal,"#00EB00",9,844,0.983542,2,0.909091,0.95,6.2
《时与文》,《时与文》,,journal,"#00EB00",8,890,0.944513,2,0.833333,0.9,2.566667
《主流》,《主流》,,journal,"#00EB00",5,11,0.590216,2,0.666667,0.75,0.7
《展望》,《展望》,,journal,"#00EB00",9,772,1,2,0.909091,0.95,5.4
《新路周刊》,《新路周刊》,,journal,"#00EB00",6,354,0.750329,2,0.714286,0.8,1.5
《中建:北平版》,《中建:北平版》,,journal,"#00EB00",7,692,0.848625,2,0.769231,0.85,1.533333
《中建:华北航空版》,《中建:华北航空版》,,journal,"#00EB00",6,328,0.793138,2,0.714286,0.8,0.2
