Source,Target,Type,Id,Label,Weight,year,place,MMNT-EdgeType
《周报(上海1945)》,《国讯》,Undirected,49511,journal-journal,300,,,journal<--->journal
《周报(上海1945)》,《中央周刊》,Undirected,49512,journal-journal,16,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,49513,journal-journal,142,,,journal<--->journal
《周报(上海1945)》,《时代杂志》,Undirected,49514,journal-journal,359,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,49515,journal-journal,168,,,journal<--->journal
《周报(上海1945)》,《民主(上海)》,Undirected,49516,journal-journal,3728,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,49517,journal-journal,39,,,journal<--->journal
《周报(上海1945)》,《文萃》,Undirected,49518,journal-journal,1153,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,49519,journal-journal,44,,,journal<--->journal
《周报(上海1945)》,《中建》,Undirected,49520,journal-journal,9,,,journal<--->journal
《周报(上海1945)》,《正报》,Undirected,49521,journal-journal,44,,,journal<--->journal
《周报(上海1945)》,《民主:桂林版》,Undirected,49522,journal-journal,25,,,journal<--->journal
《周报(上海1945)》,《光明报》,Undirected,49523,journal-journal,168,,,journal<--->journal
《周报(上海1945)》,《观察》,Undirected,49524,journal-journal,354,,,journal<--->journal
《周报(上海1945)》,《民主周刊(北平)》,Undirected,49525,journal-journal,88,,,journal<--->journal
《周报(上海1945)》,《解放》,Undirected,49526,journal-journal,3,,,journal<--->journal
《周报(上海1945)》,《群众》,Undirected,49527,journal-journal,156,,,journal<--->journal
《周报(上海1945)》,《时与文》,Undirected,49528,journal-journal,351,,,journal<--->journal
《周报(上海1945)》,《现代文摘(上海)》,Undirected,49529,journal-journal,104,,,journal<--->journal
《周报(上海1945)》,《展望》,Undirected,49530,journal-journal,121,,,journal<--->journal
《周报(上海1945)》,《新路周刊》,Undirected,49531,journal-journal,1,,,journal<--->journal
《周报(上海1945)》,《中建:北平版》,Undirected,49532,journal-journal,98,,,journal<--->journal
《周报(上海1945)》,《中建:华北航空版》,Undirected,49533,journal-journal,24,,,journal<--->journal
《周报(上海1945)》,《中建:综合版》,Undirected,49534,journal-journal,15,,,journal<--->journal
《国讯》,《中央周刊》,Undirected,49535,journal-journal,14,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,49536,journal-journal,48,,,journal<--->journal
《国讯》,《时代杂志》,Undirected,49537,journal-journal,279,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,49538,journal-journal,171,,,journal<--->journal
《国讯》,《民主(上海)》,Undirected,49539,journal-journal,424,,,journal<--->journal
《国讯》,《再生》,Undirected,49540,journal-journal,625,,,journal<--->journal
《国讯》,《文萃》,Undirected,49541,journal-journal,701,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,49542,journal-journal,406,,,journal<--->journal
《国讯》,《中建》,Undirected,49543,journal-journal,26,,,journal<--->journal
《国讯》,《正报》,Undirected,49544,journal-journal,32,,,journal<--->journal
《国讯》,《民主:桂林版》,Undirected,49545,journal-journal,6,,,journal<--->journal
《国讯》,《光明报》,Undirected,49546,journal-journal,154,,,journal<--->journal
《国讯》,《观察》,Undirected,49547,journal-journal,130,,,journal<--->journal
《国讯》,《民主周刊(北平)》,Undirected,49548,journal-journal,17,,,journal<--->journal
《国讯》,《群众》,Undirected,49549,journal-journal,236,,,journal<--->journal
《国讯》,《时与文》,Undirected,49550,journal-journal,348,,,journal<--->journal
《国讯》,《主流》,Undirected,49551,journal-journal,4,,,journal<--->journal
《国讯》,《现代文摘(上海)》,Undirected,49552,journal-journal,166,,,journal<--->journal
《国讯》,《展望》,Undirected,49553,journal-journal,1268,,,journal<--->journal
《国讯》,《新路周刊》,Undirected,49554,journal-journal,2,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,49555,journal-journal,191,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,49556,journal-journal,95,,,journal<--->journal
《国讯》,《中建:综合版》,Undirected,49557,journal-journal,23,,,journal<--->journal
《中央周刊》,《民主周刊(昆明)》,Undirected,49558,journal-journal,4,,,journal<--->journal
《中央周刊》,《时代杂志》,Undirected,49559,journal-journal,120,,,journal<--->journal
《中央周刊》,《民主(重庆)》,Undirected,49560,journal-journal,9,,,journal<--->journal
《中央周刊》,《民主(上海)》,Undirected,49561,journal-journal,154,,,journal<--->journal
《中央周刊》,《再生》,Undirected,49562,journal-journal,15,,,journal<--->journal
《中央周刊》,《文萃》,Undirected,49563,journal-journal,12,,,journal<--->journal
