Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《周报(上海1945)》,《国讯》,Undirected,20453,journal-journal,,69,,,journal<--->journal
《周报(上海1945)》,《中央周刊》,Undirected,20454,journal-journal,,3,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,20455,journal-journal,,11,,,journal<--->journal
《周报(上海1945)》,《时代杂志》,Undirected,20456,journal-journal,,33,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,20457,journal-journal,,92,,,journal<--->journal
《周报(上海1945)》,《民主(上海)》,Undirected,20458,journal-journal,,376,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,20459,journal-journal,,5,,,journal<--->journal
《周报(上海1945)》,《文萃》,Undirected,20460,journal-journal,,44,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,20461,journal-journal,,4,,,journal<--->journal
《国讯》,《中央周刊》,Undirected,20462,journal-journal,,2,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,20463,journal-journal,,14,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,20464,journal-journal,,37,,,journal<--->journal
《国讯》,《再生》,Undirected,20465,journal-journal,,70,,,journal<--->journal
《国讯》,《文萃》,Undirected,20466,journal-journal,,71,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,20467,journal-journal,,5,,,journal<--->journal
《中央周刊》,《民主周刊(昆明)》,Undirected,20468,journal-journal,,1,,,journal<--->journal
《中央周刊》,《时代杂志》,Undirected,20469,journal-journal,,6,,,journal<--->journal
《中央周刊》,《民主(重庆)》,Undirected,20470,journal-journal,,2,,,journal<--->journal
《中央周刊》,《民主(上海)》,Undirected,20471,journal-journal,,2,,,journal<--->journal
《中央周刊》,《文萃》,Undirected,20472,journal-journal,,6,,,journal<--->journal
《民主周刊(昆明)》,《时代杂志》,Undirected,20473,journal-journal,,1,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,20474,journal-journal,,51,,,journal<--->journal
《民主周刊(昆明)》,《民主(上海)》,Undirected,20475,journal-journal,,13,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,20476,journal-journal,,6,,,journal<--->journal
《民主周刊(昆明)》,《文萃》,Undirected,20477,journal-journal,,57,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,20478,journal-journal,,6,,,journal<--->journal
《时代杂志》,《民主(重庆)》,Undirected,20479,journal-journal,,3,,,journal<--->journal
《时代杂志》,《民主(上海)》,Undirected,20480,journal-journal,,6,,,journal<--->journal
《时代杂志》,《文萃》,Undirected,20481,journal-journal,,55,,,journal<--->journal
《时代杂志》,《中华论坛》,Undirected,20482,journal-journal,,19,,,journal<--->journal
《民主(重庆)》,《民主(上海)》,Undirected,20483,journal-journal,,13,,,journal<--->journal
《民主(重庆)》,《再生》,Undirected,20484,journal-journal,,13,,,journal<--->journal
《民主(重庆)》,《文萃》,Undirected,20485,journal-journal,,109,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,20486,journal-journal,,21,,,journal<--->journal
《民主(上海)》,《文萃》,Undirected,20487,journal-journal,,17,,,journal<--->journal
《再生》,《文萃》,Undirected,20488,journal-journal,,30,,,journal<--->journal
《再生》,《中华论坛》,Undirected,20489,journal-journal,,8,,,journal<--->journal
《文萃》,《中华论坛》,Undirected,20490,journal-journal,,31,,,journal<--->journal
