Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《国讯》,《再生》,Undirected,93193,journal-journal,2807,,,,journal<--->journal
《国讯》,《观察》,Undirected,93194,journal-journal,2509,,,,journal<--->journal
《国讯》,《中建》,Undirected,93195,journal-journal,690,,,,journal<--->journal
《国讯》,《光明报》,Undirected,93196,journal-journal,1115,,,,journal<--->journal
《国讯》,《时与文》,Undirected,93197,journal-journal,2897,,,,journal<--->journal
《国讯》,《主流》,Undirected,93198,journal-journal,420,,,,journal<--->journal
《国讯》,《展望》,Undirected,93199,journal-journal,4674,,,,journal<--->journal
《国讯》,《新路周刊》,Undirected,93200,journal-journal,1694,,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,93201,journal-journal,1112,,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,93202,journal-journal,411,,,,journal<--->journal
《再生》,《观察》,Undirected,93203,journal-journal,4095,,,,journal<--->journal
《再生》,《中建》,Undirected,93204,journal-journal,805,,,,journal<--->journal
《再生》,《光明报》,Undirected,93205,journal-journal,1085,,,,journal<--->journal
《再生》,《时与文》,Undirected,93206,journal-journal,4429,,,,journal<--->journal
《再生》,《主流》,Undirected,93207,journal-journal,1372,,,,journal<--->journal
《再生》,《展望》,Undirected,93208,journal-journal,4055,,,,journal<--->journal
《再生》,《新路周刊》,Undirected,93209,journal-journal,4336,,,,journal<--->journal
《再生》,《中建:北平版》,Undirected,93210,journal-journal,1048,,,,journal<--->journal
《再生》,《中建:华北航空版》,Undirected,93211,journal-journal,331,,,,journal<--->journal
《观察》,《中建》,Undirected,93212,journal-journal,940,,,,journal<--->journal
《观察》,《光明报》,Undirected,93213,journal-journal,1235,,,,journal<--->journal
《观察》,《时与文》,Undirected,93214,journal-journal,3633,,,,journal<--->journal
《观察》,《主流》,Undirected,93215,journal-journal,599,,,,journal<--->journal
《观察》,《展望》,Undirected,93216,journal-journal,4199,,,,journal<--->journal
《观察》,《新路周刊》,Undirected,93217,journal-journal,2759,,,,journal<--->journal
《观察》,《中建:北平版》,Undirected,93218,journal-journal,1370,,,,journal<--->journal
《观察》,《中建:华北航空版》,Undirected,93219,journal-journal,579,,,,journal<--->journal
《中建》,《光明报》,Undirected,93220,journal-journal,326,,,,journal<--->journal
《中建》,《时与文》,Undirected,93221,journal-journal,906,,,,journal<--->journal
《中建》,《主流》,Undirected,93222,journal-journal,89,,,,journal<--->journal
《中建》,《展望》,Undirected,93223,journal-journal,1211,,,,journal<--->journal
《中建》,《新路周刊》,Undirected,93224,journal-journal,815,,,,journal<--->journal
《中建》,《中建:北平版》,Undirected,93225,journal-journal,301,,,,journal<--->journal
《中建》,《中建:华北航空版》,Undirected,93226,journal-journal,104,,,,journal<--->journal
《光明报》,《时与文》,Undirected,93227,journal-journal,1535,,,,journal<--->journal
《光明报》,《主流》,Undirected,93228,journal-journal,165,,,,journal<--->journal
《光明报》,《展望》,Undirected,93229,journal-journal,2146,,,,journal<--->journal
《光明报》,《新路周刊》,Undirected,93230,journal-journal,963,,,,journal<--->journal
《光明报》,《中建:北平版》,Undirected,93231,journal-journal,580,,,,journal<--->journal
《光明报》,《中建:华北航空版》,Undirected,93232,journal-journal,219,,,,journal<--->journal
《时与文》,《主流》,Undirected,93233,journal-journal,640,,,,journal<--->journal
《时与文》,《展望》,Undirected,93234,journal-journal,5227,,,,journal<--->journal
《时与文》,《新路周刊》,Undirected,93235,journal-journal,2695,,,,journal<--->journal
《时与文》,《中建:北平版》,Undirected,93236,journal-journal,1381,,,,journal<--->journal
《时与文》,《中建:华北航空版》,Undirected,93237,journal-journal,526,,,,journal<--->journal
《主流》,《展望》,Undirected,93238,journal-journal,781,,,,journal<--->journal
《主流》,《新路周刊》,Undirected,93239,journal-journal,620,,,,journal<--->journal
《主流》,《中建:北平版》,Undirected,93240,journal-journal,199,,,,journal<--->journal
《主流》,《中建:华北航空版》,Undirected,93241,journal-journal,86,,,,journal<--->journal
《展望》,《新路周刊》,Undirected,93242,journal-journal,4059,,,,journal<--->journal
《展望》,《中建:北平版》,Undirected,93243,journal-journal,2103,,,,journal<--->journal
《展望》,《中建:华北航空版》,Undirected,93244,journal-journal,798,,,,journal<--->journal
《新路周刊》,《中建:北平版》,Undirected,93245,journal-journal,930,,,,journal<--->journal
《新路周刊》,《中建:华北航空版》,Undirected,93246,journal-journal,399,,,,journal<--->journal
《中建:北平版》,《中建:华北航空版》,Undirected,93247,journal-journal,812,,,,journal<--->journal
