Id,Label,type,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,16,42461,1,1,1,1,0
《时代杂志》,《时代杂志》,journal,16,48050,1,1,1,1,0
《国讯》,《国讯》,journal,16,5749,1,1,1,1,0
《民主(上海)》,《民主(上海)》,journal,16,42958,1,1,1,1,0
《周报(上海1945)》,《周报(上海1945)》,journal,16,29479,1,1,1,1,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,16,14019,1,1,1,1,0
《文萃》,《文萃》,journal,16,54298,1,1,1,1,0
《民主(重庆)》,《民主(重庆)》,journal,16,10248,1,1,1,1,0
《再生》,《再生》,journal,16,33049,1,1,1,1,0
《中华论坛》,《中华论坛》,journal,16,11672,1,1,1,1,0
《观察》,《观察》,journal,16,12468,1,1,1,1,0
《正报》,《正报》,journal,16,14802,1,1,1,1,0
《中建》,《中建》,journal,16,11688,1,1,1,1,0
《民主:桂林版》,《民主:桂林版》,journal,16,16157,1,1,1,1,0
《民主周刊(北平)》,《民主周刊(北平)》,journal,16,8241,1,1,1,1,0
《解放》,《解放》,journal,16,1948,1,1,1,1,0
《光明报》,《光明报》,journal,16,10443,1,1,1,1,0
