Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《中央周刊》,《时代杂志》,Undirected,59830,journal-journal,10473,,,,journal<--->journal
《中央周刊》,《国讯》,Undirected,59831,journal-journal,7843,,,,journal<--->journal
《中央周刊》,《文萃》,Undirected,59832,journal-journal,1118,,,,journal<--->journal
《中央周刊》,《再生》,Undirected,59833,journal-journal,7949,,,,journal<--->journal
《中央周刊》,《观察》,Undirected,59834,journal-journal,7140,,,,journal<--->journal
《中央周刊》,《正报》,Undirected,59835,journal-journal,2893,,,,journal<--->journal
《中央周刊》,《中建》,Undirected,59836,journal-journal,3266,,,,journal<--->journal
《中央周刊》,《民主:桂林版》,Undirected,59837,journal-journal,214,,,,journal<--->journal
《中央周刊》,《光明报》,Undirected,59838,journal-journal,854,,,,journal<--->journal
《中央周刊》,《群众》,Undirected,59839,journal-journal,5486,,,,journal<--->journal
《中央周刊》,《时与文》,Undirected,59840,journal-journal,5964,,,,journal<--->journal
《中央周刊》,《主流》,Undirected,59841,journal-journal,1259,,,,journal<--->journal
《中央周刊》,《现代文摘(上海)》,Undirected,59842,journal-journal,3088,,,,journal<--->journal
《中央周刊》,《展望》,Undirected,59843,journal-journal,259,,,,journal<--->journal
《时代杂志》,《国讯》,Undirected,59844,journal-journal,9027,,,,journal<--->journal
《时代杂志》,《文萃》,Undirected,59845,journal-journal,1241,,,,journal<--->journal
《时代杂志》,《再生》,Undirected,59846,journal-journal,7271,,,,journal<--->journal
《时代杂志》,《观察》,Undirected,59847,journal-journal,5366,,,,journal<--->journal
《时代杂志》,《正报》,Undirected,59848,journal-journal,4008,,,,journal<--->journal
《时代杂志》,《中建》,Undirected,59849,journal-journal,2894,,,,journal<--->journal
《时代杂志》,《民主:桂林版》,Undirected,59850,journal-journal,331,,,,journal<--->journal
《时代杂志》,《光明报》,Undirected,59851,journal-journal,1087,,,,journal<--->journal
《时代杂志》,《群众》,Undirected,59852,journal-journal,5949,,,,journal<--->journal
《时代杂志》,《时与文》,Undirected,59853,journal-journal,4993,,,,journal<--->journal
《时代杂志》,《主流》,Undirected,59854,journal-journal,1599,,,,journal<--->journal
《时代杂志》,《现代文摘(上海)》,Undirected,59855,journal-journal,2509,,,,journal<--->journal
《时代杂志》,《展望》,Undirected,59856,journal-journal,202,,,,journal<--->journal
《国讯》,《文萃》,Undirected,59857,journal-journal,1430,,,,journal<--->journal
《国讯》,《再生》,Undirected,59858,journal-journal,5563,,,,journal<--->journal
《国讯》,《观察》,Undirected,59859,journal-journal,6907,,,,journal<--->journal
《国讯》,《正报》,Undirected,59860,journal-journal,3295,,,,journal<--->journal
《国讯》,《中建》,Undirected,59861,journal-journal,2052,,,,journal<--->journal
《国讯》,《民主:桂林版》,Undirected,59862,journal-journal,206,,,,journal<--->journal
《国讯》,《光明报》,Undirected,59863,journal-journal,1369,,,,journal<--->journal
《国讯》,《群众》,Undirected,59864,journal-journal,5647,,,,journal<--->journal
《国讯》,《时与文》,Undirected,59865,journal-journal,6755,,,,journal<--->journal
《国讯》,《主流》,Undirected,59866,journal-journal,1332,,,,journal<--->journal
《国讯》,《现代文摘(上海)》,Undirected,59867,journal-journal,2807,,,,journal<--->journal
《国讯》,《展望》,Undirected,59868,journal-journal,294,,,,journal<--->journal
《文萃》,《再生》,Undirected,59869,journal-journal,857,,,,journal<--->journal
《文萃》,《观察》,Undirected,59870,journal-journal,1199,,,,journal<--->journal
《文萃》,《正报》,Undirected,59871,journal-journal,588,,,,journal<--->journal
《文萃》,《中建》,Undirected,59872,journal-journal,518,,,,journal<--->journal
《文萃》,《民主:桂林版》,Undirected,59873,journal-journal,40,,,,journal<--->journal
《文萃》,《光明报》,Undirected,59874,journal-journal,209,,,,journal<--->journal
《文萃》,《群众》,Undirected,59875,journal-journal,1235,,,,journal<--->journal
《文萃》,《时与文》,Undirected,59876,journal-journal,1212,,,,journal<--->journal
《文萃》,《主流》,Undirected,59877,journal-journal,246,,,,journal<--->journal
《文萃》,《现代文摘(上海)》,Undirected,59878,journal-journal,453,,,,journal<--->journal
《文萃》,《展望》,Undirected,59879,journal-journal,50,,,,journal<--->journal
《再生》,《观察》,Undirected,59880,journal-journal,4756,,,,journal<--->journal
《再生》,《正报》,Undirected,59881,journal-journal,1703,,,,journal<--->journal
《再生》,《中建》,Undirected,59882,journal-journal,1501,,,,journal<--->journal
《再生》,《民主:桂林版》,Undirected,59883,journal-journal,202,,,,journal<--->journal
《再生》,《光明报》,Undirected,59884,journal-journal,700,,,,journal<--->journal
《再生》,《群众》,Undirected,59885,journal-journal,3257,,,,journal<--->journal
《再生》,《时与文》,Undirected,59886,journal-journal,4065,,,,journal<--->journal
《再生》,《主流》,Undirected,59887,journal-journal,962,,,,journal<--->journal
《再生》,《现代文摘(上海)》,Undirected,59888,journal-journal,2002,,,,journal<--->journal
《再生》,《展望》,Undirected,59889,journal-journal,198,,,,journal<--->journal
《观察》,《正报》,Undirected,59890,journal-journal,1941,,,,journal<--->journal
