Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事,时事,notion,"#FFFF00",0,9,9,0,110,110,0.06447,4,0.399019,0.437003,51264.945185
《国讯》,《国讯》,journal,"#00EB00",2508,0,2508,5592,0,5592,1,3,0.395071,0.489308,14465569.807724
解剖,解剖,notion,"#FFFF00",0,3,3,0,11,11,0.02807,4,0.314771,0.352925,5222.529433
会议,会议,notion,"#FFFF00",0,16,16,0,95,95,0.096753,4,0.485665,0.493164,139034.086151
流亡,流亡,notion,"#FFFF00",0,5,5,0,15,15,0.022545,4,0.295363,0.326909,5489.075877
《民主(上海)》,《民主(上海)》,journal,"#00EB00",1165,0,1165,2143,0,2143,0.495068,3,0.359546,0.405944,5304682.124943
生活,生活,notion,"#FFFF00",0,16,16,0,175,175,0.093992,4,0.477248,0.488625,133523.481724
韬奋,韬奋,notion,"#FFFF00",0,6,6,0,22,22,0.044006,4,0.346496,0.389401,20504.090577
南行,南行,notion,"#FFFF00",0,3,3,0,7,7,0.026409,4,0.312955,0.350621,6354.596485
《周报(上海1945)》,《周报(上海1945)》,journal,"#00EB00",1468,0,1468,2380,0,2380,0.571703,3,0.366991,0.424752,7761854.72796
徒步,徒步,notion,"#FFFF00",0,1,1,0,5,5,0.00728,4,0.268473,0.284365,0
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,"#00EB00",814,0,814,1423,0,1423,0.36851,3,0.35129,0.384156,3065178.564446
民主,民主,notion,"#FFFF00",0,19,19,0,386,386,0.103455,3,0.500419,0.500869,170199.675092
津浦路,津浦路,notion,"#FFFF00",0,1,1,0,5,5,0.00728,4,0.268473,0.284365,0
经济,经济,notion,"#FFFF00",0,19,19,0,302,302,0.103424,4,0.498283,0.499798,168598.283137
世界,世界,notion,"#FFFF00",0,18,18,0,167,167,0.102481,4,0.496533,0.498875,159680.025747
中国,中国,notion,"#FFFF00",0,19,19,0,578,578,0.10414,4,0.4987,0.500008,166445.584593
之页,之页,notion,"#FFFF00",0,1,1,0,11,11,0.012494,4,0.283198,0.308574,0
以后,以后,notion,"#FFFF00",0,17,17,0,54,54,0.099647,4,0.491129,0.496066,149520.182216
先生,先生,notion,"#FFFF00",0,18,18,0,293,293,0.101935,4,0.495296,0.498246,158462.095088
《民主(重庆)》,《民主(重庆)》,journal,"#00EB00",577,0,577,899,0,899,0.24733,3,0.345927,0.369444,2385808.881861
印度,印度,notion,"#FFFF00",0,11,11,0,32,32,0.079593,4,0.438941,0.465573,77346.820853
安定,安定,notion,"#FFFF00",0,4,4,0,10,10,0.038404,4,0.340693,0.383178,12969.086254
旧金山,旧金山,notion,"#FFFF00",0,5,5,0,17,17,0.034006,4,0.321461,0.361266,9668.419721
自己,自己,notion,"#FFFF00",0,13,13,0,31,31,0.082069,4,0.438761,0.465534,96674.508749
重庆,重庆,notion,"#FFFF00",0,10,10,0,61,61,0.076092,4,0.431499,0.460622,66774.496845
一二,一二,notion,"#FFFF00",0,6,6,0,10,10,0.04597,4,0.352779,0.395826,22188.843513
《再生》,《再生》,journal,"#00EB00",1893,0,1893,4596,0,4596,0.755672,3,0.377969,0.451133,10383777.089774
冯友兰,冯友兰,notion,"#FFFF00",0,1,1,0,3,3,0.00728,4,0.268473,0.284365,0
前后,前后,notion,"#FFFF00",0,14,14,0,43,43,0.092443,4,0.473963,0.486732,115717.703618
半月,半月,notion,"#FFFF00",0,3,3,0,7,7,0.014402,4,0.282142,0.306999,2065.750903
团结,团结,notion,"#FFFF00",0,9,9,0,35,35,0.064996,4,0.397278,0.43563,47948.01472
国际,国际,notion,"#FFFF00",0,16,16,0,100,100,0.097405,4,0.486281,0.49349,139672.710611
国难,国难,notion,"#FFFF00",0,1,1,0,3,3,0.003103,4,0.257024,0.263625,0
大事记,大事记,notion,"#FFFF00",0,1,1,0,4,4,0.006099,4,0.264467,0.277312,0
大会,大会,notion,"#FFFF00",0,11,11,0,31,31,0.073073,4,0.412474,0.4473,63201.172639
太平洋战争,太平洋战争,notion,"#FFFF00",0,1,1,0,4,4,0.006099,4,0.264467,0.277312,0
延安,延安,notion,"#FFFF00",0,4,4,0,11,11,0.039523,4,0.343526,0.386204,12394.489216
战后,战后,notion,"#FFFF00",0,13,13,0,39,39,0.083277,4,0.443142,0.46835,95364.765927
日记,日记,notion,"#FFFF00",0,11,11,0,24,24,0.070736,4,0.413905,0.448347,72731.053992
柏林,柏林,notion,"#FFFF00",0,8,8,0,18,18,0.068334,4,0.415763,0.449581,51817.263706
理学,理学,notion,"#FFFF00",0,3,3,0,5,5,0.02821,4,0.318657,0.357767,7036.944404
瞭望,瞭望,notion,"#FFFF00",0,1,1,0,3,3,0.009476,4,0.274301,0.294258,0
社会,社会,notion,"#FFFF00",0,12,12,0,71,71,0.083406,4,0.457021,0.476878,98773.893894
纪念,纪念,notion,"#FFFF00",0,17,17,0,99,99,0.100076,4,0.490949,0.495973,146865.476933
《中华论坛》,《中华论坛》,journal,"#00EB00",389,0,389,590,0,590,0.188342,3,0.341788,0.357775,1217852.130805
美国,美国,notion,"#FFFF00",0,18,18,0,491,491,0.102513,4,0.498654,0.499946,161243.172479
胜利,胜利,notion,"#FFFF00",0,12,12,0,102,102,0.087243,4,0.46349,0.480695,98666.169846
航讯,航讯,notion,"#FFFF00",0,3,3,0,18,18,0.026111,4,0.309992,0.346803,4381.105411
英国,英国,notion,"#FFFF00",0,15,15,0,79,79,0.092044,4,0.464292,0.481277,115982.845414
诗词,诗词,notion,"#FFFF00",0,5,5,0,18,18,0.039231,4,0.34206,0.384683,15090.643515
谈屑,谈屑,notion,"#FFFF00",0,1,1,0,3,3,0.003103,4,0.257024,0.263625,0
遭难,遭难,notion,"#FFFF00",0,3,3,0,17,17,0.016251,4,0.284097,0.310048,2556.934637
野记,野记,notion,"#FFFF00",0,1,1,0,3,3,0.003103,4,0.257024,0.263625,0
问题,问题,notion,"#FFFF00",0,20,20,0,423,423,0.105082,2,0.500466,0.500931,175510.266994
一些,一些,notion,"#FFFF00",0,5,5,0,6,6,0.036508,4,0.330584,0.371997,15232.17304
一次,一次,notion,"#FFFF00",0,9,9,0,25,25,0.064832,4,0.40688,0.443056,55303.089631
三十一日,三十一日,notion,"#FFFF00",0,1,1,0,2,2,0.012494,4,0.283198,0.308574,0
不怕,不怕,notion,"#FFFF00",0,2,2,0,3,3,0.02247,4,0.306384,0.342016,2597.459321
不要,不要,notion,"#FFFF00",0,15,15,0,33,33,0.092266,4,0.473545,0.486538,121933.697271
云南,云南,notion,"#FFFF00",0,5,5,0,13,13,0.047114,4,0.362789,0.405563,21173.903947
五千万,五千万,notion,"#FFFF00",0,1,1,0,2,2,0.003103,4,0.257024,0.263625,0
人为,人为,notion,"#FFFF00",0,1,1,0,3,3,0.006099,4,0.264467,0.277312,0
人民,人民,notion,"#FFFF00",0,17,17,0,177,177,0.100308,4,0.49525,0.498184,153368.645341
人间,人间,notion,"#FFFF00",0,4,4,0,7,7,0.027319,4,0.307331,0.34335,6820.42675
介绍,介绍,notion,"#FFFF00",0,9,9,0,21,21,0.061674,4,0.394911,0.433745,48830.575556
伦敦,伦敦,notion,"#FFFF00",0,7,7,0,21,21,0.05093,4,0.360839,0.403779,24363.443163
保障,保障,notion,"#FFFF00",0,11,11,0,29,29,0.068647,4,0.4027,0.439944,61008.689286
信条,信条,notion,"#FFFF00",0,1,1,0,2,2,0.012494,4,0.283198,0.308574,0
八一,八一,notion,"#FFFF00",0,5,5,0,11,11,0.035889,4,0.330157,0.371508,11303.917865
八年,八年,notion,"#FFFF00",0,4,4,0,14,14,0.027891,4,0.315215,0.353523,10676.327487
内战,内战,notion,"#FFFF00",0,17,17,0,127,127,0.095425,4,0.470516,0.484916,129942.312505
农村,农村,notion,"#FFFF00",0,13,13,0,70,70,0.088438,4,0.469611,0.484249,114052.091009
准备,准备,notion,"#FFFF00",0,9,9,0,14,14,0.055205,4,0.365928,0.408675,34926.874191
几个,几个,notion,"#FFFF00",0,9,9,0,24,24,0.070194,4,0.419367,0.452204,63198.225664
动态,动态,notion,"#FFFF00",0,5,5,0,11,11,0.041268,4,0.344894,0.387686,16942.500209
努力,努力,notion,"#FFFF00",0,11,11,0,26,26,0.072567,4,0.417185,0.450722,74129.239949
十月革命,十月革命,notion,"#FFFF00",0,4,4,0,5,5,0.026981,4,0.307895,0.344095,6363.221454
华沙,华沙,notion,"#FFFF00",0,1,1,0,2,2,0.004463,4,0.259973,0.269142,0
协调,协调,notion,"#FFFF00",0,1,1,0,2,2,0.012494,4,0.283198,0.308574,0
危机,危机,notion,"#FFFF00",0,14,14,0,43,43,0.091306,4,0.470557,0.484823,115166.965378
历史,历史,notion,"#FFFF00",0,15,15,0,108,108,0.093632,4,0.475937,0.487865,125141.380797
原子弹,原子弹,notion,"#FFFF00",0,7,7,0,17,17,0.044091,4,0.343658,0.38646,24970.750794
原子能,原子能,notion,"#FFFF00",0,6,6,0,9,9,0.04827,4,0.36186,0.404718,24323.609069
参政会,参政会,notion,"#FFFF00",0,7,7,0,15,15,0.057348,4,0.385029,0.425543,33422.873988
各界,各界,notion,"#FFFF00",0,5,5,0,12,12,0.042007,4,0.348339,0.391271,18586.138659
名辩,名辩,notion,"#FFFF00",0,1,1,0,2,2,0.002288,4,0.254732,0.259249,0
和平,和平,notion,"#FFFF00",0,20,20,0,234,234,0.105082,2,0.500466,0.500931,175510.266994
四万,四万,notion,"#FFFF00",0,1,1,0,2,2,0.003103,4,0.257024,0.263625,0
国内,国内,notion,"#FFFF00",0,14,14,0,35,35,0.088312,4,0.462771,0.480354,110742.414028
国大,国大,notion,"#FFFF00",0,12,12,0,29,29,0.082499,4,0.441068,0.466985,79693.028323
国民大会,国民大会,notion,"#FFFF00",0,8,8,0,17,17,0.047341,4,0.347258,0.39027,27323.195091
地理,地理,notion,"#FFFF00",0,2,2,0,3,3,0.016434,4,0.289988,0.318948,2024.76603
外长,外长,notion,"#FFFF00",0,6,6,0,20,20,0.04092,4,0.334559,0.376529,16034.827698
失业,失业,notion,"#FFFF00",0,5,5,0,9,9,0.042612,4,0.347708,0.390619,17037.063731
对华政策,对华政策,notion,"#FFFF00",0,12,12,0,44,44,0.076172,4,0.418518,0.451715,71283.623588
对策,对策,notion,"#FFFF00",0,5,5,0,9,9,0.042649,4,0.349928,0.3929,18578.419806
展望,展望,notion,"#FFFF00",0,12,12,0,182,182,0.079398,4,0.434783,0.462888,91059.705289
工作,工作,notion,"#FFFF00",0,14,14,0,195,195,0.088548,4,0.461301,0.479493,107820.034688
平底,平底,notion,"#FFFF00",0,1,1,0,2,2,0.004463,4,0.259973,0.269142,0
应否,应否,notion,"#FFFF00",0,2,2,0,3,3,0.008501,4,0.268272,0.284055,739.027733
开发,开发,notion,"#FFFF00",0,4,4,0,6,6,0.037863,4,0.341256,0.383783,13962.903296
待续,待续,notion,"#FFFF00",0,3,3,0,20,20,0.02925,4,0.320215,0.359676,6666.582817
思想,思想,notion,"#FFFF00",0,16,16,0,45,45,0.088865,4,0.453279,0.474775,112817.759929
思潮,思潮,notion,"#FFFF00",0,4,4,0,8,8,0.028095,4,0.316739,0.355431,7391.222965
恢复,恢复,notion,"#FFFF00",0,8,8,0,15,15,0.058827,4,0.386053,0.426443,41897.273816
成功,成功,notion,"#FFFF00",0,9,9,0,15,15,0.064234,4,0.399762,0.437585,55255.980863
成都,成都,notion,"#FFFF00",0,13,13,0,34,34,0.083461,4,0.444536,0.469235,89537.983992
战局,战局,notion,"#FFFF00",0,11,11,0,118,118,0.07545,4,0.426597,0.457332,69267.073586
批判,批判,notion,"#FFFF00",0,8,8,0,13,13,0.054435,4,0.368945,0.411429,34427.660213
推进,推进,notion,"#FFFF00",0,2,2,0,4,4,0.010563,4,0.271871,0.290223,584.266094
提议,提议,notion,"#FFFF00",0,4,4,0,6,6,0.020047,4,0.289566,0.318397,3892.688995
提高,提高,notion,"#FFFF00",0,4,4,0,6,6,0.024888,4,0.304267,0.339254,6258.354624
改造,改造,notion,"#FFFF00",0,11,11,0,26,26,0.059501,4,0.380069,0.421462,54698.129695
政治,政治,notion,"#FFFF00",0,20,20,0,284,284,0.105082,2,0.500466,0.500931,175510.266994
政治协商会议,政治协商会议,notion,"#FFFF00",0,7,7,0,51,51,0.044575,4,0.343372,0.386158,21075.331255
教育,教育,notion,"#FFFF00",0,17,17,0,117,117,0.100653,4,0.494248,0.497672,149576.629822
文学,文学,notion,"#FFFF00",0,7,7,0,35,35,0.037617,4,0.327239,0.368211,16894.223988
文学遗产,文学遗产,notion,"#FFFF00",0,1,1,0,2,2,0.00728,4,0.268473,0.284365,0
新闻记者,新闻记者,notion,"#FFFF00",0,1,1,0,2,2,0.012494,4,0.283198,0.308574,0
方式,方式,notion,"#FFFF00",0,6,6,0,11,11,0.050693,4,0.371781,0.413935,30647.519902
旅途,旅途,notion,"#FFFF00",0,2,2,0,6,6,0.019775,4,0.299214,0.332239,2302.815633
无表情,无表情,notion,"#FFFF00",0,1,1,0,2,2,0.00728,4,0.268473,0.284365,0
日寇,日寇,notion,"#FFFF00",0,2,2,0,6,6,0.016957,4,0.290113,0.319134,1117.463432
