Source,Target,Type,Id,Label,Weight,author,year,place
战局(1947),《国讯》,Directed,71445,,37,潮局,1947,上海
官僚政治(1947),《时与文》,Directed,71446,,26,王亚南,1947,上海
中国(1947),《时与文》,Directed,71447,,47,高平 际云,1947,上海
学生(1947),《国讯》,Directed,71448,,25,史良 柳亚子 鹤如,1947,上海
亮话(1947),《国讯》,Directed,71449,,35,马马昭,1947,上海
中国(1947),《国讯》,Directed,71450,,43,鲍威尔 杨,1947,上海
华莱士(1947),《国讯》,Directed,71451,,26,潘光祖,1947,上海
民主(1947),《国讯》,Directed,71452,,27,石啸冲,1947,上海
抗议(1947),《国讯》,Directed,71453,,18,蒸,1947,上海
民盟(1947),《国讯》,Directed,71454,,18,黄炎培,1947,上海
学联(1947),《国讯》,Directed,71455,,14,M.H.,1947,上海
要求(1947),《国讯》,Directed,71456,,15,黄炎培,1947,上海
反对(1947),《国讯》,Directed,71457,,14,马寅初 鹤如,1947,上海
和平(1947),《国讯》,Directed,71458,,22,黄炎培,1947,上海
陌上(1947),《中建》,Directed,71459,,14,金____,1947,上海
宪政(1947),《再生》,Directed,71460,,14,白旭,1947,上海
经济(1947),《时与文》,Directed,71461,,25,龙成志,1947,上海
研究(1947),《时与文》,Directed,71462,,11,王亚南,1947,上海
历史(1947),《时与文》,Directed,71464,,12,胡里,1947,上海
呼吁(1947),《国讯》,Directed,71465,,12,翰飞,1947,上海
工作(1947),《中建》,Directed,71466,,67,顾佩之,1947,上海
教授(1947),《国讯》,Directed,71467,,11,江问渔,1947,上海
民主(1947),《再生》,Directed,71468,,23,黄一裳,1947,上海
美国(1947),《观察》,Directed,71469,,32,许德珩,1947,上海
观察(1947),《观察》,Directed,71470,,67,黄炎裔,1947,上海
制度(1947),《再生》,Directed,71471,,15,寄,1947,上海
华侨(1947),《国讯》,Directed,71472,,11,李文奎,1947,上海
意见(1947),《国讯》,Directed,71473,,11,流水,1947,上海
政治(1947),《再生》,Directed,71474,,26,黄一裳,1947,上海
民主社会党(1947),《再生》,Directed,71475,,10,张澜,1947,上海
美国(1947),《国讯》,Directed,71476,,34,金锋,1947,上海
