Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,journal,886,0,886,1452,0,1452,0.540215,3,0.377938,0.451023,2501452.921453
《再生》,《再生》,journal,724,0,724,1522,0,1522,0.40696,3,0.368961,0.429565,2160887.486872
《观察》,《观察》,journal,1057,0,1057,1636,0,1636,0.645646,3,0.3879,0.473674,3108721.448624
《中建》,《中建》,journal,481,0,481,816,0,816,0.234729,3,0.356268,0.397377,1495739.481279
《光明报》,《光明报》,journal,430,0,430,591,0,591,0.260972,3,0.353714,0.390622,1047023.628749
《时与文》,《时与文》,journal,962,0,962,1496,0,1496,0.578771,3,0.382302,0.46109,2816276.360782
《主流》,《主流》,journal,194,0,194,296,0,296,0.117071,3,0.342358,0.359362,418481.996578
《展望》,《展望》,journal,1561,0,1561,2695,0,2695,1,3,0.420573,0.540433,4910943.58954
中国(1948),中国,notion,0,11,11,0,176,176,0.095303,2,0.500547,0.501093,75216.065237
使命(1948),使命,notion,0,2,2,0,34,34,0.010993,4,0.273845,0.293612,851.133534
对外贸易(1948),对外贸易,notion,0,1,1,0,33,33,0.008483,4,0.269534,0.286228,0
应有(1948),应有,notion,0,4,4,0,36,36,0.027944,4,0.309818,0.346778,6653.2344
我国(1948),我国,notion,0,5,5,0,43,43,0.050413,4,0.369232,0.411782,16303.115393
措施(1948),措施,notion,0,5,5,0,39,39,0.053238,4,0.375962,0.417842,17175.101109
政府(1948),政府,notion,0,6,6,0,58,58,0.066087,4,0.4119,0.446934,25939.348087
重大(1948),重大,notion,0,2,2,0,34,34,0.021332,4,0.298111,0.330767,1843.259531
战局(1948),战局,notion,0,5,5,0,52,52,0.060662,4,0.39348,0.432645,16332.387659
展望(1948),展望,notion,0,6,6,0,121,121,0.055748,4,0.381028,0.422346,21927.783743
制度(1948),制度,notion,0,7,7,0,84,84,0.069391,4,0.429694,0.459583,39844.501591
文官(1948),文官,notion,0,1,1,0,25,25,0.008483,4,0.269534,0.286228,0
历史(1948),历史,notion,0,7,7,0,49,49,0.070937,4,0.423332,0.455212,31497.847885
史谈(1948),史谈,notion,0,1,1,0,20,20,0.008483,4,0.269534,0.286228,0
国际(1948),国际,notion,0,10,10,0,49,49,0.089995,4,0.47414,0.487102,55281.230289
官僚政治(1948),官僚政治,notion,0,2,2,0,21,21,0.030966,4,0.321741,0.361564,2161.235401
政治(1948),政治,notion,0,9,9,0,100,100,0.08466,4,0.45817,0.47783,46163.519441
经济(1948),经济,notion,0,11,11,0,114,114,0.095303,2,0.500547,0.501093,75216.065237
学生(1948),学生,notion,0,9,9,0,88,88,0.087485,4,0.467534,0.483294,47902.29386
美国(1948),美国,notion,0,10,10,0,192,192,0.091574,3,0.500447,0.50096,70904.530111
各国(1948),各国,notion,0,2,2,0,15,15,0.019278,4,0.29294,0.323366,1710.339536
政局(1948),政局,notion,0,5,5,0,39,39,0.055293,4,0.382941,0.423902,17937.577779
华莱士(1948),华莱士,notion,0,6,6,0,25,25,0.066087,4,0.4119,0.446934,25939.348087
反对(1948),反对,notion,0,7,7,0,40,40,0.077702,4,0.449094,0.47215,36717.151665
日内瓦(1948),日内瓦,notion,0,2,2,0,13,13,0.014611,4,0.281882,0.306626,1362.876943
《新路周刊》,《新路周刊》,journal,778,0,778,1258,0,1258,0.453242,3,0.371906,0.436718,2275374.541001
瑞士(1948),瑞士,notion,0,3,3,0,13,13,0.027459,4,0.309285,0.346,4127.414723
今日(1948),今日,notion,0,7,7,0,29,29,0.068508,4,0.411226,0.44652,27152.910896
思想(1948),思想,notion,0,7,7,0,21,21,0.065382,4,0.396893,0.435542,23944.298809
梁漱溟(1948),梁漱溟,notion,0,2,2,0,11,11,0.014126,4,0.280687,0.304739,865.062991
民主(1948),民主,notion,0,10,10,0,56,56,0.091574,3,0.500447,0.50096,70904.530111
风光(1948),风光,notion,0,1,1,0,9,9,0.009275,4,0.271102,0.28891,0
北美(1948),北美,notion,0,2,2,0,9,9,0.024464,4,0.304864,0.340056,1796.718723
古录(1948),古录,notion,0,1,1,0,8,8,0.008483,4,0.269534,0.286228,0
成立(1948),成立,notion,0,3,3,0,11,11,0.022579,4,0.298996,0.332092,3655.01628
援华(1948),援华,notion,0,5,5,0,15,15,0.063092,4,0.404875,0.441586,19913.870478
琐记(1948),琐记,notion,0,1,1,0,8,8,0.005308,4,0.262696,0.274157,0
运粮(1948),运粮,notion,0,1,1,0,8,8,0.005308,4,0.262696,0.274157,0
重游(1948),重游,notion,0,1,1,0,9,9,0.011616,4,0.276584,0.29805,0
大学生(1948),大学生,notion,0,5,5,0,15,15,0.060662,4,0.39348,0.432645,16332.387659
天下(1948),天下,notion,0,5,5,0,12,12,0.052776,4,0.362948,0.405921,11145.738546
工人(1948),工人,notion,0,4,4,0,11,11,0.044727,4,0.357178,0.400275,13689.911705
文化(1948),文化,notion,0,10,10,0,33,33,0.089995,4,0.47414,0.487102,55281.230289
炉边(1948),炉边,notion,0,1,1,0,7,7,0.012849,4,0.279502,0.302768,0
独树港(1948),独树港,notion,0,1,1,0,7,7,0.005308,4,0.262696,0.274157,0
研究(1948),研究,notion,0,8,8,0,25,25,0.083011,4,0.473071,0.48634,53361.341513
社会主义(1948),社会主义,notion,0,6,6,0,51,51,0.0429,4,0.335198,0.377492,13389.210731
要求(1948),要求,notion,0,2,2,0,10,10,0.030144,4,0.318162,0.357193,1806.597464
两周(1948),两周,notion,0,1,1,0,6,6,0.01935,4,0.296076,0.327803,0
中部(1948),中部,notion,0,1,1,0,6,6,0.01935,4,0.296076,0.327803,0
作者(1948),作者,notion,0,4,4,0,9,9,0.029882,4,0.308338,0.344841,5449.451887
剪影(1948),剪影,notion,0,1,1,0,7,7,0.005308,4,0.262696,0.274157,0
地方(1948),地方,notion,0,6,6,0,22,22,0.066881,4,0.423689,0.455378,33492.496271
广播(1948),广播,notion,0,1,1,0,7,7,0.01935,4,0.296076,0.327803,0
游记(1948),游记,notion,0,1,1,0,6,6,0.01935,4,0.296076,0.327803,0
自治(1948),自治,notion,0,5,5,0,12,12,0.063092,4,0.404875,0.441586,19913.870478
香港(1948),香港,notion,0,7,7,0,42,42,0.066153,4,0.397771,0.436237,24594.726658
事件(1948),事件,notion,0,6,6,0,20,20,0.069219,4,0.418684,0.451851,25450.402085
周末(1948),周末,notion,0,1,1,0,5,5,0.01935,4,0.296076,0.327803,0
外交政策(1948),外交政策,notion,0,1,1,0,9,9,0.008483,4,0.269534,0.286228,0
工作(1948),工作,notion,0,9,9,0,52,52,0.087458,4,0.476565,0.48836,56591.904116
抗议(1948),抗议,notion,0,5,5,0,17,17,0.045263,4,0.34129,0.384065,9075.90809
民盟(1948),民盟,notion,0,4,4,0,10,10,0.047095,4,0.355915,0.399033,9147.904906
英国(1948),英国,notion,0,6,6,0,19,19,0.072367,4,0.434516,0.462729,29310.476606
解释(1948),解释,notion,0,1,1,0,5,5,0.011616,4,0.276584,0.29805,0
评介(1948),评介,notion,0,3,3,0,8,8,0.039449,4,0.343761,0.386532,6912.867422
诗人(1948),诗人,notion,0,2,2,0,6,6,0.027834,4,0.316481,0.355106,2717.842293
青年(1948),青年,notion,0,5,5,0,24,24,0.049202,4,0.354262,0.397477,11086.728944
一代(1948),一代,notion,0,1,1,0,5,5,0.006054,4,0.262834,0.274406,0
《中建:北平版》,《中建:北平版》,journal,486,0,486,689,0,689,0.298849,3,0.356521,0.39804,1021175.418956
上海(1948),上海,notion,0,9,9,0,49,49,0.087485,4,0.467534,0.483294,47902.29386
之间(1948),之间,notion,0,7,7,0,16,16,0.06818,4,0.411361,0.446619,31777.979528
儒家思想(1948),儒家思想,notion,0,1,1,0,5,5,0.008483,4,0.269534,0.286228,0
先生(1948),先生,notion,0,10,10,0,99,99,0.089995,4,0.47414,0.487102,55281.230289
北平(1948),北平,notion,0,8,8,0,50,50,0.079002,4,0.435343,0.463441,34822.064977
华盛顿(1948),华盛顿,notion,0,6,6,0,9,9,0.068427,4,0.41778,0.451205,25957.668594
南京(1948),南京,notion,0,10,10,0,35,35,0.089995,4,0.47414,0.487102,55281.230289
原因(1948),原因,notion,0,5,5,0,8,8,0.050465,4,0.360401,0.403487,12260.505699
呼吁(1948),呼吁,notion,0,2,2,0,9,9,0.030144,4,0.318162,0.357193,1806.597464
和平(1948),和平,notion,0,11,11,0,43,43,0.095303,2,0.500547,0.501093,75216.065237
善后(1948),善后,notion,0,1,1,0,9,9,0.009275,4,0.271102,0.28891,0
四首(1948),四首,notion,0,1,1,0,4,4,0.009275,4,0.271102,0.28891,0
大选(1948),大选,notion,0,7,7,0,23,23,0.072934,4,0.440525,0.466736,40720.081432
实现(1948),实现,notion,0,3,3,0,10,10,0.033739,4,0.325487,0.366117,5337.39837
币制(1948),币制,notion,0,8,8,0,43,43,0.08215,4,0.451917,0.473972,39324.856025
幕剧(1948),幕剧,notion,0,1,1,0,4,4,0.005308,4,0.262696,0.274157,0
影剧(1948),影剧,notion,0,1,1,0,5,5,0.010794,4,0.274293,0.294274,0
徐州(1948),徐州,notion,0,2,2,0,5,5,0.030966,4,0.321741,0.361564,2161.235401
成都(1948),成都,notion,0,8,8,0,23,23,0.08215,4,0.451917,0.473972,39324.856025
我写(1948),我写,notion,0,1,1,0,4,4,0.01935,4,0.296076,0.327803,0
方法(1948),方法,notion,0,4,4,0,10,10,0.048724,4,0.368961,0.411451,13033.542825
日本(1948),日本,notion,0,9,9,0,55,55,0.087485,4,0.467534,0.483294,47902.29386
旧录(1948),旧录,notion,0,1,1,0,4,4,0.01935,4,0.296076,0.327803,0
杂记(1948),杂记,notion,0,3,3,0,8,8,0.041474,4,0.347223,0.390158,6313.071829
破产(1948),破产,notion,0,2,2,0,5,5,0.017758,4,0.289569,0.318399,1665.488682
秋灯(1948),秋灯,notion,0,1,1,0,4,4,0.01935,4,0.296076,0.327803,0
经过(1948),经过,notion,0,4,4,0,9,9,0.052298,4,0.376919,0.418604,12933.003671
航空(1948),航空,notion,0,2,2,0,5,5,0.024464,4,0.304864,0.340056,1796.718723
西安(1948),西安,notion,0,5,5,0,8,8,0.052863,4,0.371906,0.414216,14640.672369
计划(1948),计划,notion,0,6,6,0,22,22,0.052045,4,0.372566,0.414895,25902.696935
豫西(1948),豫西,notion,0,1,1,0,5,5,0.01935,4,0.296076,0.327803,0
青岛(1948),青岛,notion,0,6,6,0,13,13,0.064391,4,0.393541,0.432777,18392.905092
鲁迅(1948),鲁迅,notion,0,2,2,0,16,16,0.025404,4,0.307697,0.343831,1373.445959
黑白(1948),黑白,notion,0,1,1,0,4,4,0.005308,4,0.262696,0.274157,0
七五(1948),七五,notion,0,5,5,0,9,9,0.051257,4,0.359937,0.40304,11235.472821
东北(1948),东北,notion,0,8,8,0,25,25,0.08215,4,0.451917,0.473972,39324.856025
东南亚(1948),东南亚,notion,0,2,2,0,7,7,0.030144,4,0.318162,0.357193,1806.597464
中枢(1948),中枢,notion,0,1,1,0,3,3,0.008483,4,0.269534,0.286228,0
之四(1948),之四,notion,0,4,4,0,6,6,0.04599,4,0.363893,0.406732,14874.551725
书评(1948),书评,notion,0,4,4,0,26,26,0.031906,4,0.310239,0.347324,4436.078512
人类(1948),人类,notion,0,4,4,0,7,7,0.043192,4,0.352377,0.395506,10206.394534
传奇(1948),传奇,notion,0,1,1,0,4,4,0.01935,4,0.296076,0.327803,0
伦敦(1948),伦敦,notion,0,3,3,0,9,9,0.028978,4,0.312706,0.350421,3973.440364
共产党(1948),共产党,notion,0,3,3,0,7,7,0.038628,4,0.33954,0.382012,6234.779292
内幕(1948),内幕,notion,0,4,4,0,8,8,0.043963,4,0.35017,0.393271,9956.297685
内阁(1948),内阁,notion,0,5,5,0,14,14,0.063884,4,0.405789,0.442281,19339.756836
军区(1948),军区,notion,0,1,1,0,3,3,0.008483,4,0.269534,0.286228,0
军火(1948),军火,notion,0,1,1,0,3,3,0.010794,4,0.274293,0.294274,0
农村(1948),农村,notion,0,8,8,0,18,18,0.080185,4,0.46417,0.481274,51711.820737
农民(1948),农民,notion,0,5,5,0,15,15,0.056343,4,0.38928,0.429217,22281.421706
列车(1948),列车,notion,0,1,1,0,3,3,0.005308,4,0.262696,0.274157,0
