Source,Target,Type,Id,Label,Weight,author,year,place
时事(1945),《国讯》,Directed,59830,,10,沙溪,1945,上海
解剖(1945),《国讯》,Directed,59831,,8,沙溪,1945,上海
会议(1945),《国讯》,Directed,59832,,15,陶大镛,1945,上海
流亡(1945),《民主(上海)》,Directed,59833,,6,杨明,1945,上海
生活(1945),《民主(上海)》,Directed,59834,,7,周建人,1945,上海
韬奋(1945),《民主(上海)》,Directed,59835,,6,杨明,1945,上海
南行(1945),《周报(上海1945)》,Directed,59836,,5,柳宗元,1945,上海
徒步(1945),《周报(上海1945)》,Directed,59837,,5,柳宗元,1945,上海
时事(1945),《民主周刊(昆明)》,Directed,59838,,8,正非,1945,昆明
民主(1945),《民主(上海)》,Directed,59839,,11,马叙伦,1945,上海
津浦路(1945),《周报(上海1945)》,Directed,59840,,5,柳宗元,1945,上海
经济(1945),《国讯》,Directed,59841,,19,陶大镛,1945,上海
世界(1945),《民主周刊(昆明)》,Directed,59843,,7,曾昭抡,1945,昆明
中国(1945),《民主周刊(昆明)》,Directed,59844,,21,黄海,1945,昆明
之页(1945),《国讯》,Directed,59845,,11,问梁,1945,上海
以后(1945),《民主周刊(昆明)》,Directed,59847,,4,昭抡,1945,昆明
先生(1945),《民主(重庆)》,Directed,59848,,9,彭松,1945,重庆
印度(1945),《民主周刊(昆明)》,Directed,59849,,4,曹刚,1945,昆明
安定(1945),《国讯》,Directed,59850,,4,光军,1945,上海
旧金山(1945),《国讯》,Directed,59851,,7,引流,1945,上海
自己(1945),《民主周刊(昆明)》,Directed,59852,,4,光年,1945,昆明
重庆(1945),《民主周刊(昆明)》,Directed,59853,,9,高扬,1945,昆明
一二(1945),《民主周刊(昆明)》,Directed,59854,,4,游牧,1945,昆明
世界(1945),《再生》,Directed,59855,,6,王__,1945,重庆
中国(1945),《再生》,Directed,59856,,9,章伯钧,1945,重庆
会议(1945),《再生》,Directed,59858,,5,石啸冲,1945,重庆
会议(1945),《民主周刊(昆明)》,Directed,59859,,10,鲁小詹,1945,昆明
冯友兰(1945),《周报(上海1945)》,Directed,59860,,3,曹聚仁,1945,上海
前后(1945),《民主(上海)》,Directed,59861,,3,景宋,1945,上海
半月(1945),《再生》,Directed,59862,,3,石啸冲,1945,重庆
团结(1945),《国讯》,Directed,59863,,7,炎,1945,上海
国际(1945),《再生》,Directed,59864,,4,张君劢,1945,重庆
国难(1945),《民主(重庆)》,Directed,59865,,3,愚公,1945,重庆
