Source,Target,Type,Id,Label,Weight,author,year,place
之战,《中央周刊》,Directed,0,,26,（美）柯德渣 刘信芳,1946,南京
亚洲,《中央周刊》,Directed,1,,29,君羊,1948,南京
国际,《时代杂志》,Directed,2,,165,贝斯里亚克 何歌,1949,上海
苏联,《时代杂志》,Directed,3,,343,路金 梁香,1949,上海
本月,《中央周刊》,Directed,4,,8,新命,1945,重庆
时事,《国讯》,Directed,5,,16,M.H.,1947,上海
纪行,《时代杂志》,Directed,6,,17,查斯拉夫斯基 查克,1948,上海
解剖,《国讯》,Directed,8,,8,沙溪,1945,上海
会议,《国讯》,Directed,9,,21,沈体兰,1948,上海
命令,《时代杂志》,Directed,10,,13,崔柯夫,1949,上海
宪法,《时代杂志》,Directed,11,,16,克拉依诺夫 君山,1948,上海
文化,《时代杂志》,Directed,12,,28,魏辛斯基 金日成,1949,上海
流亡,《民主(上海)》,Directed,13,,9,胡愈之,1946,上海
海外,《中央周刊》,Directed,14,,12,厚菴,1948,南京
生活,《民主(上海)》,Directed,15,,9,景宋,1946,上海
韬奋,《民主(上海)》,Directed,16,,15,陶行知,1946,上海
一角,《时代杂志》,Directed,17,,10,伊古斯,1945,上海
南行,《周报(上海1945)》,Directed,18,,5,柳宗元,1945,上海
徒步,《周报(上海1945)》,Directed,20,,5,柳宗元,1945,上海
总司令,《时代杂志》,Directed,21,,5,史大林,1945,上海
战事,《中央周刊》,Directed,22,,8,徐日清,1946,南京
日本,《时代杂志》,Directed,23,,66,鲁斯金,1948,上海
时事,《民主周刊(昆明)》,Directed,24,,8,正非,1945,昆明
最高,《时代杂志》,Directed,25,,10,高尔塞宁 尚天,1947,上海
欧洲,《中央周刊》,Directed,26,,16,（美）李普曼 伍焕彬,1947,南京
民主,《民主(上海)》,Directed,27,,61,齐人,1946,上海
津浦路,《周报(上海1945)》,Directed,28,,5,柳宗元,1945,上海
笔尖,《文萃》,Directed,29,,17,萧余,1945,上海
经济,《国讯》,Directed,30,,42,黄炎培,1948,上海
革命,《中央周刊》,Directed,32,,18,叶青,1948,南京
世界,《民主周刊(昆明)》,Directed,34,,7,曾昭抡,1945,昆明
世界之窗,《时代杂志》,Directed,35,,4,米谷,1945,上海
东线,《中央周刊》,Directed,36,,4,新命,1945,重庆
中国,《民主周刊(昆明)》,Directed,37,,28,静远,1946,昆明
之页,《国讯》,Directed,38,,11,问梁,1945,上海
