Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
之战,之战,notion,notion,"#FFFF00",0,10,10,0,49,49,0.063206,4,0.409522,0.444961,83395.31058
《中央周刊》,《中央周刊》,journal(n),journal,"#0000FF",3522,0,3522,8824,0,8824,1,3,0.391421,0.481473,29937894.248239
亚洲,亚洲,notion,notion,"#FFFF00",0,7,7,0,52,52,0.048569,4,0.373899,0.415801,43261.262864
国际,国际,notion,notion,"#FFFF00",0,21,21,0,338,338,0.095436,4,0.492188,0.496515,241560.478351
《时代杂志》,《时代杂志》,journal(c),journal,"#FF0000",2558,0,2558,8526,0,8526,0.739833,3,0.373662,0.440998,19881862.713223
苏联,苏联,notion,notion,"#FFFF00",0,19,19,0,494,494,0.091565,4,0.484765,0.492574,216290.554917
本月,本月,notion,notion,"#FFFF00",0,4,4,0,11,11,0.024801,4,0.315666,0.354049,10908.966212
时事,时事,notion,notion,"#FFFF00",0,13,13,0,293,293,0.067697,4,0.416243,0.449967,108774.505229
《国讯》,《国讯》,journal,journal,"#00EB00",2508,0,2508,5592,0,5592,0.757151,3,0.372784,0.438899,17998414.70634
纪行,纪行,notion,notion,"#FFFF00",0,6,6,0,27,27,0.040797,4,0.355372,0.398345,34131.446673
解剖,解剖,notion,notion,"#FFFF00",0,3,3,0,11,11,0.016808,4,0.290455,0.319651,3635.04708
会议,会议,notion,notion,"#FFFF00",0,21,21,0,187,187,0.09511,4,0.491001,0.495901,237082.481269
命令,命令,notion,notion,"#FFFF00",0,5,5,0,20,20,0.028307,4,0.321391,0.361129,14515.729974
宪法,宪法,notion,notion,"#FFFF00",0,16,16,0,98,98,0.071628,4,0.417118,0.450676,121114.415982
文化,文化,notion,notion,"#FFFF00",0,21,21,0,150,150,0.094471,4,0.49085,0.495822,241763.769386
流亡,流亡,notion,notion,"#FFFF00",0,6,6,0,17,17,0.018922,4,0.289977,0.319021,7759.086692
《民主(上海)》,《民主(上海)》,journal,journal,"#00EB00",1165,0,1165,2143,0,2143,0.390236,3,0.35067,0.38251,6551612.057876
海外,海外,notion,notion,"#FFFF00",0,8,8,0,27,27,0.049981,4,0.380184,0.421353,56071.950677
生活,生活,notion,notion,"#FFFF00",0,21,21,0,263,263,0.093347,4,0.487773,0.494216,235720.384243
韬奋,韬奋,notion,notion,"#FFFF00",0,10,10,0,26,26,0.053218,4,0.372688,0.414793,61209.185971
一角,一角,notion,notion,"#FFFF00",0,7,7,0,20,20,0.043996,4,0.366681,0.409219,47924.947853
南行,南行,notion,notion,"#FFFF00",0,3,3,0,7,7,0.015812,4,0.289407,0.318092,4469.473372
《周报(上海1945)》,《周报(上海1945)》,journal,journal,"#00EB00",1468,0,1468,2380,0,2380,0.44699,3,0.355427,0.395232,9539176.172909
徒步,徒步,notion,notion,"#FFFF00",0,1,1,0,5,5,0.004405,4,0.26223,0.273276,0
总司令,总司令,notion,notion,"#FFFF00",0,3,3,0,7,7,0.017718,4,0.29643,0.328326,5788.818585
战事,战事,notion,notion,"#FFFF00",0,7,7,0,18,18,0.047617,4,0.370341,0.412589,40544.241186
日本,日本,notion,notion,"#FFFF00",0,21,21,0,244,244,0.092375,4,0.477333,0.488611,213992.388951
《民主周刊(昆明)》,《民主周刊(昆明)》,journal,journal,"#00EB00",814,0,814,1423,0,1423,0.297314,3,0.345317,0.367773,3534096.644354
最高,最高,notion,notion,"#FFFF00",0,3,3,0,12,12,0.020725,4,0.303734,0.338466,6234.789618
欧洲,欧洲,notion,notion,"#FFFF00",0,15,15,0,80,80,0.077976,4,0.444314,0.468993,137550.700632
民主,民主,notion,notion,"#FFFF00",0,24,24,0,601,601,0.099235,4,0.499685,0.500404,272562.339286
津浦路,津浦路,notion,notion,"#FFFF00",0,1,1,0,5,5,0.004405,4,0.26223,0.273276,0
笔尖,笔尖,notion,notion,"#FFFF00",0,1,1,0,17,17,0.00532,4,0.264792,0.27789,0
