Source,Target,Type,Id,Label,Weight,author,year,place
杂话(1947),《群众》,Directed,20970,,56,汪老吉,1947,香港
茶亭(1947),《群众》,Directed,20971,,56,汪老吉,1947,香港
一週(1947),《中央周刊》,Directed,20972,,54,光炎,1947,南京
时事(1947),《中央周刊》,Directed,20973,,54,光炎,1947,南京
战局(1947),《国讯》,Directed,20974,,37,潮局,1947,上海
官僚政治(1947),《时与文》,Directed,20975,,26,王亚南,1947,上海
中国(1947),《时与文》,Directed,20976,,47,高平 际云,1947,上海
学生(1947),《国讯》,Directed,20977,,25,史良 柳亚子 鹤如,1947,上海
亮话(1947),《国讯》,Directed,20978,,35,马马昭,1947,上海
中国(1947),《国讯》,Directed,20979,,43,鲍威尔 杨,1947,上海
华莱士(1947),《国讯》,Directed,20980,,26,潘光祖,1947,上海
民主(1947),《国讯》,Directed,20981,,27,石啸冲,1947,上海
抗议(1947),《国讯》,Directed,20982,,18,蒸,1947,上海
民盟(1947),《国讯》,Directed,20983,,18,黄炎培,1947,上海
学联(1947),《国讯》,Directed,20984,,14,M.H.,1947,上海
要求(1947),《国讯》,Directed,20985,,15,黄炎培,1947,上海
反对(1947),《国讯》,Directed,20986,,14,马寅初 鹤如,1947,上海
和平(1947),《国讯》,Directed,20987,,22,黄炎培,1947,上海
多幅(1947),《群众》,Directed,20988,,14,芦衣,1947,香港
陌上(1947),《中建》,Directed,20989,,14,金____,1947,上海
宪政(1947),《再生》,Directed,20990,,14,白旭,1947,上海
康熙帝(1947),《中央周刊》,Directed,20991,,12,白晋 林植,1947,南京
社论(1947),《中央周刊》,Directed,20992,,37,文伯 印,1947,南京
经济(1947),《时与文》,Directed,20993,,25,龙成志,1947,上海
连载(1947),《中央周刊》,Directed,20994,,20,Louis Bromfield 蒋炳贤,1947,南京
名着(1947),《中央周刊》,Directed,20995,,20,蒋炳贤,1947,南京
研究(1947),《时与文》,Directed,20996,,11,王亚南,1947,上海
历史(1947),《时与文》,Directed,20998,,12,胡里,1947,上海
呼吁(1947),《国讯》,Directed,20999,,12,翰飞,1947,上海
国际(1947),《时代杂志》,Directed,21000,,52,齐林珂,1947,上海
工作(1947),《中建》,Directed,21002,,67,顾佩之,1947,上海
批评(1947),《中央周刊》,Directed,21003,,28,庐山,1947,南京
故事(1947),《群众》,Directed,21004,,12,林赛,1947,香港
教授(1947),《国讯》,Directed,21005,,11,江问渔,1947,上海
民主(1947),《再生》,Directed,21006,,23,黄一裳,1947,上海
民主(1947),《时代杂志》,Directed,21007,,31,顾德里亚夫采夫,1947,上海
知识份子(1947),《时代杂志》,Directed,21008,,10,柯伐列夫 樊英,1947,上海
美国(1947),《观察》,Directed,21009,,32,许德珩,1947,上海
观察(1947),《观察》,Directed,21010,,67,黄炎裔,1947,上海
制度(1947),《再生》,Directed,21011,,15,寄,1947,上海
华侨(1947),《国讯》,Directed,21012,,11,李文奎,1947,上海
国际(1947),《正报》,Directed,21013,,13,胡其亮,1947,香港
大独裁者(1947),《群众》,Directed,21014,,9,特伟,1947,香港
意见(1947),《国讯》,Directed,21015,,11,流水,1947,上海
政治(1947),《再生》,Directed,21016,,26,黄一裳,1947,上海
民主社会党(1947),《再生》,Directed,21017,,10,张澜,1947,上海
真相(1947),《中央周刊》,Directed,21018,,9,（英）福列达·尤特丽 林植,1947,南京
美国(1947),《国讯》,Directed,21019,,34,金锋,1947,上海
苏俄(1947),《中央周刊》,Directed,21020,,9,（英）福列达·尤特丽 林植,1947,南京
苏维埃(1947),《时代杂志》,Directed,21021,,25,鲍高留波夫 何歌,1947,上海
解释(1947),《时与文》,Directed,21022,,9,王亚南,1947,上海
问答(1947),《再生》,Directed,21023,,9,王厚生,1947,上海
青年(1947),《国讯》,Directed,21024,,14,臧克家,1947,上海
中建(1947),《中建》,Directed,21025,,47,高祖文,1947,上海
任务(1947),《再生》,Directed,21026,,8,张君劢,1947,上海
各国(1947),《再生》,Directed,21027,,8,王厚生,1947,上海
后果(1947),《再生》,Directed,21028,,9,申铭,1947,上海
学校(1947),《中建》,Directed,21029,,10,朱哈哪,1947,上海
宣言(1947),《国讯》,Directed,21030,,13,黄炎培,1947,上海
宪法(1947),《再生》,Directed,21031,,13,郑怀琛,1947,上海
德国(1947),《再生》,Directed,21032,,9,紫云,1947,上海
性格(1947),《观察》,Directed,21033,,9,孝通,1947,上海
日记(1947),《中建》,Directed,21034,,10,朱哈哪,1947,上海
片断(1947),《中建》,Directed,21035,,13,陈仲期,1947,上海
现势(1947),《正报》,Directed,21036,,8,张铁生,1947,香港
生活(1947),《中建》,Directed,21037,,34,顾蓉君,1947,上海
美国(1947),《中央周刊》,Directed,21039,,30,（美）威尔斯 伍焕彬,1947,南京
美国(1947),《时代杂志》,Directed,21040,,51,鲁宾斯坦 邓梅,1947,上海
自助(1947),《中建》,Directed,21041,,11,王艮仲,1947,上海
解说(1947),《正报》,Directed,21042,,8,张铁生,1947,香港
谈话(1947),《国讯》,Directed,21043,,8,M.H.,1947,上海
东北(1947),《群众》,Directed,21044,,13,阎宝航,1947,香港
今日(1947),《国讯》,Directed,21045,,18,史特朗 杨,1947,上海
俄罗斯(1947),《时代杂志》,Directed,21046,,13,邬里茨基 高明,1947,上海
发展(1947),《时代杂志》,Directed,21047,,15,顾洛维奇 何歌,1947,上海
土地(1947),《时代杂志》,Directed,21049,,8,谢列勃良纳,1947,上海
孙科(1947),《国讯》,Directed,21050,,7,M.H.,1947,上海
学说(1947),《时代杂志》,Directed,21051,,8,胡夏,1947,上海
悲华经舍(1947),《再生》,Directed,21052,,7,悲华,1947,上海
政策(1947),《国讯》,Directed,21053,,8,沈光沛,1947,上海
时局(1947),《国讯》,Directed,21054,,8,光祖,1947,上海
杂记(1947),《再生》,Directed,21055,,8,毛以亨,1947,上海
江南(1947),《再生》,Directed,21056,,7,申铭,1947,上海
社会(1947),《时代杂志》,Directed,21057,,11,柯伐列夫 樊英,1947,上海
经济(1947),《群众》,Directed,21058,,9,若松,1947,香港
苏联(1947),《时代杂志》,Directed,21059,,98,高尔塞宁 尚天,1947,上海
转向(1947),《中央周刊》,Directed,21060,,7,陈安仁,1947,南京
世界(1947),《中央周刊》,Directed,21061,,25,（美）李却特·罕许 陆九公,1947,南京
世界(1947),《国讯》,Directed,21062,,18,高歌,1947,上海
之谷(1947),《中央周刊》,Directed,21063,,7,Louis Brbmficld 蒋炳贤,1947,南京
人民(1947),《中央周刊》,Directed,21064,,9,（英）福列达·尤特丽 林植,1947,南京
今日(1947),《时与文》,Directed,21065,,14,高名,1947,上海
会议(1947),《正报》,Directed,21066,,7,黄作梅,1947,香港
作家(1947),《时代杂志》,Directed,21067,,10,韦克,1947,上海
保障(1947),《国讯》,Directed,21068,,8,茅盾,1947,上海
十字架(1947),《中央周刊》,Directed,21069,,6,徐仲年,1947,南京
印尼(1947),《国讯》,Directed,21070,,14,闵军,1947,上海
团体(1947),《中建》,Directed,21071,,27,黄平甫,1947,上海
外海(1947),《中建》,Directed,21073,,6,程梯云,1947,上海
大学生(1947),《国讯》,Directed,21074,,6,M.H.,1947,上海
如此(1947),《中央周刊》,Directed,21075,,7,黄圣,1947,南京
建议(1947),《国讯》,Directed,21076,,7,吴希白,1947,上海
快乐(1947),《中央周刊》,Directed,21077,,7,Louis Brbmficld 蒋炳贤,1947,南京
报导(1947),《群众》,Directed,21079,,12,季眞,1947,香港
服务(1947),《中建》,Directed,21080,,14,陈清,1947,上海
