Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,1384,0,1384,2484,0,2484,0.822262,3,0.38027,0.456453,6305198.656262
《时代杂志》,《时代杂志》,journal,929,0,929,1940,0,1940,0.56498,3,0.363526,0.416079,3711891.905199
《国讯》,《国讯》,journal,886,0,886,1452,0,1452,0.58149,3,0.36202,0.412263,3283467.871036
《再生》,《再生》,journal,724,0,724,1522,0,1522,0.427267,3,0.356455,0.397888,2942695.261488
《观察》,《观察》,journal,1057,0,1057,1636,0,1636,0.667651,3,0.368086,0.427437,4148836.177627
《正报》,《正报》,journal,959,0,959,1574,0,1574,0.551964,3,0.364585,0.418741,4092796.186273
《中建》,《中建》,journal,481,0,481,816,0,816,0.250765,3,0.348421,0.376325,2038475.712187
《光明报》,《光明报》,journal,430,0,430,591,0,591,0.301583,3,0.346781,0.3718,1265458.519764
《群众》,《群众》,journal,1541,0,1541,2879,0,2879,0.984868,3,0.386412,0.470385,6659218.021519
《时与文》,《时与文》,journal,962,0,962,1496,0,1496,0.597633,3,0.364691,0.419007,3825422.878936
《主流》,《主流》,journal,194,0,194,296,0,296,0.133381,3,0.339387,0.350859,566287.364969
《展望》,《展望》,journal,1561,0,1561,2695,0,2695,1,3,0.387208,0.472159,6793259.170314
杂话(1948),杂话,notion,0,2,2,0,72,72,0.026272,4,0.29319,0.323683,1793.896368
茶亭(1948),茶亭,notion,0,1,1,0,70,70,0.016518,4,0.278724,0.3015,0
中国(1948),中国,notion,0,15,15,0,287,287,0.134826,2,0.5005,0.500998,148023.942963
使命(1948),使命,notion,0,2,2,0,34,34,0.009848,4,0.265524,0.27926,689.820462
对外贸易(1948),对外贸易,notion,0,1,1,0,33,33,0.007515,4,0.262793,0.274313,0
应有(1948),应有,notion,0,6,6,0,41,41,0.055844,4,0.34071,0.383369,21449.665436
我国(1948),我国,notion,0,6,6,0,45,45,0.058827,4,0.346173,0.389159,23144.145684
措施(1948),措施,notion,0,6,6,0,41,41,0.061512,4,0.349816,0.392919,23616.177358
政府(1948),政府,notion,0,10,10,0,72,72,0.108857,4,0.444846,0.469475,78759.354022
重大(1948),重大,notion,0,3,3,0,35,35,0.033077,4,0.30475,0.339911,5680.358983
战局(1948),战局,notion,0,9,9,0,69,69,0.103687,4,0.433401,0.461999,65117.807189
展望(1948),展望,notion,0,9,9,0,131,131,0.090116,4,0.402432,0.439804,54230.704764
制度(1948),制度,notion,0,10,10,0,89,89,0.094853,4,0.421392,0.453836,81484.990021
文官(1948),文官,notion,0,1,1,0,25,25,0.007515,4,0.262793,0.274313,0
历史(1948),历史,notion,0,11,11,0,65,65,0.113163,4,0.452672,0.474389,88113.819417
史谈(1948),史谈,notion,0,1,1,0,20,20,0.007515,4,0.262793,0.274313,0
国际(1948),国际,notion,0,14,14,0,71,71,0.130108,4,0.484428,0.492657,122451.814544
官僚政治(1948),官僚政治,notion,0,2,2,0,21,21,0.026972,4,0.293947,0.324781,1749.441854
政治(1948),政治,notion,0,13,13,0,117,117,0.125091,4,0.475898,0.487976,111855.53628
经济(1948),经济,notion,0,15,15,0,141,141,0.134826,2,0.5005,0.500998,148023.942963
上海(1948),上海,notion,0,13,13,0,98,98,0.127776,4,0.480217,0.490339,112340.033327
学生(1948),学生,notion,0,13,13,0,99,99,0.127776,4,0.480217,0.490339,112340.033327
亚洲(1948),亚洲,notion,0,5,5,0,25,25,0.067004,4,0.361706,0.40461,20499.304796
批评(1948),批评,notion,0,8,8,0,143,143,0.083489,4,0.391078,0.430731,47429.054112
美国(1948),美国,notion,0,13,13,0,281,281,0.121765,4,0.471123,0.485314,116778.745118
各国(1948),各国,notion,0,3,3,0,23,23,0.02701,4,0.291982,0.321975,4209.231546
政局(1948),政局,notion,0,6,6,0,40,40,0.065371,4,0.354671,0.39781,23585.421486
时事(1948),时事,notion,0,3,3,0,25,25,0.037828,4,0.311575,0.348895,5613.568801
随感(1948),随感,notion,0,2,2,0,24,24,0.026507,4,0.294224,0.325181,2012.895914
联大(1948),联大,notion,0,1,1,0,13,13,0.009755,4,0.266617,0.281135,0
华莱士(1948),华莱士,notion,0,8,8,0,31,31,0.084865,4,0.386531,0.426971,42034.841156
反对(1948),反对,notion,0,11,11,0,51,51,0.119078,4,0.468596,0.483773,95639.289365
日内瓦(1948),日内瓦,notion,0,2,2,0,13,13,0.013265,4,0.270534,0.287979,961.111373
《新路周刊》,《新路周刊》,journal,778,0,778,1258,0,1258,0.477642,3,0.358291,0.40268,3076641.985262
瑞士(1948),瑞士,notion,0,3,3,0,13,13,0.024586,4,0.286876,0.314355,3031.227895
三年(1948),三年,notion,0,6,6,0,16,16,0.045676,4,0.321577,0.36154,19264.271797
今日(1948),今日,notion,0,10,10,0,39,39,0.101285,4,0.420167,0.45297,62340.463254
多幅(1948),多幅,notion,0,2,2,0,21,21,0.030758,4,0.303347,0.337959,2812.221703
思想(1948),思想,notion,0,11,11,0,42,42,0.107836,4,0.437591,0.464872,79407.198571
梁漱溟(1948),梁漱溟,notion,0,2,2,0,11,11,0.012553,4,0.269796,0.286714,703.533419
游击战争(1948),游击战争,notion,0,2,2,0,12,12,0.026269,4,0.293695,0.324415,1931.353166
苏联(1948),苏联,notion,0,10,10,0,89,89,0.11406,4,0.46044,0.478992,86278.879638
前身(1948),前身,notion,0,1,1,0,9,9,0.009751,4,0.267186,0.282133,0
奋斗史(1948),奋斗史,notion,0,1,1,0,9,9,0.009751,4,0.267186,0.282133,0
新四军(1948),新四军,notion,0,1,1,0,9,9,0.009751,4,0.267186,0.282133,0
民主(1948),民主,notion,0,14,14,0,110,110,0.131517,3,0.500433,0.50091,142167.109417
风光(1948),风光,notion,0,1,1,0,9,9,0.008247,4,0.26379,0.27611,0
北美(1948),北美,notion,0,2,2,0,9,9,0.021542,4,0.284314,0.310373,1410.419447
古录(1948),古录,notion,0,1,1,0,8,8,0.007515,4,0.262793,0.274313,0
委员会(1948),委员会,notion,0,7,7,0,20,20,0.070819,4,0.35956,0.402658,28963.980128
对华政策(1948),对华政策,notion,0,8,8,0,19,19,0.090858,4,0.403686,0.440714,47316.608517
成立(1948),成立,notion,0,6,6,0,15,15,0.060828,4,0.351091,0.394217,25502.018728
