Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,3,0,743,2763,0.942958,4,0.511309,0.567133,9759.712286
解剖 (n),解剖,,notion,1,0,28,90,0.004887,5,0.376282,0.396405,0
流亡 (n),流亡,,notion,2,0,0,0,0,0,0,0,0
生活 (n),生活,,notion,41,0,536,2144,0.137934,4,0.493918,0.539315,159765.501063
韬奋 (n),韬奋,,notion,5,0,168,212,0.066791,4,0.4478,0.475689,4963.054596
民主 (n),民主,,notion,53,0,1261,21958,0.984733,4,0.563232,0.638331,293849.898425
南行 (n),南行,,notion,1,0,22,23,0.011849,5,0.37453,0.394528,0
经济 (n),经济,,notion,67,0,1199,5573,0.979421,4,0.559764,0.631496,233622.095472
自己 (n),自己,,notion,5,0,134,165,0.047675,4,0.432874,0.460226,28223.402438
世界 (n),世界,,notion,41,0,1000,7867,0.958834,4,0.543329,0.606667,196232.962276
以后 (n),以后,,notion,11,0,185,290,0.065192,5,0.454516,0.482656,26299.293191
印度 (n),印度,,notion,12,0,172,416,0.087818,4,0.450016,0.477842,9082.55207
重庆 (n),重庆,,notion,3,0,23,85,0.006035,5,0.383423,0.404539,874.068844
中国 (n),中国,,notion,127,0,1589,28169,1,4,0.598369,0.681691,693847.53259
先生 (n),先生,,notion,48,0,820,1799,0.223143,4,0.525972,0.582118,379597.690166
胜利 (n),胜利,,notion,8,0,655,1212,0.928924,4,0.504524,0.555795,27776.839887
美国 (n),美国,,notion,87,0,1244,13527,0.97848,4,0.562929,0.636757,296458.896154
大会 (n),大会,,notion,2,0,618,2252,0.926639,4,0.497798,0.548442,945.692532
纪念 (n),纪念,,notion,21,0,938,7407,0.956234,4,0.533963,0.596306,113317.901929
会议 (n),会议,,notion,16,0,315,734,0.12811,4,0.472222,0.506157,19356.552342
战后 (n),战后,,notion,10,0,134,258,0.058919,4,0.452548,0.476487,14854.725154
柏林 (n),柏林,,notion,3,0,627,1145,0.927478,4,0.499105,0.550036,1907.073125
前后 (n),前后,,notion,7,0,150,194,0.056557,4,0.442119,0.469572,11053.557935
诗词 (n),诗词,,notion,6,0,136,445,0.049042,4,0.431713,0.45937,35724.54666
